cities,yelp users
1,421509
2,78546
3,22383
4,9265
5,4379
6,2218
7,1138
8,611
9,358
10,202
11,109
12,57
13,31
14,34
15,31
16,11
17,8
18,7
19,5
20,1
21,1
22,1
23,2
24,2
