Position,Artist,Song Title,Year,Lyrics
1,The Rolling Stones,(I Can't Get No) Satisfaction,1965,"I can't get no satisfaction, I can't get no satisfaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no

When I'm drivin' in my car, and the man come on the radio
He's tellin' me more and more about some useless information
Supposed to fire my imagination

I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction, I can't get no satisfaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no

When I'm watchin' my tv and a man comes on and tell me
How white my shirts can be
But, he can't be a man 'cause he doesn't smoke
The same cigarettes as me

I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction, I can't get girl reaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no

When I'm ridin' round the world
And I'm doin' this and I'm signin' that
And I'm tryin' to make some girl, who tells me
Baby, better come back maybe next week
Can't you see I'm on a losing streak
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say, I can't get no, I can't get no
I can't get no satisfaction, no satisfaction
No satisfaction, no satisfaction"
2,The Beatles,Help!,1965,"Help, I need somebody
Help, not just anybody
Help, you know I need someone, help

When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors

Help me if you can, I'm feeling down
And I do appreciate you being round
Help me, get my feet back on the ground
Won't you please, please help me

And now my life has changed in oh so many ways
My independence seems to vanish in the haze
But every now and then I feel so insecure
I know that I just need you like I've never done before

Help me if you can, I'm feeling down
And I do appreciate you being round
Help me, get my feet back on the ground
Won't you please, please help me

When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors

Help me if you can, I'm feeling down
And I do appreciate you being round
Help me, get my feet back on the ground
Won't you please, please help me, help me, help me, oh"
3,The Righteous Brothers,Unchained Melody,1965,"Oh, my love, my darling
I've hungered for your touch
A long, lonely time
Time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love to me

Lonely rivers flow
To the sea, to the sea
To the open arms of the sea
Lonely rivers sigh
""Wait for me, wait for me""
I'll be coming home, wait for me

Oh, my love, my darling
I've hungered, for your touch
A long, lonely time
Time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love to me

Lonely mountains gaze
At the stars, at the stars
Waiting for the dawn of the day
All alone I gaze
At the stars, at the stars
Dreaming of my love far away

Oh, my love, my darling
I've hungered, for your touch
A long, lonely time
Time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love to me"
4,The Beatles,Yesterday,1965,"Yesterday, all my troubles seemed so far away
Now it looks as though they're here to stay
Oh, I believe in yesterday

Suddenly I'm not half the man I used to be
There's a shadow hanging over me
Oh, yesterday came suddenly

Why she had to go
I don't know, she wouldn't say
I said something wrong
Now I long for yesterday

Yesterday love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

Why'd she have to go?
I don't know, she wouldn't say
I said something wrong
Now I long for yesterday

Yesterday love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday"
5,Petula Clark,Downtown,1965,"When you're alone and life is making you lonely
You can always go - downtown.
When you've got worries all the noise and the hurry
Seems to help I know downtown.

Just listen to the music of the traffic in the city
Linger on the sidewalk where the neon signs are pretty
How can you lose?

The lights are much brighter there
you can forget all your troubles, forget all your cares
so go downtown
Things will be great when you're downtown
No finer place for sure downtown
Everything's waiting for you.

Don't hang around and let your problems surround you
There are movie shows downtown.
Maybe you know some little places to go to
where they never close downtown.

Just listen to the rhythm of a gentle bossa nova

You'll be dancing with 'em too before the night is over

happy again.
The lights are much brighter there
you can forget all your troubles, forget all your cares
so go - downtown
Where all the lights are bright downtown
waiting for you tonight downtown
you're gonna be alright now
downtown
downtown

downtown
And you may find somebody kind to help and understand you
Someone who is just like you and needs a gentle hand to

guide them along.
So maybe I'll see you there
we can forget all our troubles, forget all our cares
so go downtown
Things will be great when you're downtown

don't wait a minute more downtown
Everything is waiting for you
downtown
downtown
downtown
downtown
downtown
downtown
downtown..."
6,The Byrds,Mr Tambourine Man,1965,"Hey Mister Tambourine Man, play a song for me
I'm not sleepy and there ain't no place I'm goin' to
Hey Mister Tambourine Man, play a song for me
In the jingle jangle morning, I'll come followin' you

Take me for a trip upon your magic swirlin' ship
All my senses have been stripped
And my hands can't feel to grip
And my toes too numb to step
Wait only for my boot heels to be wanderin'

I'm ready to go anywhere I'm ready for to fade
On to my own parade cast your dancin' spell my way
I promise to go under it

Hey Mister Tambourine Man, play a song for me
I'm not sleepy and there ain't no place I'm goin' to
Hey Mister Tambourine Man, play a song for me
In the jingle jangle morning, I'll come followin' you"
7,The Beatles,Ticket to Ride,1965,"I think I'm gonna be sad
I think it's today, yeah
The girl that's driving me mad
Is going away

She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care

She said that living with me
Is bringing her down, yeah
For she would never be free
When I was around

She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care

I don't know why she's riding so high
She ought to think twice
She ought to do right by me
Before she gets to saying goodbye
She ought to think twice
She ought to do right by me

I think I'm gonna be sad
I think it's today, yeah

The girl that's driving me mad
Is going away, yeah, oh

She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care

I don't know why she's riding so high
She ought to think twice
She ought to do right by me
Before she gets to saying goodbye
She ought to think twice
She ought to do right by me
She said that living with me
Was bringing her down, yeah
For she would never be free
When I was around, oh

She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care"
8,Sam The Sham & The Pharaohs,Wooly Bully,1965,"Matty told Hatty
About a thing she saw
Had two big horns
And a wooly jaw

Wooly Bully
Wooly Bully
Wooly Bully
Wooly Bully
Wooly Bully

Hatty told Matty
""Let's don't take no chance
Let's not be L 7
Come and learn to dance

Wooly Bully
Wooly Bully
Wooly Bully
Wooly Bully
Wooly Bully

Matty told Hatty
""That's a thing to do
Get you someone really
Pull the wool with you

Wooly Bully
Wooly Bully
Wooly Bully
Wooly Bully
Wooly Bully"
9,Bob Dylan,Like a Rolling Stone,1965,"Once upon a time you dressed so fine
Threw the bums a dime in your prime, didn't you?
People call, say, ""Beware doll you're bound to fall""
You thought they were all kiddin' you

You used to laugh about everybody that was hangin' out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging your next meal

How does it feel?
How does it feel?
To be without a home
Like a complete unknown
Like a rolling stone

You've gone to the finest school, all right Miss Lonely
But you know you only used to get juiced in it
Nobody's ever taught you how to live out on the street
And now you're gonna have to get used to it

You said you'd never compromise with the mystery tramp
But now you realize, he's not selling any alibis
As you stare into the vacuum of his eyes
And say, ""Do you want to make a deal?""

How does it feel?
How does it feel?
To be on your own
With no direction home
A complete unknown
Like a rolling stone

You never turned around to see the frowns
On the jugglers and the clowns when they all did tricks for you
Never understood that it ain't no good
You shouldn't let other people get your kicks for you

You used to ride on the chrome horse with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discover that he really wasn't where it's at?
After he took from you everything he could steal

How does it feel?
How does it feel?
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone

Princess on the steeple and all the pretty people
They're all drinkin', thinkin' that they got it made
Exchanging all precious gifts
But you better take your diamond ring, you better pawn it babe

You used to be so amused at Napoleon in rags
And the language that he used, go to him now he calls you
You can't refuse, when you got nothing, you got nothing to lose
You're invisible now, you got no secrets to conceal

How does it feel?
How does it feel?
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone"
10,The Temptations,My Girl,1965,"I've got sunshine on a cloudy day
When it's cold outside, I've got the month of May
I guess you'd say
What can make me feel this way?

My girl, my girl, my girl
Talkin' 'bout my girl
My girl

I've got so much honey, the bees envy me
I've got a sweeter song than the birds in the trees
Well, I guess you'd say
What can make me feel this way?

My girl, my girl, my girl
Talkin' 'bout my girl
My girl
Ooh

Hey, hey, hey
Hey, hey, hey
Yeah

I don't need no money, fortune or fame
I got all the riches baby, one man can claim
Well, I guess you'd say
What can make me feel this way?

My girl, my girl, my girl
Talkin' 'bout my girl
My girl

I've got sunshine on a cloudy day
With my girl
I've even got the month of may
With my girl

Talkin' 'bout, talkin' 'bout
Talkin' 'bout my girl, my girl
That's all I can talk about
Is my girl"
