Position,Artist,Song Title,Year,Lyrics
1,Ace of Base,The Sign,1994,"I, I gotta new life, you would hardly recognize me, I'm so glad
How could a person like me care for you?
I, why do I bother when you're not the one for me?
It's enough, enough

I saw the sign and it opened up my eyes, I saw the sign
Life is demanding without understanding
I saw the sign and it opened up my eyes, I saw the sign
No one's gonna drag you up to get into the light where you belong
But where do you belong?

I, under the clear moon for so many years
I've wondered who you are
How could a person like you bring me joy?
Under the pale moon where I see a lot of stars
It's enough, enough

I saw the sign and it opened up my eyes, I saw the sign
Life is demanding without understanding
I saw the sign and it opened up my eyes, I saw the sign
No one's gonna drag you up to get into the light where you belong
But where do you belong? Oh oh oh

I saw the sign and it opened up my mind
And I am happy now living without you, I've left you, oh oh oh

I saw the sign and it opened up my eyes, I saw the sign
No one's gonna drag you up to get into the light where you belong

I saw the sign, I saw the sign
I saw the sign
I saw the sign, I saw the sign
I saw the sign, I saw the sign
I saw the sign
And it opened up my eyes, I saw the sign"
2,All-4-One,I Swear,1994,"Exception occurred 
HTTP Error 404: Not Found"
3,Bruce Springsteen,Streets of Philadelphia,1994,"Bruce Springsteen
Greatest Hits
Streets Of Philadelphia
i was bruised and battered and i couldn't tell
What i felt
I was unrecognizable to myself
I saw my reflection in a window i didn't know
My own face
Oh brother are you gonna leave me
Wastin´away
On the streets of philadelphia

I walked the avenue till my legs felt like stone
I heard the voices of friends vanished and gone
At night i could hear the blood in my veins
Black and whispering as the rain
On the streets of philadelphia

Ain't no angel gonna greet me
It's just you and i my friend
My clothes don't fit me no more
I walked a thousand miles
Just to slip the skin

The night has fallen, i'm lyin'awake
I can feel myself fading away
So receive me brother with your faithless kiss
Or will we leave each other alone like this
On the streets of philadelphia"
4,Bryan Adams,All For Love,1994,"When it's love you give
(I'll be a man of good faith)
Then in love you live
(I'll make a stand, I won't break)

I'll be the rock you can build on
Be there when you're old
To have and to hold

When there's love inside
(I swear I'll always be strong)
Then there's a reason why
(I'll prove to you we belong)

I'll be the wall that protects you
From the wind and the rain
From the hurt and pain

Let's make it all for one and all for love
Let the one you hold be the one you want
The one you need

'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

When it's love you make
(I'll be the fire in your night)
Then it's love you take
(I will defend, I will fight)

I'll be there when you need me
When honor's at stake
This vow I will make

That it's all for one and all for love
Let the one be the one you want
The one you need

'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

Don't lay our love to rest
'Cause we could stand up to you test
We got everything and more than we had planned
More than the rivers that run the land
We've got it all in our hands

Now it's all for one and all for love
(It's all for love)
Let the one you hold be the one you want
The one you need

'Cause when it's all for one, it's one for all
(It's one for all)
When there's someone that should know
Then just let your feelings show

When there's someone that you want
When there's someone that you need
Let's make it all, all for one and all for love"
5,Boyz II Men,I'll Make Love to You,1994,"BoyZ II Men
Close your eyes, make a wish
And blow out the candlelight
For tonight is just your night
We're gonna celebrate, all through the night
Pour the wine, light the fire
Girl your wish is my command
my submit to your demands

I will do anything, girl you need only ask
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go

'Till you tell me to
Girl relax, let's go slow
I ain't got nowhere to go
I'm just gon' concentrate on you
Girl are you ready, it's gon' be a long night
Throw your clothes on the floor
I'm gonna take my clothes off too
I've made plans to be with you

Girl whatever you ask me, you know I can do
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go

'Till you tell me to
Baby tonight is your night
And I will do you right
Just make a wish on your night
Anything that you ask

I will give you the love of your life, your life, your life
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go

'Till you tell me to
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go
'Till you tell me to"
6,Mariah Carey,Without You,1994,"No I can't forget this evening
Or your face as you were leaving
But I guess that's just the way
The story goes
You always smile but in your eyes
Your sorrow shows
Yes it shows
No I can't forget tomorrow
When I think of all my sorrow
When I had you there
But then I let you go
And now it's only fair
That I should let you know
What you should know
I can't live
If living is without you
I can't give
I can't give anymore
I can't live
If living is without you
I can't give
I can't give anymore
Well I can't forget this evening
Or your face as you were leaving
But I guess that's just the way
The story goes
You always smile but in your eyes
Your sorrow shows
Yes it shows
I can't live
If living is without you
I can't give
I can't give anymore
I can't live
If living is without you
I can't give
I can't give anymore
Ohh uah... No, No, No...
I can't live
If living is without you
I can't give
I can't give anymore
I can't live"
7,Wet Wet Wet,Love is All Around,1994,"I feel it in my fingers
I feel it in my toes
Love is all around me
And so the feeling grows

It's written on the wind
It's everywhere I go, oh yes, it is
So if you really love me
Come on and let it show, oh

You know, I love you, I always will
My mind's made up
By the way that I feel
There's no beginning
There'll be no end
'Cause on my love you can depend

I see your face before me
As I lay on my bed
I kinda get to thinking
Of all the things you said, oh yes I did

You gave your promise to me
And I gave mine to you
I need someone beside me
In everything and I do, oh yes I do

You know, I love you, I always will
My mind's made up by the
Way that I feel
There's no beginning
There'll be no end
'Cause on my love you can depend

Got to keep it movin'
Ooh, it's written in the wind
Oh, everywhere I go, yeah, ooh well
So if you really love me, love me, love me
Come on and let it show

Come on and let it show
(Come on and let it)
(Come on and let it)
Come and let it show, baby
(Come on and let it)
Come on, come on, come on let it show, baby
(Come on and let it)
(Come on and let it)
Come on and let it show
Come on and let it show, baby
Come on and let it show"
8,Bon Jovi,Always,1994,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up

It's been raining since you left me
Now I'm drowning in the flood
You see, I've always been a fighter
But without you, I give up

I can't sing a love song
Like the way it's meant to be
Well, I guess I'm not that good anymore
But baby, that's just me

And I will love you, baby, always
And I'll be there forever and a day, always
I'll be there 'til the stars don't shine
'Til the heavens burst and the words don't rhyme
And I know when I die, you'll be on my mind
And I'll love you, always

Now your pictures that you left behind
Are just memories of a different life
Some that made us laugh, some that made us cry
One that made you have to say goodbye
What I'd give to run my fingers through your hair
To touch your lips, to hold you near
When you say your prayers, try to understand
I've made mistakes, I'm just a man

When he holds you close, when he pulls you near
When he says the words you've been needing to hear
I wish I was him
With these words of mine
To say to you 'til the end of time

That I will love you baby, always
And I'll be there forever and a day, always

If you told me to cry for you, I could
If you told me to die for you, I would
Take a look at my face
There's no price I won't pay
To say these words to you

Well, there ain't no luck
In these loaded dice
But baby if you give me just one more try
We can pack up our old dreams
And our old lives
We'll find a place where the sun still shines

And I will love you, baby, always
And I'll be there forever and a day, always
I'll be there 'til the stars don't shine
'Til the heavens burst and the words don't rhyme
I know when I die, you'll be on my mind
And I'll love you, always

Always, always"
9,Sheryl Crow,All I Wanna Do,1994,"Hit it
This ain't no disco
It ain't no country club either
This is L.A.

""All I wanna do is have a little fun before I die""
Says the man next to me out of nowhere
It's apropos of nothing, he says his name is William
But I'm sure he's Bill or Billy or Mac or Buddy

And he's plain ugly to me
And I wonder if he's ever had a day of fun in his whole life
We are drinking beer at noon on Tuesday
In a bar that faces a giant car wash

The good people of the world
Are washing their cars on their lunch break
Hosing and scrubbing as best they can in skirts in suits

They drive their shiny Datsuns and Buicks
Back to the phone company, the record store too
Well they're nothing like Billy and me

'Cause all I wanna do is have some fun
I got a feeling I'm not the only one
All I wanna do is have some fun
I got a feeling I'm not the only one

All I wanna do is have some fun
Until the sun comes up
Over Santa Monica Boulevard

I like a good beer buzz early in the morning
And Billy likes to peel the labels from his bottles of Bud
He shreds them on the bar then he lights every match
In an oversized pack letting each one burn

Down to his thick fingers before blowing and cursing them out
And he's watching the bottles of Bud
As they spin on the floor

And a happy couple enters the bar
Dangerously close to one another
The bartender looks up from his want ads

But all I wanna do is have some fun
I got a feeling I'm not the only one
All I wanna do is have some fun
I got a feeling I'm not the only one

All I wanna do is have some fun
Until the sun comes up
Over Santa Monica Boulevard

Otherwise the bar is ours
The day and the night and the car wash, too
The matches and the Buds and the clean and dirty cars
The sun and the moon

But all I wanna do is have some fun
I got a feeling I'm not the only one
All I wanna do is have some fun
I got a feeling, I'm not the only one

All I wanna do is have some fun
I've got a feeling the party has just begun
All I wanna do is have some fun
I won't tell you, that you're the only one

All I wanna do is have some fun
Until the sun comes up
Over Santa Monica Boulevard

Until the sun comes up
Over Santa Monica Boulevard"
10,Rednex,Cotton Eye Joe,1994,"If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did he come from, where did he go?
Where did he come from, Cotton-Eye Joe?

He came to town like a midwinter storm
He rode through the fields, so handsome and strong
His eyes was his tools and his smile was his gun
But all he had come for was having some fun

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

He brought disaster wherever he went
The hearts of the girls was to Hell, broken, sent
They all ran away so nobody would know
And left only men 'cause of Cotton-Eye Joe

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?

If it hadn't been for Cotton-Eye Joe
I'd been married long time ago
Where did you come from, where did you go?
Where did you come from, Cotton-Eye Joe?"
