Position,Artist,Song Title,Year,Lyrics
1,Procol Harum,A Whiter Shade of Pale,1967,"Procol Harum
Miscellaneous
A Whiter Shade Of Pale
We skipped the light fandango
And turned cartwheels across the floor
I was feeling kind of seasick
The crowd called out for more
The room was humming harder
As the ceiling flew away
Whe we called out for another drink
The waiter brought a tray

And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale

She said there is no reason
And the truth is plain to see
But I wandered through my playing cards
Would not let her be
One of sixteen vestal virgins
Who were leaving for the coast
At the moment my eyes were open
They might just as well have been closed

And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale"
2,The Monkees,I'm a Believer,1967,"I thought love was only true in fairy tales
Meant for someone else but not for me
Love was out to get me
That's the way it seemed
Disappointment haunted all my dreams
Then I saw her face, now I'm a believer
Not a trace, of doubt in my mind
I'm in love, I'm a believer
I couldn't leave her if I tried
I thought love was more or less, a givin' thing
Seems the more I gave the less I got
Whats the use in tryin'
All you get is pain
When I needed sunshine I got rain
Then I saw her face, now I'm a believer
Not a trace, of doubt in my mind
I'm in love, I'm a believer
I couldn't leave her if I tried.
Solo
A Love was out to get me
That's the way it seemed.
Disappointment haunted all my dreams.
Then i saw her face, not I'm a believer
Not a trace of doubt in my mind.
I'm in love, I'm a believer!
I couldn't leave her if I tried.
Yes I saw her face, now I'm a believer
Not a trace of doubt in my mind.
Then I'm a believer! Yeah, yeah, yeah, yeah, yeah, yeah, ye
Then I'm a believer!"
3,The Beatles,All You Need is Love,1967,"Love, love, love
Love, love, love
Love, love, love

There's nothing you can do that can't be done

Nothing you can sing that can't be sung

Nothing you can say but you can learn how to play the game
It's easy
There's nothing you can make that can't be made
No one you can save that can't be saved

Nothing you can do but you can learn how to be you in time
It's easy
All you need is love
All you need is love

All you need is love, love
Love is all you need
(Love, love, love)

(Love, love, love)
(Love, love, love)
All you need is love
All you need is love

All you need is love, love
Love is all you need
There's nothing you can know that isn't known
Nothing you can see that isn't shown

There's nowhere you can be that isn't where you're meant to be
It's easy
All you need is love
All you need is love

All you need is love, love
Love is all you need
All you need is love, all together now
All you need is love, everybody
All you need is love, love
Love is all you need
Love is all you need
Love is all you need
Love is all you need..."
4,The Beatles,"Hello, Goodbye",1967,"You say yes, I say no
You say stop and I say go go go, oh no
You say goodbye and I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello

I say high, you say low
You say why and I say I don't know, oh no
You say goodbye and I say hello
(Hello goodbye hello goodbye) Hello hello
(Hello goodbye) I don't know why you say goodbye, I say hello
(Hello goodbye hello goodbye) Hello hello
(Hello goodbye) I don't know why you say goodbye
(Hello goodbye) I say hello/goodbye

Why why why why why why do you say goodbye goodbye, oh no?

You say goodbye and I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello

You say yes (I say yes) I say no (But I may mean no)
You say stop (I can stay) and I say go go go (Till it's time to go), oh
Oh no
You say goodbye and I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello hello

Hela heba helloa
Hela heba helloa, cha cha cha
Hela heba helloa, wooo
Hela heba helloa, hela
Hela heba helloa, cha cha cha
Hela heba helloa, wooo
Hela heba helloa, cha cha cha"
5,The Beatles,Penny Lane,1967,"In Penny Lane there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello

On the corner is a banker with a motorcar
The little children laugh at him behind his back
And the banker never wears a mac in the pouring rain
Very strange

Penny Lane is in my ears and in my eyes
Here beneath the blue suburban skies
I sit and meanwhile back in

Penny Lane there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine

Penny Lane is in my ears and in my eyes
For a fish and finger pie
In summer meanwhile back

Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway

Penny Lane, the barber shaves another customer
We see the banker sitting waiting for a trim
And then the fireman rushes in from the pouring rain
Very strange
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane"
6,Bee Gees,(The Lights Went Out In) Massachusetts,1967,"Feel I'm goin' back to Massachusetts
Something is telling me I must go home
And the lights all went out in Massachusetts
The day I left her standing on her own

Tried to hitch a ride to San Francisco
Gotta do the things I wanna do
And the lights all went out in Massachusetts
They brought me back to see my way with you

Talk about the life in Massachusetts
Speak about the people I have seen
And the lights all went out in Massachusetts
And Massachusetts is one place I have seen

I will remember Massachusetts"
7,Scott McKenzie,San Francisco (Wear Some Flowers in Your Hair),1967,"If you're going to San Francisco
Be sure to wear some flowers in your hair
If you're going to San Francisco
You're gonna meet some gentle people there

For those who come to San Francisco
Summertime will be a love-in there
In the streets of San Francisco
Gentle people with flowers in their hair

All across the nation such a strange vibration
People in motion
There's a whole generation with a new explanation
People in motion people in motion

For those who come to San Francisco
Be sure to wear some flowers in your hair
If you come to San Francisco
Summertime will be a love-in there

If you come to San Francisco
Summertime will be a love-in there"
8,The Monkees,Daydream Believer,1967,"Oh, I could hide 'neath the wings of the bluebird as she sings
The six o'clock alarm would never ring
But it rings and I rise wipe the sleep out of my eyes
The shavin' razor's cold, and it stings

Cheer up, sleepy Jean, oh what can it mean
To a daydream believer and a homecoming queen?

You once thought of me as a white knight on his steed
Now you know how happy I can be
Oh, and our good times start and end without dollar one to spend
But how much baby do we really need?

Cheer up, sleepy Jean, oh what can it mean
To a daydream believer and a homecoming queen?
Cheer up, sleepy Jean, oh what can it mean
To a daydream believer and a homecoming queen?

Cheer up, sleepy Jean, oh what can it mean
To a daydream believer and a homecoming queen?
Cheer up, sleepy Jean, oh what can it mean
To a daydream believer and a homecoming queen?

Cheer up, sleepy Jean, oh what can it mean
To a daydream believer and a homecoming queen?"
9,The Box Tops,The Letter,1967,"Gimme a ticket for an aeroplane
Ain't got time to take a fast train
Lonely days are gone, I'm a-goin' home
My baby, just-a wrote me a letter

I don't care how much money I gotta spend
Got to get back to my baby again
Lonely days are gone, I'm a-goin' home
My baby, just-a wrote me a letter

Well, she wrote me a letter
Said she couldn't live without me no more
Listen mister, can't you see I got to get back
To my baby once-a more
Anyway, yeah!

Gimme a ticket for an aeroplane
Ain't got time to take a fast train
Lonely days are gone, I'm a-goin' home
My baby, just-a wrote me a letter

Well, she wrote me a letter
Said she couldn't live without me no more
Listen mister, can't you see I got to get back
To my baby once-a more
Anyway, yeah!

Gimme a ticket for an aeroplane
Ain't got time to take a fast train
Lonely days are gone, I'm a-goin' home
My baby, just-a wrote me a letter, my baby just-a wrote me a letter"
10,The Doors,Light My Fire,1967,"You know that it would be untrue
You know that I would be a liar
If I was to say to you
Girl, we couldn't get much higher

Come on baby light my fire
Come on baby light my fire
Try to set the night on, fire

The time to hesitate is through
No time to wallow in the mire
Try now we can only lose
And our love become a funeral pyre

Come on baby light my fire
Come on baby light my fire
Try to set the night on, fire yeah

The time to hesitate is through
No time to wallow in the mire
Try now we can only lose
And our love become a funeral pyre

Come on baby light my fire
Come on baby light my fire
Try to set the night on, fire yeah

You know that it would be untrue
You know that I would be a liar
If I was to say to you
Girl, we couldn't get much higher

Come on baby light my fire
Come on baby light my fire
Try to set the night on fire
Try to set the night on fire
Try to set the night on fire
Try to set the night on fire"
11,Nancy Sinatra,Somethin' Stupid,1967,"I know I stand in line until you think
You have the time to spend an evening with me
And if we go someplace to dance
I know that there's a chance you won't be leaving with me
And afterwards we drop into a quiet little place
And have a drink or two...
And then I go and spoil it all by saying
Something stupid like I love you

I can see it in your eyes that you despise
The same old lines you heard the night before...
And though it's just a line to you for me it's true...
And never seemed so right before
I practice everyday to find some clever lines
To say to make the meaning come true...
But then I think I'll wait until the evening gets late
And I'm alone with you
The time is right your perfume fills my head...
The stars get red and on the nights so blue...
And then I go and spoil it all by saying
Something stupid like I love you

SONGWRITERS
HART, LORENZ / RODGERS, RICHARD"
12,The Beatles,Strawberry Fields Forever,1967,"Let me take you down
â€~Cause I'm going to Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever

Living is easy with eyes closed
Misunderstanding all you see
It's getting hard to be someone
But it all works out
It doesn't matter much to me

Let me take you down
â€~Cause I'm going to Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever

No one I think is in my tree
I mean it must be high or low
That is you can't, you know, tune in
But it's all right
That is I think it's not too bad

Let me take you down
â€~Cause I'm going to Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever

Always, no sometimes, think it's me
But you know I know when it's a dream
I think I know I mean a yes
But it's all wrong
That is I think I disagree

Let me take you down
â€~Cause I'm going to Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
Strawberry Fields forever
Strawberry Fields forever"
13,Aretha Franklin,Respect,1967,"What you want, baby, I got
What you need, do you know I got it?
All I'm askin'
Is for a little respect when you come home


  (Just a little bit)
Hey baby
  (Just a little bit)
When you get home
  (Just a little bit)
Mister
  (Just a little bit)

I ain't gonna do you wrong while you're gone
Ain't gonna do you wrong 'cause I don't wanna
All I'm askin'
Is for a little respect when you come home

  (Just a little bit)
Baby
  (Just a little bit)
When you get home
  (Just a little bit)
Yeah
  (Just a little bit)

I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my profits
When you get home

  (Just a, just a, just a, just a)
Yeah baby
  (Just a, just a, just a, just a)
When you get home
  (Just a little bit)
Yeah
  (Just a little bit)

Ooh, your kisses, sweeter than honey
And guess what? So is my money
All I want you to do for me
Is give it to me when you get home

  (Re, re, re ,re)
Yeah baby
  (Re, re, re ,re)
Whip it to me
  (Respect, just a little bit)
When you get home, now
  (Just a little bit)

R E S P E C T
Find out what it means to me
R E S P E C T
Take care, T.C.B.

Oh
  (Sock it to me, sock it to me)
  (Sock it to me, sock it to me)
A little respect
  (Sock it to me, sock it to me)
  (Sock it to me, sock it to me)
Whoa, babe

  (Just a little bit)
A little respect
  (Just a little bit)
I get tired
  (Just a little bit)
Keep on tryin'
  (Just a little bit)
You're runnin' out of foolin'
  (Just a little bit)
And I ain't lyin'
  (Just a little bit)

  (Re, re, re, re)
Respect
When you come home
  (Re, re, re, re)
Or you might walk in
  (Respect, just a little bit)
And find out I'm gone
  (Just a little bit)"
14,Sandie Shaw,Puppet On a String,1967,"Sandie Shaw
Miscellaneous
Puppet On A String
                I wonder if one day that, you'll say that, you care
If you say you love me madly, I'll gladly, be there
Like a puppet on a string

Love is just like a merry-go-round
With all the fun in the air
One day I'm feeling down on the ground
Then I'm up in the air
Are you leading me on?
Tomorrow will you be gone?

I wonder if one day that, you'll say that, you care
If you love me madly, I'll gladly, be there
Like a puppet on a string

I may win on the roundabout
Then I'll lose on the swings
In or out, there is never a doubt
Just who's pulling the strings
I'm all tied up to you
But where's it leading me to?

I wonder if one day that, you'll say that, you care
If you say you love me madly, I'll gladly, be there
Like a puppet on a string

I wonder if one day that, you'll say that, you care
If you say you love me madly, I'll gladly, be there
Like a puppet on a string

Like a puppet on a..... string"
15,Tom Jones,The Green Green Grass of Home,1967,"The old home town looks the same as I step down from the train,
and there to meet me is my Mama and Papa.
Down the road I look and there runs Mary hair of gold and lips like cherries.
It's good to touch the green, green grass of home.
Yes, they'll all come to meet me, arms reaching, smiling sweetly.
It's good to touch the green, green, grass of home.
The old house is still standing, tho' the paint is cracked and dry,
and there's that old oak tree that I used to play on.

Down the lane I walk with my sweet Mary, hair of gold and lips like cherries.
It's good to touch the green, green grass of home.
Yes, they'll all come to meet me, arms reaching, smiling sweetly.
It's good to touch the green, green grass of home.

Then I awake and look around me, at the four grey walls that surround me
and I realize, yes, I was only dreaming.
For there's a guard and there's a sad old padre -
arm in arm we'll walk at daybreak.
Again I touch the green, green grass of home.
Yes, they'll all come to see me in the shade of that old oak tree
as they lay me neath the green, green grass of home."
16,Engelbert Humperdinck,The Last Waltz,1967,"I wondered should I go or should I stay
The band had only one more song to play
And then I saw you out the corner of my eyes
A little girl alone and so shy
I had the last waltz with you
Two lonely people together
I fell in love with you
The last waltz should last forever
But the love we had was goin' strong
Through the good and bad we'd get along
And then the flame of love died in your eye
My heart was broke in two when you said goodbye
I had the last waltz with you
Two lonely people together
I fell in love with you
The last waltz should last forever
It's all over now
Nothing left to say
Just my tears and the orchestra playing
La la la la la la la la la la,
La la la la la la la la la la.
I had the last waltz with you
Two lonely people together
I fell in love with you
The last waltz should last forever
La la la la la la la la la la"
