Position,Artist,Song Title,Year,Lyrics
1,Celine Dion,My Heart Will Go On,1998,"Ev'ry night in my dreams, I see you, I feel you
That is how I know you go on
Far across the distance and spaces between us
You have come to show you go on

Near, far, wherever you are
I believe that the heart does go on
Once more you open the door and you're
Here in my heart and my heart will go on and on

Love can touch us one time and last for a
Lifetime and never let go till we're gone
Love, was when I loved you, one true time
I had to, in my life we'll always go on

Near, far, wherever you are
I believe that the heart does go on
Once more you open the door and you're
Here in my heart and my heart will go on and on

You're here, there's nothing I fear, and I know
That my heart will go on. We'll stay forever this way
You are safe in my heart and my heart will go on
And on"
2,Cher,Believe,1998,"No matter how hard I try
You keep pushing me aside
And I can't break through
There's no talking to you
It's so sad that you're leaving
It takes time to believe it
But after all is said and done
You're gonna be the lonely one

Do you believe in life after love
I can feel something inside me say
I really don't think I'm strong enough, no
Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough

What am I supposed to do
Sit around and wait for you
Well I can't do that
And there's no turning back
I need time to move on
I need love to feel strong
Cause I've got time to think it through
And maybe I'm too good for you

Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough
Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough

Well I know that I'll get through this
'Cause I know that I am strong
I don't need you anymore
I don't need you anymore
I don't need you anymore
No I don't need you anymore

Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough
Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough
Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough
Do you believe in life after love
I can feel something inside me say
I really don't think you're strong enough"
3,Aerosmith,I Don't Want to Miss a Thing,1998,"I could stay awake just to hear you breathing
Watch you smile while you are sleeping
While you're far away and dreaming

I could spend my life in this sweet surrender
I could stay lost in this moment forever
Ooh, every moment spent with you is a moment I treasure

Don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

Lying close to you feeling your heart beating
And I'm wondering what you're dreaming
Wondering if it's me you're seeing

Then I kiss your eyes
And thank God we're together
And I just want to stay with you in this moment forever
Forever and ever

I don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

And I don't want to miss one smile
I don't want to miss one kiss
Well, I just want to be with you, right here with you
Just like this

I just want to hold you close
I feel your heart so close to mine
And just stay here in this moment
For all of the rest of time
Yeah-yeah-yeah-yeah-yeah!

Don't want to close my eyes
Don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

I don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, babe
And I don't want to miss a thing

'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, babe
And I don't want to miss a thing

Don't want to close my eyes
I don't want to fall asleep, yeah
I don't want to miss a thing"
4,Brandy & Monica,The Boy is Mine,1998,"The boy is mine Excuse me can I please talk to you for a minute?
Uh hu sure you know you look kinda familiar

Yeah you do too, but I just wanted to know
Do you know somebody named?
Oh you know his name
Oh yeah definitely I know his name

Well I just want to let you that he's mine
Huh no no he's mine
You need to give it up, had about enough
It's not hard to see the boy is mine

I'm sorry that you seem to be confused
He belongs to me, the boy is mine
Think it's time we got this straight
Sit and talk face to face

There is no way you could mistake
Him for your man are you insane?
But see I know that you may be
Just a bit jealous of me

But you're blind if you can't see
That his love is all in me
See I tried to hesitate
I didn't want to say what he told me

He said without me he couldn't make it
Through the day, ain't that a shame?
But maybe you misunderstood
'Cause I can't see how he could

Wanna change something that's so good
All my love was all it took
You need to give it up, had about enough
It's not hard to see the boy is mine

I'm sorry that you seem to be confused
He belongs to me, the boy is mine
Must you do the things you do
You keep on acting like a fool

You need to know it's me not you
And if you didn't know it's 'cause it's true
I think that you should realize
And try to understand why

He is a part of my life
I know it's killing you inside
You can say what you wanna say
What we have you can't take

From the truth you can't escape
I can tell the real from the fake
When will you get the picture
You're the past I'm the future

Get away it's my time to shine
If you didn't know the boy is mine
You need to give it up, had about enough
It's not hard to see the boy is mine

I'm sorry that you seem to be confused
He belongs to me, the boy is mine
You need to give it up, had about enough
It's not hard to see the boy is mine

I'm sorry that you seem to be confused
He belongs to me, the boy is mine
You can't destroy this love I've found
Your silly games I won't allow

The boy is mine without a doubt
You might as well throw in the towel
What makes you think that he wants you
When I'm the one that brought him to
The special place that's in my heart
He was my love right from the start
You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine
You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine
You need to give it up, had about enough
It's not hard to see the boy is mine
I'm sorry that you seem to be confused
He belongs to me, the boy is mine"
5,Savage Garden,Truly Madly Deeply,1998,"I'll be your dream, I'll be your wish I'll be your fantasy.
I'll be your hope, I'll be your love be everything that you need.
I love you more with every breath truly madly deeply do.
I will be strong I will be faithful 'cause I'm counting on a new beginning.
A reason for living. A deeper meaning. Yeah.

I wanna stand with you on a mountain
I wanna bathe with you in the sea.
I wanna lay like this forever
Until the sky falls down on me...

And when the stars are shining brightly in the velvet sky
I'll make a wish send it to heaven and make you want to cry.
The tears of joy for all the pleasure and the certainty.
That we're surrounded by the comfort and protection of.
The highest powers. In lonely hours. The tears devour you.

I wanna stand with you on a mountain
I wanna bathe with you in the sea.
I wanna lay like this forever
Until the sky falls down on me...

Oh can you see it baby?
You don't have to close your eyes 'cause it's standing right before you.
All that you need will surely come...

I'll be your dream I'll be your wish I'll be your fantasy.
I'll be your hope, I'll be your love, be everything that you need.
I'll love you more with every breath truly madly deeply do...

I wanna stand with you on a mountain
I wanna bathe with you in the sea.
I wanna lay like this forever
Until the sky falls down on me...
I wanna stand with you on a mountain
I wanna bathe with you in the sea.
I wanna live like this forever
Until the sky falls down on me...
oh yeah... oh yeah"
6,Madonna,Frozen,1998,"You only see what your eyes want to see
How can life be what you want it to be
You're frozen when your heart's not open

You're so consumed with how much you get
You waste your time with hate and regret
You're broken when your heart's not open

Mmm, mmm, if I could melt your heart
Mmm, mmm, we'd never be apart
Mmm, mmm, give yourself to me
Mmm, mmm, you hold the key

Now there's no point in placing the blame
And you should know I suffer the same
If I lose you my heart will be broken

Love is a bird, she needs to fly
Let all the hurt inside of you die
You're frozen when your heart's not open

Mmm, mmm, if I could melt your heart
Mmm, mmm, we'd never be apart
Mmm, mmm, give yourself to me
Mmm, mmm, you hold the key

You only see what your eyes want to see
How can life be what you want it to be
You're frozen when your heart's not open

Mmm, mmm, if I could melt your heart
Mmm, mmm, we'd never be apart
Mmm, mmm, give yourself to me
Mmm, mmm, you hold the key

Mmm, mmm, if I could melt your heart
Mmm, mmm, we'd never be apart
Mmm, mmm, give yourself to me
Mmm, mmm, you hold the key
If I could melt your heart"
7,Natalie Imbruglia,Torn,1998,"I thought, I saw a man brought to life
He was warm, he came around and he was dignified
He showed me what it was to cry

Well, you couldn't be that man I adored
You don't seem to know
Seem to care what your heart is for
But I don't know him anymore

There's nothing where he used to lie
The conversation has run dry
That's what's going on
Nothing's fine, I'm torn

I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor

Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn
You're a little late, I'm already torn

So I guess the fortune teller's right
Should have seen just what was there
And not some holy light

It crawled beneath my veins
And now I don't care, I had no luck
I don't miss it all that much
There's just so many things
That I can touch, I'm torn

I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor

Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn
You're a little late, I'm already torn, torn

There's nothing where he used to lie
My inspiration has run dry
That's what's going on
Nothing's right, I'm torn

I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on this floor

Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn

I'm all out of faith
This is how I feel
I'm cold and I'm ashamed
Bound and broken on the floor
You're a little late, I'm already torn, torn"
8,The Goo Goo Dolls,Iris,1998,"And i'd give up forever to touch you
'Cause I know that you feel me somehow
You're the closest to heaven that I'll ever be
And I don't want to go home right now

And all I can taste is this moment
And all I can breathe is your life
'Cause sooner or later it's over
I just don't want to miss you tonight

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And you can't fight the tears that ain't coming
Or the moment of truth in your lies
When everything feels like the movies
Yeah you bleed just to know you're alive

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am"
9,Janet Jackson,Together Again,1998,"There are times
When I look above and beyond
There are times
When I feel your love around me baby
I'll never forget ma' baby
(I'll never forget you)

There are times
When I look above and beyond
There are times
When I feel your love around me baby
I'll never forget ma baby

When I feel that I don't belong
Draw my strength
From the words when you said
Hey, it's about you baby
Look deeper inside you baby

Dream about us together again
When I want us together again baby
I know we'll be together again 'cause

Everywhere I go
Every smile I see
I know you are there
Smilin' back at me

Dancin' in moonlight
I know you are free
'Cuz I can see your star
Shinin' down on me

(Together again, ooh)
Good times we'll share again
(Together again, ooh)
That makes me wanna dance

(Together again, ooh)
Say it loud and proud
(Together again, ohh)
All my love's for you

Always been a true angel to me
Now above, I can't wait for you
To wrap your wings around me baby
Wrap them around me baby

Sometimes hear you whisperin'
No more pain
No worries will you ever see now baby
I'm so happy for ma baby

I dream about us together again
When I want us together again baby
I know we'll be together again 'cause

Everywhere I go
Every smile I see
I know you are there
Smilin' back at me

Dancin' in moonlight
I know you are free
'Cuz I can see your star
Shinin' down on me

(Together again, ooh)
Good times we'll share again
(Together again, ooh)
That makes me wanna dance

(Together again, ooh)
Say it loud and proud
(Together again, ohh)
All my loves for you

There are times
When I look above and beyond
There are times
When I feel you smile upon me baby
I'll never forget ma baby

What'll I give just to hold you close
As on earth
In heaven we will be together baby
Together again ma baby

Everywhere I go
Every smile I see
I know you are there
Smilin' back at me

Dancin' in moonlight
I know you are free
'Cuz I can see your star
Shinin' down on me

Everywhere I go
Every smile I see
I know you are there
Smilin' back at me

Dancin' in moonlight
I know you are free
'Cuz I can see your star
Shinin' down on me"
10,All Saints,Never Ever,1998,"A few questions that I need to know
How you could ever hurt me so?
I need to know what I've done wrong?
And how long it's been going on?
Was it that I never paid enough attention?
Or did I not give enough affection?
Not only will your answers keep me sane
But I'll know never to make the same mistake again
You can tell me to my face
Or even on the phone
You can write it in a letter
Either way I've have to know
Did I never treat you right?
Did I always start the fight?
Either way I'm going out of my mind
All the answers to my questions I have to find

My head's spinning boy, I'm in a daze
I feel isolated, don't wanna communicate
I take a shower, I will scour, I will roam
Find peace of mind, the happy mind I once owned, yeah

Flexing vocabulary runs right through me
The alphabet runs right from A to Z
Conversations, hesitations in my mind
You got my conscience asking questions that I can't find
I'm not crazy,  I'm sure I ain't done nothin' wrong, no
I'm just waiting 'cos I heard that this feeling won't last that long

Never ever have I ever felt so low
When you gonna take me out of this black hole
Never ever have I ever felt so sad
The way I'm feeling yeah, you got me feeling really bad
Never ever have I had to find
I've had to dig a way to find my own piece of mind
I've never ever had my conscience to fight
The way I'm feeling yeah, it just don't feel right

Never ever have I ever felt so low
When you gonna take me out of this black hole
Never ever have I ever felt so sad
The way I'm feeling yeah, you got me feeling really bad
Never ever have I had to find
I've had to dig a way to find my own piece of mind
I've never ever had my conscience to fight
The way I'm feeling yeah, it just don't feel right

I'll keep searching deep within my soul for all the answers
Don't wanna hurt no more, I need peace
Got to feel at ease
Need to be free from pain
Go insane
My heart aches, yeah

Sometimes vocabulary runs through my head
The alphabet runs right from A to Z
Conversations, hesitations in my mind
You got my concience asking questions that I can't find
I'm not crazy
I'm sure I ain't done nothing wrong
Now I'm just awaiting
'Cos I heard that this feeling won't last that long

Never ever have I ever felt so low
When you gonna take me out of this black hole
Never ever have I ever felt so sad
The way I'm feeling yeah, you got me feeling really bad
Never ever have I had to find
I've had to dig a way to find my own piece of mind
I've never ever had my conscience to fight
The way I'm feeling yeah, it just don't feel right

Never ever have I ever felt so low
When you gonna take me out of this black hole
Never ever have I ever felt so sad
The way I'm feeling yeah, you got me feeling really bad
Never ever have I had to find
I've had to dig a way to find my own piece of mind
I've never ever had my conscience to fight
The way I'm feeling yeah, it just don't feel right

Never ever have I ever felt so low
When you gonna take me out of this black hole
Never ever have I ever felt so sad
The way I'm feeling yeah, you got me feeling really bad
Never ever have I had to find
I've had to dig a way to find my own piece of mind
I've never ever had my conscience to fight
The way I'm feeling yeah, it just don't feel right

Never ever have I ever felt so low
When you gonna take me out of this black hole
Never ever have I ever felt so sad
The way I'm feeling yeah, you got me feeling really bad
Never ever have I had to find
I've had to dig a way to find my own piece of mind
I've never ever had my conscience to fight
The way I'm feeling yeah, it just don't feel right

You can tell me to my face
You can tell me on the phone
Ooh, you can write it in a letter, babe
'Cos I really need to know
You can tell me to my face
You can tell me on the phone
Ooh, you can write it in a letter, babe
'Cos I really need to know

You can write it in a letter, babe
You can write it in a letter, babe"
