Position,Artist,Song Title,Year,Lyrics
1,Gotye & Kimbra,Somebody That I Used to Know,2012,"Now and then, I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love, and it's an ache I still remember

You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well, you said that we would still be friends
But I'll admit that I was glad that it was over

But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough

No, you didn't have to stoop so low
Have your friends, collect your records, and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Now you're just somebody that I used to know
Now you're just somebody that I used to know

Now and then, I think of all the times you screwed me over
But had me believing it was always something that I'd done

But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know

But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough

No, you didn't have to stoop so low
Have your friends, collect your records, and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Somebody (I used to know)
Somebody (now you're just somebody that I used to know)
Somebody (I used to know)
Somebody (now you're just somebody that I used to know)

I used to know
That I used to know
I used to know
Somebody"
2,Carly Rae Jepsen,Call Me Maybe,2012,"I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
and now you're in my way
I trade my soul for a wish
pennies and dimes for a kiss
I wasn't looking for this
but now you're in my way
Your stare was holdin', Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?
Hey, I just met you
and this is crazy
but here's my number
so call me, maybe?
It's hard to look right
at you baby
but here's my number
so call me, maybe?
Hey, I just met you
and this is crazy
but here's my number
so call me, maybe?
And all the other boys
try to chase me
but here's my number
so call me, maybe?
You took your time with the call
I took no time with the fall
You gave me nothing at all
but still, you're in my way
I beg, and borrow and steal
Have foresight and it's real
I didn't know I would feel it
but it's in my way
Your stare was holdin', Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?
Hey, I just met you
and this is crazy
but here's my number
so call me, maybe?
It's hard to look right
at you baby
but here's my number
so call me, maybe?
Hey, I just met you
and this is crazy
but here's my number
so call me, maybe?
And all the other boys
try to chase me
but here's my number
so call me, maybe?
Before you came into my life
I missed you so bad
I missed you so bad
I missed you so, so bad
Before you came into my life
I missed you so bad
And you should know that
I missed you so, so bad
It's hard to look right
at you baby
but here's my number
so call me, maybe?
Hey, I just met you
and this is crazy
but here's my number
so call me, maybe?
And all the other boys
try to chase me
but here's my number
so call me, maybe?
Before you came into my life
I missed you so bad
I missed you so bad
I missed you so so bad
Before you came into my life
I missed you so bad
And you should know that
So call me, maybe?"
3,fun.,We Are Young,2012,"Give me a second, I
I need to get my story straight
My friends are in the bathroom getting higher than the Empire State
My lover, she's waiting for me just across the bar
My seat's been taken by some sunglasses asking 'bout a scar and

I know I gave it to you months ago
I know you're trying to forget
But between the drinks and subtle things
The holes in my apologies, you know

I'm trying hard to take it back
So if by the time the bar closes
And you feel like falling down
I'll carry you home

Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

Now I know that I'm not all that you got
I guess that I, I just thought
Maybe we could find new ways to fall apart
But our friends are back
So let's raise a toast
'Cause I found someone to carry me home

Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

Carry me home tonight
Just carry me home tonight
Carry me home tonight
Just carry me home tonight

The moon is on my side
I have no reason to run
So will someone come and carry me home tonight

The angels never arrived
But I can hear the choir
So will someone come and carry me home

Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

So if by the time the bar closes
And you feel like falling down
I'll carry you home tonight"
4,Psy,Gangnam Style,2012,"ROMANIZED

Oppan gang-namseutayil
Kang-namseutayil

Naje-neun ttasaroun inkanjeo-gin yeoja
Keopi hanjanye yeoyureuraneun pumkyeok i-nneun yeoja
Bami omyeon shimjangi tteugeowojineun yeoja
Keureon banjeon i-nneun yeoja

Naneun sana-i
Naje-neun neomankeum ttasaroun geureon sana-i
Keopi shikgido jeone wonsyas ttaerineun sana-i
Bami omyeon shimjangi teojyeobeorineun sana-i
Keureon sana-i

Areumdawo sarangseureowo
Keurae neo hey keurae baro neo hey

Areumdawo sarangseureowo
Keurae neo hey keurae baro neo hey

Chigeumbu-teo kal dekkaji kabol-kka

Oppan gang-namseutayil

Kang-namseutayil

Oppan gang-namseutayil

Kang-namseutayil

Oppan gang-namseutayil

Eh- sexy lady
Oppan gang-namseutayil

Eh- sexy lady
O-oo-o

Jeongsu-khae boijiman nol ttaen noneun yeoja
Ittaeda shipeumyeon mukkeot-deon meori puneun yeoja
Karyeot-jiman wen-manhan nochulboda yahan yeoja
Keureon gamkakjeo-gin yeoja

Naneun sana-i
Jeomjanha boijiman nol ttaen noneun sana-i
Ttae-ga dwehmyeon wahnjeon michyeobeorineun sana-i
Keunyukboda sasangi ul-tungbul-tung-han sana-i
Keureon sana-i

Areumdawo sarangseureowo
Keurae neo hey keurae baro neo hey

Areumdawo sarangseureowo
Keurae neo hey keurae baro neo hey

Chigeumbu-teo kal dekkaji kabol-kka

Oppan gang-namseutayil

Kang-namseutayil

Oppan gang-namseutayil

Kang-namseutayil

Oppan gang-namseutayil

Eh- sexy lady
Oppan gang-namseutayil

Eh- sexy lady
O-oo-o

Ttwiineun nom keu wiie naneun nom
Baby baby
Naneun mwol jom aneun nom

Ttwiineun nom keu wiie naneun nom
Baby baby
Naneun mwol jom aneun nom

You know what i’m saying

Oppan gang-namseutayil

Eh- sexy lady
Oppan gang-namseutayil

Eh- sexy lady
Oppan gang-namseutayil




///




ENGLISH

Oppa is Gangnam style
Gangnam style

A girl who is warm and humanle during the day
A classy girl who know how to enjoy the freedom of a cup of coffee
A girl whose heart gets hotter when night comes
A girl with that kind of twist

I’m a guy
A guy who is as warm as you during the day
A guy who one-shots his coffee before it even cools down
A guy whose heart bursts when night comes
That kind of guy

Beautiful, loveable
Yes you, hey, yes you, hey
Beautiful, loveable
Yes you, hey, yes you, hey
Now let’s go until the end

Oppa is Gangnam style, Gangnam style
Oppa is Gangnam style, Gangnam style
Oppa is Gangnam style

Eh- Sexy Lady, Oppa is Gangnam style
Eh- Sexy Lady oh oh oh oh

A girl who looks quiet but plays when she plays
A girl who puts her hair down when the right time comes
A girl who covers herself but is more sexy than a girl who bares it all
A sensable girl like that

I’m a guy
A guy who seems calm but plays when he plays
A guy who goes completely crazy when the right time comes
A guy who has bulging ideas rather than muscles
That kind of guy

Beautiful, loveable
Yes you, hey, yes you, hey
Beautiful, loveable
Yes you, hey, yes you, hey
Now let’s go until the end

Oppa is Gangnam style, Gangnam style
Oppa is Gangnam style, Gangnam style
Oppa is Gangnam style

Eh- Sexy Lady, Oppa is Gangnam style
Eh- Sexy Lady oh oh oh oh

On top of the running man is the flying man, baby baby
I’m a man who knows a thing or two
On top of the running man is the flying man, baby baby
I’m a man who knows a thing or two

You know what I’m saying
Oppa is Gangnam style

Eh- Sexy Lady, Oppa is Gangnam style
Eh- Sexy Lady oh oh oh oh"
5,Flo-Rida,Whistle,2012,"Can you blow my whistle baby, whistle baby?
Let me know.
Girl, I'm gonna show you how to do it and we start real slow.
You just put your lips together and you come real close,
Can you blow my whistle baby, whistle baby?
Let me know!!!"
6,Bruno Mars,Locked Out Of Heaven,2012,"One, two, one, two, three

Oh yeah yeah
Oh yeah yeah yeah
Ooh!
Oh yeah yeah
Oh yeah yeah yeah
Ooh!

Never had much faith in love or miracles
Never wanna put my heart on deny
But swimming in your world is something spiritual
I'm born again every time you spend the night

Cause your sex takes me to paradise
Yeah your sex takes me to paradise
And it shows, yeah, yeah, yeah
Cause you make feel like, 
I've been locked out of heaven
For too long, for too long
Yeah you make feel like, 
I've been locked out of heaven
For too long, for too long

Oh yeah yeah yeah
Ooh!
Oh yeah yeah
Oh yeah yeah yeah
Ooh!

You bring me to my knees
You make me testify
You can make a sinner change his ways
Open up your gates cause I can't wait to see the light
And right there is where I wanna stay

Cause your sex takes me to paradise
Yeah your sex takes me to paradise
And it shows, yeah, yeah, yeah
Cause you make feel like, 
I've been locked out of heaven
For too long, for too long
Yeah you make feel like, 
I've been locked out of heaven
For too long, for too long

Oh oh oh oh, yeah, yeah, yeah
Can I just stay here
Spend the rest of my days here
Oh oh oh oh, yeah, yeah, yeah
Can't I just stay here
Spend the rest of my days here

Cause you make feel like, 
I've been locked out of heaven
For too long, for too long
Yeah you make feel like, 
I've been locked out of heaven
For too long, for too long

Oh yeah yeah yeah
Ooh!
Oh yeah yeah
Oh yeah yeah yeah
Ooh!"
7,Adele,Skyfall,2012,"This is the end
Hold your breath and count to ten
Feel the earth move and then
Hear my heart burst again

For this is the end
I've drowned and dreamt this moment
So overdue I owe them
Swept away, I'm stolen

Let the sky fall
When it crumbles
We will stand tall
Face it all together

Let the sky fall
When it crumbles
We will stand tall
Face it all together
At Skyfall
At Skyfall

Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number
You can take my name
But you'll never have my heart

Let the sky fall
(Let the sky fall)
When it crumbles
(When it crumbles)
We will stand tall
(We will stand tall)
Face it all together

Let the sky fall
(Let the sky fall)
When it crumbles
(When it crumbles)
We will stand tall
(We will stand tall)
Face it all together
At Skyfall

(Let the sky fall)
(When it crumbles)
(We will stand tall)
(Let the sky fall)
(When it crumbles)
(We will stand tall)

Where you go I go
What you see I see
I know I'd never be me
Without the security of your loving arms
Keeping me from harm
Put your hand in my hand
And we'll stand

Let the sky fall
(Let the sky fall)
When it crumbles
(When it crumbles)
We will stand tall
(We will stand tall)
Face it all together

Let the sky fall
(Let the sky fall)
When it crumbles
(When it crumbles)
We will stand tall
(We will stand tall)
Face it all together
At Skyfall

Let the sky fall
We will stand tall
At Skyfall"
8,Flo-Rida,Good Feeling,2012,"Exception occurred 
HTTP Error 404: Not Found"
9,Rihanna,Diamonds,2012,"Shine bright like a diamond
Shine bright like a diamond

Find light in the beautiful sea
I choose to be happy
You and I, you and I

We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive

We're like diamonds in the sky
I knew that we'd become one right away
Oh, right away
At first sight I felt the energy of sun rays

I saw the life inside your eyes
So shine bright, tonight you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive

We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond

We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond

We're beautiful like diamonds in the sky
Palms rise to the universe
As we moonshine and molly

Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy

When you hold me, I'm alive
We're like diamonds in the sky

At first sight I felt the energy of sun rays
I saw the life inside your eyes
So shine bright, tonight you and I
We're beautiful like diamonds in the sky

Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond

Shining bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond

Shining bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
So shine bright, tonight you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond"
10,Katy Perry,Wide Awake,2012,"I'm wide awake
I'm wide awake
I'm wide awake

Yeah, I was in the dark
I was falling hard
With an open heart
I'm wide awake
How did I read the stars so wrong?
I'm wide awake

And now it's clear to me
That everything you see
Ain't always what it seems
I'm wide awake
Yeah, I was dreaming for so long

I wish I knew then
What I know now
Wouldn't dive in
Wouldn't bow down
Gravity hurts
You made it so sweet
Till I woke up on
On the concrete

Falling from cloud 9
Crashing from the high
I'm letting go tonight
Yeah, I'm falling from cloud 9

I'm wide awake
Not losing any sleep
I picked up every piece
And landed on my feet
I'm wide awake
Need nothing to complete myself, no
I'm wide awake
Yeah, I am born again
Out of the lion's den
I don't have to pretend
And it's too late
The story's over now, the end

I wish I knew then
What I know now
Wouldn't dive in
Wouldn't bow down
Gravity hurts
You made it so sweet
Till I woke up on
On the concrete

Falling from cloud 9
It was out of the blue, I'm
Crashing from the high
I'm letting go tonight
Yeah, I'm ready to go, I'm
I'm falling from cloud 9
I'm wide awake
Thunder rumbling
Castles crumbling
I am trying to hold on
God knows that I tried
Seeing the bright side
But I'm not blind anymore
I'm wide awake
I'm wide awake

Yeah, I'm falling from cloud 9
It was out of the blue, I'm
Crashing from the high
You know I'm letting go tonight
Yeah, I'm ready to go, I'm
I'm falling from cloud 9
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake"
