Position,Artist,Song Title,Year,Lyrics
1,Chubby Checker,Let's Twist Again,1961,"Come on everybody, clap your hands
Are you lookin' good?
I'm gonna sing my song
It won't take long
We're gonna do the twist and it goes like this

Come on, let's twist again like we did last summer
Yeah, let's twist again like we did last year
Do you remember when things were really hummin'?
Yeah, let's twist again, twistin' time is here

Ee, a round and round and up and down we go again
Oh, baby make me know you love me so and then
Twist again like we did last summer
Come on, let's twist again
Like we did last year
Twist, yo

Who's that flyin' up there
Is it a bird? No
Is it a plane? No
Is it the twister? Yeah

Yeah, twist again like we did last summer
Come on, let's twist again like we twist last year
Do you remember when things were really hummin'?
Come on, let's twist again, twistin' time is here

Ee, a round and round and up and down we go again
Oh, baby make me know you love me so and then
Come on, twist again like we did last summer
Girl, let's twist again
Like we did last year

Come on, lets twist again
Twistin' time is here"
2,Ben E King,Stand By Me,1961,"When the night has come
and the land is dark
and the moon is the only
light we'll see.
No I won't be afraid
no I won't be afraid
just as long as you stand
stand by me.
So darlin', darlin', stand by me, oh stand by me
oh stand, stand by me
stand by me.
If the sky that we look upon
should tumble and fall
and the mountains should crumble to the sea.
I won't cry, I won't cry
no I won't shed a tear
just as long as you stand
stand by me.
And darlin', darlin', stand by me, oh stand by me

oh stand now, stand by me, stand by me.
Darlin', darlin', stand by me
oh stand by me
oh stand now, stand by me
stand by me.
Whenever you're in trouble
won't you stand by me
oh stand by me
oh..."
3,Elvis Presley,Surrender,1961,"When we kiss my heart's on fire
Burning with a strange desire
And I know, each time I kiss you
That your heart's on fire too

So, my darling, please surrender
All your love so warm and tender
Let me hold you in my arms, dear
While the moon shines bright above

All the stars will tell the story
Of our love and all it's glory
Let us take this night of magic
And make it a night of love

Won't you please surrender to me?
Your lips, your arms, your heart, dear
Be mine forever, be mine tonight"
4,Del Shannon,Runaway,1961,"As I walk along, I wonder
A-what went wrong with our love
A love that was so strong

And as I still walk on, I think of
The things we've done together
While our hearts were young

I'm a-walkin' in the rain
Tears are fallin', and I feel the pain
A-wishin' you were here by me
To end this misery

And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why
She ran away
And I wonder
Where she will stay-ay
My little runaway
A-run, run, run, run, runaway

I'm a-walkin' in the rain
Tears are fallin', and I feel the pain
A-wishin' you were here by me
To end this misery
And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why
She ran away
And I wonder
Where she will stay-ay
My little runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway"
5,The Marcels,Blue Moon,1961,"Blue moon, you saw me standing alone
Without a dream in my heart
Without a love of my own

Blue moon, you knew just what I was there for
You heard me saying a prayer for
Someone I really could care for

And then there suddenly appeared before me
The only one my arms will ever hold
I heard somebody whisper, ""Please adore me""
And when I looked, the moon had turned to gold

Blue moon, now I'm no longer alone
Without a dream in my heart
Without a love of my own"
6,Ricky Nelson,Hello Mary Lou,1961,"Hello Mary Lou, goodbye heart
Sweet Mary Lou, I'm so in love with you
I knew Mary Lou, we'd never part
So hello Mary Lou, goodbye heart

You passed me by one sunny day
Flashed those big brown eyes my way
And oo I wanted you forever more
Now I'm not one that gets around
Swear my feet stuck to the ground
And though I never did meet you before

I said, hello Mary Lou, goodbye heart
Sweet Mary Lou, I'm so in love with you
I knew Mary Lou, we'd never part
So hello Mary Lou, goodbye heart

I saw your lips I heard your voice
Believe me I just had no choice
Wild horses couldn't make me stay away
I thought about a moonlit night
My arms about good an' tight
That's all I had to see for me to say

Hey, hey, hello Mary Lou, goodbye heart
Sweet Mary Lou, I'm so in love with you
I knew Mary Lou, we'd never part
So hello Mary Lou, goodbye heart
So hello Mary Lou, goodbye heart
Yes hello Mary Lou, goodbye heart"
7,Elvis Presley,Wooden Heart,1961,"Can't you see, I love you
Please don't break my heart in two
That's not hard to do
'Cause I don't have a wooden heart

And if you say goodbye
Then I know that I would cry
Maybe I would die
'Cause I don't have a wooden heart

There's no strings upon this love of mine
It was always you from the start

Treat me nice, treat me good
Treat me like you really should
'Cause I'm not made of wood
And I don't have a wooden heart

Muss I denn, muss I denn
Zum stadtele hinaus
Stadtele hinaus
Und du, mein schat, bleibst hier?

Muss I denn, muss I denn
Zum stadtele hinaus
Stadtele hinaus
Und du, mein schat, bleibst hier?

There's no strings upon this love of mine
It was always you from the start

Sei mir gut, Sei mir gut
Sei mir wie du wirklich sollst
Wie du wirklich sollst
'Cause I don't have a wooden heart"
8,Highwaymen,Michael Row the Boat,1961,"Michael rowed the boat ashore, halleluja
Michael rowed the boat ashore, halleluja

Sister helped to trim the sails, halleluja
Sister helped to trim the sails, halleluja

Michael rowed the boat ashore, halleluja
Michael rowed the boat ashore, halleluja

The river Jordan is chilly and cold, halleluja
Chills the body but not the soul, halleluja

Michael rowed the boat ashore, halleluja
Michael rowed the boat ashore, halleluja

The river is deep and the river is wide, halleluja
Milk and honey on the other side, halleluja

Michael rowed the boat ashore, halleluja
Michael rowed the boat ashore, halleluja"
9,Roy Orbison,Crying,1961,"I was alright, for a while
I could smile for a while
but when I saw you last night
you held my hand so tight
as you stopped to say hello
oh, you wished me well
and you couldn't tell
that i'd been
crying over you
crying over you
when you said so long
you left me standing all alone
alone and crying
crying
crying
I'm crying
it's hard to understand
that the touch of your hand
could start me crying
...
I thought that I was over you
but it's true, oh so true
I love you even more
than I did before
but darling, what can I do
'cause you don't love me
and I'll always be
crying over you
crying over you
and now that you're gone
and from this moment on
I'll be crying
crying
crying
crying
I'm crying
I'm crying
over you"
10,Ray Charles,"Hit the Road, Jack",1961,"(Hit the road, Jack and don't you come back no more
no more, no more, no more)
(Hit the road, Jack and don't you come back no more)
What you say?

(Hit the road, Jack and don't you come back no more
no more, no more, no more)
(Hit the road, Jack and don't you come back no more)

Woah, Woman, oh woman, don't treat me so mean
You're the meanest old woman that I've ever seen
I guess if you say so
I'll have to pack my things and go (That's right)

(Hit the road, Jack and don't you come back no more
no more, no more, no more)
(Hit the road, Jack and don't you come back no more)
What you say?

(Hit the road, Jack and don't you come back no more
no more, no more, no more)
(Hit the road, Jack and don't you come back no more)

Now baby, listen, baby, don't ya treat me this-a way
Cause I'll be back on my feet some day
(Don't care if you do 'cause it's understood)
(You ain't got no money you just ain't no good)
Well, I guess if you say so
I'll have to pack my things and go (That's right)

(Hit the road, Jack and don't you come back no more
no more, no more, no more)
(Hit the road, Jack and don't you come back no more)

What you say
(Hit the road, Jack and don't you come back no more
no more, no more, no more)
(Hit the road, Jack and don't you come back no more)

Well, uh, what you say?
(Don't you come back no more)
I didn't understand you!
(Don't you come back no more)
You can't mean that!
(Don't you come back no more)
Oh, now baby, please!
(Don't you come back no more)
What you tryin' to do to me?
(Don't you come back no more)"
11,Dion,Runaround Sue,1961,"Here's my story, it's sad but true
It's about a girl that I once knew
She took my love then ran around
With every single guy in town

Ah, I should have known it from the very start
This girl will leave me with a broken heart
Now listen people what I'm telling you
A-keep away from-a Runaround Sue
I miss her lips and the smile on her face
The touch of her hair and this girl's warm embrace
So if you don't wanna cry like I do
A-keep away from-a Runaround Sue

Ah, she likes to travel around
She'll love you but she'll put you down
Now people let me put you wise
Sue goes out with other guys
Here's the moral and the story from the guy who knows
I fell in love and my love still grows
Ask any fool that she ever knew, they'll say
Keep away from-a Runaround Sue

Yeah keep away from this girl
I don't know whats she'll do
Keep away from Sue

She likes to travel around
She'll love you but she'll put you down
Now people let me put you wise
Sue goes out with other guys
Here's the moral and the story from the guy who knows
I fell in love and my love still grows
Ask any fool that she ever knew, they'll say
Keep away from-a Runaround Sue"
12,Henry Mancini,Moon River,1961,"Moon river, wider than a mile
I'm crossing you in style some day
Oh, dream maker, you heart breaker
Wherever you're goin', I'm goin' your way

Two drifters, off to see the world
There's such a lot of world to see
We're after the same rainbow's end, waitin' 'round the bend
My huckleberry friend, moon river, and me"
13,Bert Kaempfert & his Orchestra,Wonderland By Night,1961,"Exception occurred 
HTTP Error 404: Not Found"
