Position,Artist,Song Title,Year,Lyrics
1,Britney Spears,Baby One More Time,1999,"Oh, baby, baby
Oh, baby, baby

Oh, baby, baby, how was I supposed to know
That something wasn't right here?
Oh, baby, baby, I shouldn't have let you go
And now you're out of sight, yeah
Show me how you want it to be
Tell me, baby, 'cause I need to know now, oh, because

My loneliness is killing me (and I)
I must confess I still believe (still believe)
When I'm not with you I lose my mind
Give me a sign
Hit me baby one more time

Oh, baby, baby, the reason I breathe is you
Boy, you got me blinded
Oh, pretty baby, there's nothing that I wouldn't do
It's not the way I planned it
Show me how you want it to be
Tell me, baby, 'cause I need to know now, oh, because

My loneliness is killing me (and I)
I must confess I still believe (still believe)
When I'm not with you I lose my mind
Give me a sign
Hit me baby one more time

Oh, baby, baby
Oh, baby, baby, eh-eh-yeah

Oh, baby, baby, how was I supposed to know?
Oh, pretty baby, I shouldn't have let you go

I must confess that my loneliness is killing me now
Don't you know I still believe?
That you will be here and give me a sign
Hit me baby one more time

My loneliness is killing me (and I)
I must confess I still believe (still believe)
When I'm not with you I lose my mind
Give me a sign
Hit me baby one more time

I must confess that my loneliness is killing me now
Don't you know I still believe?
That you will be here and give me a sign
Hit me baby one more time"
2,Ricky Martin,Livin' La Vida Loca,1999,"She's into superstitions
Black cats and voodoo dolls
Well, I feel a premonition
That girl's gonna make me fall
She's into new sensations
New kicks in the candlelight
She's got new addictions
For every day and night
She'll make you take your clothes off
And go dancing in the rain
She'll make you live her crazy life

But she'll take away your pain
Like a bullet to your brain
Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha

She will wear you out

Livin' la vida loca
Livin' la vida loca
She's livin' la vida loca
Woke up in New York City
In a funky cheap hotel
She took my heart and she took my money
She must've slipped me a sleepin' pill

She never drinks the water
Makes you order French champagne

Once you've had a taste of her
You'll never be the same
Yeah, she'll make you go insane!
Upside inside out
She's livin' la vida loca
She'll push and pull you down

Livin' la vida loca
Her lips are devil red
And her skin's the color mocha

She will wear you out
Livin' la vida loca
Livin' la vida loca

She's livin' la vida loca
She'll make you take your clothes off
And go dancing in the rain
She'll make you live her crazy life
But she'll take away your pain
Like a bullet to your brain
Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca
Livin' la vida loca
She's livin' la vida loca"
3,Lou Bega,Mambo No 5 (A Little Bit of ...),1999,We do not have the lyrics for Mambo No. 5 (A Little Bit Of...) yet.
4,Rob Thomas & Santana,Smooth,1999,"Man it's a hot one
Like seven inches from the midday sun
I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my spanish harlem Mona Lisa
You're my reason for reason
The step in my groove
And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Cause you're so smooth
()
And it's just like the ocean under the moon
Well that's the same as the emotion that I get from you
You got the kind of lovin that can be so smooth
Give me your heart, make it real
Or else forget about it
I'll tell you one thing
If you would leave it would be a crying shame
In every breath and every word I hear your name calling me out
Out from the barrio, you hear my rhythm from your radio
You feel the turning of the world so soft and slow
Turning you round and round
(Bridge)
And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Cause you're so smooth
()
And it's just like the ocean under the moon
Well that's the same as the emotion that I get from you
You got the kind of lovin that can be so smooth
Give me your heart, make it real
Or else forget about it"
5,TLC,No Scrubs,1999,"A scrub is a guy that think he's fine and is
Also known as a buster (buster, buster)
Always talkin' about what he wants
And just sits on his broke ass
So

No, I don't want your number (no)
I don't want to give you mine and (no)
I don't want to meet you nowhere (no)
Don't want none of your time and

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

But a scrub is checkin' me but his game is kinda weak
And I know that he cannot approach me
'Cause I'm lookin' like class and he's lookin' like trash
Can't get wit' no deadbeat ass
So (yeah, yeah)

No, I don't want your number (no)
I don't want to give you mine and (no)
I don't want to meet you nowhere (no)
I don't want none of your time

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

If you don't have a car and you're walking
Oh yea son I'm talking to you
If you live at home wit' your momma
Oh yes son I'm talking to you (baby)
If you have a shorty but you don't show love
Oh yes son I'm talking to you
Wanna get with me with no money
Oh no I don't want no (oh)

(No) no scrub
(Scrub)(no love)
(No) no scrub
(Scrub) no no
(No) no scrub
(Scrub) no no no no (no)
(Scrub) no no

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

See, if you can't spatially expand my horizons
Then that leaves you in a class with scrubs never risin'
I don't find it surprisin' if you don't have the g's
To please me and bounce from here to the coast of overseas
So, let me give you somethin' to think about
Inundate your mind with intentions to turn you out
Can't forget the focus on the picture in front of me
You as clear as DVD on digital TV screen
Satisfy my appetite with something spectacular
Check your vernacular and then I get back to ya
With diamond like precision, insatiable is what I envision
Can't detect acquisition from your friend's expedition
Mr. Big Willy if you really wanna know
Ask Chilli, could I be a silly ho
Not really, T-Boz and all my señoritas
Is steppin' on your Filas but you don't hear me though
No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side..."
6,Eiffel 65,Blue (Da Ba Dee),1999,"Eiffel 65
Europop
Blue [da Ba Dee]
yo listen up
Here's the story about a little guy that lives in a blue world
And all day and all night and everything he sees is just blue like him
Indside and outside
Blue his house with the blue little window and a blue corvette
And everything is blue for him and his-self
And everybody around cuz he ain't got nobody to listen.

I'm blue da ba dee da ba di  da ba dee da ba di da d ba dee da ba di da ba dee
Da ba di  da ba dee da ba di da (repeat once)

I have a blue house with a blue window
Blue is the color i bought that i wear
Blue are the trees and now the trees are too
I have a girlfriend and she is so blue
Blue are the people here that walk around
Blue like my corvette it's standing outside
Blue are the words are say and what i think
Blue are the feelings that live inside me.

I'm blue da ba dee da ba di  da ba dee da ba di da d ba dee da ba di da ba dee
Da ba di  da ba dee da ba di da (repeat twice)

Indside and outside
Blue his house with the blue little window and a blue corvette
And everything is blue for him and his-self
And everybody around cuz he ain't got nobody to listen.

I'm blue da ba dee da ba di  da ba dee da ba di da ba dee da ba di da ba dee da
Ba di	da ba dee da ba di da (repeat til end)"
7,The Backstreet Boys,I Want it That Way,1999,"Yeah

You are my fire
The one desire
Believe
When I say
I want it that way

But we are
Two worlds apart
Can't reach to your heart
When you say
That I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

Am I your fire?
Your one desire?
Yes I know, it's too late
But I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way

Now I can see that we've fallen apart
From the way that it used to be, yeah
No matter the distance
I want you to know
That deep down inside of me

You are my fire
The one desire
You are (You are, you are, you are)
Don't wanna hear you say

Ain't nothin' but a heartache
Ain't nothin' but a mistake
Don't wanna hear you say
I never wanna hear you say
Aww, yeah
I want it that way

Tell me why
Ain't nothin' but a heartache
Tell me why
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
Don't wanna hear you say
I want it that way

Tell me why
Ain't nothin' but a heartache
Ain't nothin' but a mistake
Tell me why
I never wanna hear you say
I want it that way
'Cause I want it that way"
8,Christina Aguilera,Genie in a Bottle,1999,"I feel like I've been locked up tight
For a century of lonely nights
Waiting for someone to release me

You're licking your lips and blowing kisses my way
But that don't mean I'm gonna give it away
Baby, baby, baby
  (Baby, baby, baby)

My body is saying let's go
But my heart is saying no

If you wanna be with me, baby there's a price to pay
I'm a genie in a bottle, you gotta rub me the right way
If you wanna be with me, I can make your wish come true
You gotta make a big impression, I gotta like what you do

I'm a genie in a bottle baby, you gotta rub me the right way honey
I'm a genie in a bottle baby, come, come, come on and let me out

The music's fading and the lights down low
Just one more dance and then were good to go
Waiting for someone who needs me

Hormones racing at the speed of light
But that don't mean it's gotta be tonight
Baby, baby, baby
  (Baby, baby, baby)

My body is saying let's go
But my heart is saying no
  (But my heart is saying no)

If you wanna be with me, baby there's a price to pay
I'm a genie in a bottle, you gotta rub me the right way
  (I'm a genie in a bottle)
If you wanna be with me, I can make your wish come true
  (Wish come true)
Just come and set me free baby and I'll be with you

I'm a genie in a bottle baby, you gotta rub me the right way honey
I'm a genie in a bottle baby, come, come, come on and let me out

I'm a genie in a bottle baby, you gotta rub me the right way honey
  (If you wanna be with me)
I'm a genie in a bottle baby, come, come, come on and let me out

My body is saying let's go
But my heart is saying no, no

If you wanna be with me, baby there's a price to pay
I'm a genie in a bottle, you gotta rub me the right way
  (I'm a genie in a bottle)
If you wanna be with me, I can make your wish come true
You gotta make a big impression, I gotta like what you do

If you wanna be with me, baby there's a price to pay
I'm a genie in a bottle, you gotta rub me the right way
  (You gotta rub me the right way)
If you wanna be with me, I can make your wish come true
Just come and set me free baby and I'll be with you

I'm a genie in a bottle baby, come, come, come, on and let me out"
9,Jennifer Lopez,If You Had My Love,1999,"Ay yo, you know what I feel like doing?
I feel like doing another Darkchild remix
'99, Darkchild, Jennifer

Come on and dance a little
Let me see you dance a little
I like it when you dance a little
Baby work it out and just dance a little

Come on and dance a little
Let me see you dance a little
I like it when you dance a little
Baby work it out and just dance a little

Come on and dance a little
Let me see you dance a little
I like it when you dance a little
Baby work it out and just dance a little

Now if I give you me
This is how it's got to be
First of all I won't take you cheating on me
And who can I trust, if I can't trust in you
And I refuse to let you play me for a fool

You said that we could possibly spend eternity
See that's what you told me, that's what you said
But if you want me
You have to be fulfilling all my dreams
If you really want me baby

If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
And call me baby

You said you want my love
And you've got to have it all
But first there are some things you need to know
If you wanna live with all I have to give
I need to feel true love or it's got to end, yeah

I don't want you tryin' to get with me
And I end up unhappy
I don't need the hurt and I don't need the pain
So before I do, give myself to you
I have to know the truth
If I spend my life with you

If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
And call me baby

If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
And call me baby

Come on and dance a little
Let me see you dance a little
I like it when you dance a little
Baby work it out and just dance a little

Come on and dance a little
Let me see you dance a little
I like it when you dance a little
Darkchild, Jennifer Lopez, come on

If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
And call me baby

If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me?
And call me baby"
10,Offspring,Pretty Fly (For a White Guy),1999,We do not have the lyrics for Pretty Fly (For a White Guy (In the Style of the Offspring) [Karaoke Version) yet.
