Position,Artist,Song Title,Year,Lyrics
1,The Beatles,Let it Be,1970,"When I find myself in times of trouble
Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness
She is standing right in front of me
Speaking words of wisdom, let it be

Let it be, let it be
Let it be, let it be
Whisper words of wisdom, let it be

And when the broken-hearted people
Living in the world agree
There will be an answer, let it be
For though they may be parted
There is still a chance that they will see
There will be an answer, let it be

Let it be, let it be
Let it be, let it be
Yeah, there will be an answer, let it be
Let it be, let it be
Let it be, let it be
Whisper words of wisdom, let it be

Let it be, let it be
Ah, let it be, yeah, let it be
Whisper words of wisdom, let it be

And when the night is cloudy
There is still a light that shines on me
Shine on until tomorrow, let it be
I wake up to the sound of music,
Mother Mary comes to me
Speaking words of wisdom, let it be

Let it be, let it be
Let it be, yeah, let it be
Oh, there will be an answer, let it be
Let it be, let it be
Let it be, yeah, let it be
Whisper words of wisdom, let it be"
2,Mungo Jerry,In the Summertime,1970,"In the summertime when the weather is high
You can stretch right up and touch the sky
When the weather's right
You got women, you got women on your mind
Have a drink, have a drive
Go out and see what you can find

If her daddy's rich, take her out for a meal
If her daddy's poor, just do what you feel
Speed along the lane
Do a ton or a ton and twenty-five
When the sun goes down you can make it
Make it good in a lay-by

We're no threat, people, we're not dirty, we're not mean
We love everybody but we do as we please
When the weather is fine
We go fishing or go swimming in the sea
We're always happy
Life's for living, yeah, that's our philosophy

Sing along with us
Dee dee dee dee dee
Dah dah dah dah dah
Yeah we're hap, happy
Dah dah dah
Dee dah do dee dah do dah dah, yeah
Dah de dah dah dah, alright, alright
Dah dah ah do dah dah, alright ah

When the winter's here, yeah, it's party time
Bring a bottle, wear you're bright clothes
It'll soon be summertime and we'll sing again
We'll go drivin' or maybe we'll settle down
If she's rich, if she's nice
Bring you're friends and we'll all go into town

In the summertime when the weather is high
You can stretch right up and touch the sky
When the weather's right
You got women, you got women on your mind
Have a drink, have a drive
Go out and see what you can find

If her Daddy's rich, take her out for a meal
If her Daddy's poor, just do what you feel
Speed along the lane
Do a ton or a ton and twenty-five
When the sun goes down you can make it
Make it good in a lay-by

We're no threat, people, we're not dirty, we're not mean
We love everybody but we do as we please
When the weather is fine
We go fishing or go swimming in the sea
We're always happy
Life's for living, yeah, that's our philosophy

Sing along with us
Dee dee dee dee dee
Dah dah dah dah dah
Yeah we're hap, happy
Dah dah dah
Dee dah do dee dah do dah dah, yeah"
3,Shocking Blue,Venus,1970,"A Goddess on a mountain top
Was burning like a silver flame
The summit of beauty and love
And Venus was her name

She's got it
Yeah, baby, she's got it
Well, I'm your Venus
I'm your fire, at your desire
Well, I'm your Venus
I'm your fire, at your desire

Her weapons were
Her crystal eyes
Making every man mad
Black as the dark night she was
Got what no-one else had
Wow!

She's got it
Yeah, baby, she's got it
Well, I'm your Venus,
I'm your fire, at your desire
Well, I'm your Venus,
I'm your fire, at your desire

Ah-ah-ah-ah-ah-ah-ah!
Ah-ah-ah-ah-ah-ah-ah!

She's got it
Yeah, baby, she's got it
Well, I'm your Venus,
I'm your fire, at your desire
Well, I'm your Venus,
I'm your fire, at your desire"
4,Simon & Garfunkel,Bridge Over Troubled Water,1970,"When you're weary, feeling small
When tears are in your eyes, I'll dry them all (all)
I'm on your side, oh, when times get rough
And friends just can't be found
Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

When you're down and out
When you're on the street
When evening falls so hard
I will comfort you (ooo)
I'll take your part, oh, when darkness comes
And pain is all around
Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

Sail on silver girl
Sail on by
Your time has come to shine
All your dreams are on their way
See how they shine
Oh, if you need a friend
I'm sailing right behind
Like a bridge over troubled water
I will ease your mind
Like a bridge over troubled water
I will ease your mind"
5,Norman Greenbaum,Spirit in the Sky,1970,"When I die and they lay me to rest
Gonna go to the place that's the best
When I lay me down to die
Goin' up to the spirit in the sky

Goin' up to the spirit in the sky
That's where I'm gonna go when I die
When I die and they lay me to rest
I'm gonna go to the place that's the best

Prepare yourself, you know it's a must
Gotta have a friend in Jesus
So you know that when you die
He's gonna recommend you to the spirit in the sky

Gonna recommend you to the spirit in the sky
That's where you're gonna go when you die
When you die and they lay you to rest
You're gonna go to the place that's the best

Never been a sinner, I never sinned
I got a friend in Jesus
So, you know that when I die
He's gonna set me up with the spirit in the sky

Oh, set me up with the spirit in the sky
That's where I'm gonna go when I die
When I die and they lay me to rest
I'm gonna go to the place that's the best
Go to the place that's the best"
6,Led Zeppelin,Whole Lotta Love,1970,"You need coolin', baby, I'm not foolin'
I'm gonna send you back to schoolin'
Way down inside honey, you need it
I'm gonna give you my love
I'm gonna give you my love

Wanna Whole Lotta Love
Wanna Whole Lotta Love
Wanna Whole Lotta Love
Wanna Whole Lotta Love

You've been learnin', baby, I bean learnin'
All them good times, baby, baby, I've been yearnin'
Way, way down inside honey, you need it
I'm gonna give you my love... I'm gonna give you my love

Wanna Whole Lotta Love
Wanna Whole Lotta Love
Wanna Whole Lotta Love
Wanna Whole Lotta Love

You've been coolin', baby, I've been droolin'
All the good times I've been misusin'
Way, way down inside, I'm gonna give you my love
I'm gonna give you every inch of my love
Gonna give you my love

Wanna Whole Lotta Love
Wanna Whole Lotta Love
Wanna Whole Lotta Love
Wanna Whole Lotta Love

Way down inside... woman... You need... love

Shake for me, girl. I wanna be your backdoor man
Keep it coolin', baby"
7,The Kinks,Lola,1970,"I met her in a club down in old Soho
Where you drink champagne and it tastes just like Coca-Cola
C-O-L-A, Cola
She walked up to me and she asked me to dance
I asked her her name and in a dark brown voice she said Lola
L-O-L-A, Lola
La-la-la-la Lola

Well, I'm not the world's most physical guy
But when she squeezed me tight she nearly broke my spine, oh my Lola
La-la-la-la Lola
Well, I'm not dumb but I can't understand
Why she walked like a woman but talked like a man, oh my Lola
La-la-la-la Lola
La-la-la-la Lola

Well, we drank champagne and danced all night
Under electric candlelight
She picked me up and sat me on her knee
And said ""Dear boy, won't you come home with me?""
Well, I'm not the world's most passionate guy
But when I looked in her eyes, well I almost fell for my Lola
La-la-la-la Lola
La-la-la-la Lola
Lola
La-la-la-la Lola
La-la-la-la Lola

I pushed her away
I walked to the door
I fell to the floor
I got down on my knees
Then I looked at her and she at me

Well, that's the way that I want it to stay
And I always want it to be that way for my Lola
La-la-la-la Lola
Girls will be boys and boys will be girls
It's a mixed up, muddled up, sup world, except for Lola
La-la-la-la Lola

Well, I left home just a week before
And I'd never ever kissed a woman before
But Lola smiled and took me by the hand
And said ""Dear boy, I'm gonna make you a man""

Well, I'm not the world's most masculine man
But I know what I am and I'm glad I'm a man
And so is Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola"
8,B J Thomas,Raindrops Keep Falling On My Head,1970,"Raindrops keep fallin' on my head
And just like the guy whose feet are too big for his bed
Nothin' seems to fit
Those raindrops are fallin' on my head, they keep fallin'

So I just did me some talkin' to the sun
And I said I didn't like the way he got things done
Sleepin' on the job
Those raindrops are fallin' on my head, they keep fallin'

But there's one thing I know
The blues they send to meet me won't defeat me
It won't be long till happiness steps up to greet me

Raindrops keep fallin' on my head
But that doesn't mean my eyes will soon be turnin' red
Cryin's not for me
'Cause I'm never gonna stop the rain by complainin'
Because I'm free
Nothin's worryin' me

It won't be long till happiness steps up to greet me

Raindrops keep fallin' on my head
But that doesn't mean my eyes will soon be turnin' red
Cryin's not for me
'Cause I'm never gonna stop the rain by complainin'
Because I'm free
Nothin's worryin' me"
9,Creedence Clearwater Revival,Up Around the Bend,1970,"There's a place up ahead and I'm goin'
Just as fast as my feet can fly
Come away, come away if you're goin'
Leave the sinkin' ship behind

Come on the risin' wind
We're goin' up around the bend

Bring a song and a smile for the banjo
Better get while the gettin's good
Hitch a ride to the end of the highway
Where the neons turn to wood

Come on the risin' wind
We're goin' up around the bend

You can ponder perpetual motion
Fix your mind on a crystal day
Always time for good conversation
There's an ear for what you say

Come on the risin' wind
We're goin' up around the bend

Catch a ride to the end of the highway
And we'll meet by the big red tree
There's a place up ahead and I'm goin'
Come along, come along with me

Come on the risin' wind
We're goin' up around the bend

Do do do do
Do do do do
Do do do do
..."
10,Carpenters,(They Long to Be) Close to You,1970,"Carpenters
We've Only Just Begun
(They Long To Be) Close To You
Why do birds suddenly apear
Every time you are near?
Just like me, they long to be
Close to you.

Why do stars fall down from the sky
Every time you walk by?
Just like me, they long to be
Close to you.

On the day that you were born
	and the angels got together
And decided to create a dream come true
So they sprinkled moon dust
	in your hair of gold
And starlight in your eyes of blue.

That is why all the girls in town
Follow you all around
Just like me, they long to be
Close to you.

On the day that you were born
	and the angels got together
And decided to create a dream come true
So they sprinkled moon dust
	in your hair of gold
And starlight in your eyes of blue.

That is why all the girls in town
Follow you all around
Just like me, they long to be
Close to you.

Just like me, they long to be
Close to you.

( 1963 )"
