Position,Artist,Song Title,Year,Lyrics
1,Madonna,Music,2000,"{Hey Mister DJ, put a record on
I wanna dance with my lady}

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}

Hey Mister DJ, put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop
It's gonna drive me crazy

Music, music, music

Music makes the people come together
Music makes the bourgeoisie and the rebels

Don't think of yesterday and I don't look at the clock
I like to boogie woogie, uh uh
It's like ridin' on the wind
And it never goes away
Touches everything I'm in
Got to have it every day

Music makes the people come together, yeah
Music makes the bourgeoisie and the rebels

Hey Mister DJ

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}

Hey Mister DJ, put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop
It's gonna drive me crazy

Uh, uh, uh

Music makes the people come together, yeah
Music makes the bourgeoisie and the rebels

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}

{Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?}"
2,U2,Beautiful Day,2000,"The heart is a bloom
Shoots up through the stony ground
There's no room
No space to rent in this town

You're out of luck
And the reason that you had to care
The traffic is stuck
And you're not movin' anywhere

You thought you'd found a friend
To take you out of this place
Someone you could lend, a hand
In return for grace

It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away

You're on the road
But you've got no destination
You're in the mud
In the maze of her imagination

You love this town
Even if that doesn't ring true
You've been all over
And it's been all over you

It's a beautiful day
Don't let it get away
It's a beautiful day

Touch me
Take me to that other place
Teach me and
I know I'm not a hopeless case

See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires of night
See the oil fields at first light and
See the bird with a leaf in her mouth
After the flood all the colours came out

It was a beautiful day
Don't let it get away
Beautiful day

Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case

What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now

It's a beautiful day"
3,Eminem,Stan,2000,"My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Slim, I wrote you but you still ain't callin'
I left my cell, my pager
And my home phone at the bottom
I sent two letters back in autumn
You must not have got 'em
It probably was a problem
At the post office or somethin'

Sometimes I scribble addresses
Too sloppy when I jot 'em
But anyways fuck it
What's been up man, how's your daughter?
My girlfriend's pregnant too
I'm out to be a father
If I have a daughter, guess what I'm a call her?
I'm a name her Bonnie

I read about your Uncle Ronnie too, I'm sorry
I had a friend kill himself over some bitch
Who didn't want him
I know you probably hear this everyday
But I'm your biggest fan
I even got the underground shit that you did with scam

I got a room full of your posters
And your pictures man
I like the shit you did with Ruckus too
That shit was fat
Anyways I hope you get this, man
Hit me back just to chat
Truly yours, your biggest fan
This is Stan

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Slim, you still ain't called or wrote
I hope you have the chance, I ain't mad
I just think it's fucked up, you don't answer fans
If you didn't want to talk to me
Outside the concert you didn't have to
But you could've signed an autograph for Matthew
That's my little brother man

He's only 6 years old
We waited in the blistering cold for you
For 4 hours and you just said ""No""
That's pretty shitty man
You're like his fuckin' idol
He wants to be just like you man
He likes you more than I do

I ain't that mad though I just don't like bein' lied to
Remember when we met in Denver
You said if I write to you, you would write back
See I'm just like you in a way
I never knew my father neither
He used to always cheat on my mom and beat her

I can relate to what you're sayin' in your songs
So when I have a shitty day
I drift away and put 'em on
Cause I don't really got shit else
So that shit helps when I'm depressed
I even got a tattoo
With your name across the chest

Sometimes I even cut myself
To see how much it bleeds?
It's like Adrenaline
The pain is such a sudden rush for me
See everything you say is real
And I respect you 'cause you tell it
My girlfriend's jealous
'Cause I talk about you 24/7

But she don't know you like
I know you Slim, no one does
She don't know what it was like?
For people like us growing up
You've gotta call me man
I'll be the biggest fan you'll ever lose
Sincerely yours, Stan
P.S. We should be together too

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Mister, I'm too good to call or write my fans
This'll be the last package I ever send your ass
It's been six months and still no word
I don't deserve it?
I know you got my last two letters
I wrote the addresses on 'em perfect

So this is my cassette I'm sending you
I hope you hear it
I'm in the car right now
I'm doing 90 on the freeway
Hey Slim, I drink a fifth of vodka
Ya dare me to drive?

You know this song by Phil Collins
'From the air in the night'
About that guy who could have saved
That other guy from drowning?
But didn't, then Phil saw it all
Then at his show he found him

That's kinda how this is
You could have rescued me from drowning
Now it's too late
I'm on a thousand downers, now I'm drowsy

And all I wanted was a lousy letter or a call
I hope you know
I ripped all  your pictures off the wall
I loved you Slim, we could have been together
Think about it, you ruined it now

I hope you can't sleep and you dream about it
And when you dream, I hope you can't sleep
And you scream about it
I hope your conscious eats at you
And you can't breathe without me

See Slim, ""Shut up bitch!
I'm trying to talk""
Hey Slim, that's my girlfriend screaming in the trunk
But I didn't slit her throat I just tied her up
See I ain't like you
'Cause if she suffocates she'll suffer more
And then she'll die too

Well gotta go
I'm almost at the bridge now
Oh shit! I forgot!
How am I supposed to send this shit out?

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Stan, I meant to write you sooner
But I've just been busy
You said your girlfriend's pregnant now
How far along is she?
Look I'm really flattered
You would call your daughter that
And here's an autograph for your brother
I wrote it on your starter cap

I'm sorry I didn't see you at the show
I must have missed you
Don't think I did that shit intentionally
Just to diss you
And what's this shit you said about
You like to cut your wrist too?
I say that shit just clownin' dawg
C'mon, how fucked up is you?

You got some issues Stan
I think you need some counselin''
To help your ass from bouncin' off the walls
When you get down some
And what's this shit about us
Meant to be together?
That type of shit'll make me not want us
To meet each other

I really think you and your girlfriend
Need each other
Or maybe you just need to treat her better
I hope you get to read this letter
I just hope it reaches you in time
Before you hurt yourself
I think that you'll be doin' just fine
If you'd relax a little

I'm glad I inspire you
But Stan, why are you so mad?
Try to understand
That I do want you as a fan
I just don't want you to do some crazy shit
I seen this one shit on the news
A couple weeks ago that made me sick

Some dude was drunk and drove his car over a bridge
And had his girlfriend in the trunk
And she was pregnant with his kid
And in the car they found a tape
But it didn't say who it was to?
Come to think about it
His name was, it was you! Damn!"
4,Britney Spears,Oops!... I Did it Again,2000,"Yeah yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah yeah

I think I did it again I made you believe
We're more than just friends
Oh baby it might seem like a crush
But it doesn't mean that I'm serious

'Cause to lose all my senses
That is just so typically me
Oh baby, baby

Oops! I did it again
I played with your heart
Got lost in the game oh baby, baby
Oops! You think I'm in love
that I'm sent from above
I'm not that innocent

You see my problem is this
I'm dreaming away
Wishing that heroes they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways

But to lose all my senses
That is just so typically me
Baby, oh

Oops! I did it again
I played with your heart
Got lost in the game oh baby, baby
Oops! You think I'm in love
that I'm sent from above
I'm not that innocent

Yeah yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah yeah

All aboard
Britney, before you go, there's something I want you to have
Oh, it's beautiful, but wait a minute, isn't this?
Yeah, yes it is
But I thought the old lady dropped it into the ocean in the end
Well baby, I went down and got it for you
Oh, you shouldn't have

Oops! I did it again to your heart
Got lost in this game, oh baby
Oops! You think that I'm sent from above
I'm not that innocent

Oops! I did it again
I played with your heart
Got lost in the game oh baby, baby
Oops! You think I'm in love
that I'm sent from above
I'm not that innocent

Oops! I did it again
I played with your heart
Got lost in the game oh baby, baby
Oops! You think I'm in love
that I'm sent from above
I'm not that innocent"
5,N Sync,"Bye, Bye, Bye",2000,"Hey, hey
Bye, bye
Bye, bye
Oh oh.

I'm doin' this tonight
You're probably gonna start a fight
I know this can't be right
Hey baby come on

I loved you endlessly
When you weren't there for me
So now it's time to leave and make it alone

I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby bye, bye, bye

Don't wanna be a fool for you
Just another player in your game for two
'Cause you may hate me but it ain't no lie
Baby bye, bye, bye

Don't really wanna make it tough
I just wanna tell you that I've had enough
It might sound crazy
But it ain't no lie
Baby bye, bye, bye

(Oh, Oh)
Just hit me with the truth
Now, girl you're more than welcome to
So give me one good reason
Baby come on

I live for you and me
And now I really come to see
That life would be much better once you're gone

I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby bye, bye, bye

Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie
Baby bye, bye, bye

Don't really wanna make it tough
I just wanna tell you that I've had enough
It might sound crazy
But it ain't no lie
Baby bye, bye, bye

I'm giving up I know for sure
I don't wanna be the reason for your love no more
I'm checkin' out and I'm signin' off
Don't wanna be the loser and I've had enough

I don't wanna be a fool in this game for two
So I'm leavin' you behind
Bye, bye, bye
I don't wanna make it tough (Make it tough)
But I've had enough
Bye, bye, bye
I don't wanna be a fool for you (I don't wanna be a fool)
Just another player in your game for two
I don't wanna a be your fool
But it ain't no lie baby
Bye, bye, bye
I don't really wanna make it tough (I don't wanna make it tough)
I just wanna tell you that I've had enough
Might sound crazy but it ain't no lie
Bye, bye, bye"
6,Santana,Maria Maria,2000,"Ladies and gents
Turn up your sound systems
To the sound of Carlos Santana
In the GMB ghetto blues
From the refugee camps

Oh Maria, Maria
She remind me of a West Side story
Growin' up in Spanish Harlem
She livin' a life just like a movie star

Oh Maria, Maria
She fell in love in East L.A.
To the sounds of the guitar yeah yeah
Played by Carlos Santana

Stop the lootin', stop the shootin'
Pick pocking on the corner
See as the rich is getting richer
The poor is getting poorer

Se mira Maria on the corner
Thinkin' of ways to make it better
In my mailbox there's an eviction letter
Somebody just said, ""See you later""
Yeah

Ahora vengo mama chola mama chola
Ahora vengo mama chola
(East Coast)
Ahora vengo mama chola mama chola
Ahora vengo mama chola

Maria, Maria
  (West Coast)
She remind me of a West Side story
Growin' up in Spanish Harlem
She livin' a life just like a movie star

Oh Maria, Maria
She fell in love in East L.A.
I said it to the sounds of the guitar yeah yeah
Played by Carlos Santana

I said a la favella, los colores
The streets are getting hotter
There is no water to put out the fire
Mi canto la esperanza

Se mira Maria on the corner
Thinkin' of ways to make it better
Then I looked up in the sky
Hopin' the days of paradise

Ahora vengo mama chola mama chola
Ahora vengo mama chola
(North side)
Ahora vengo mama chola mama chola
Ahora vengo mama chola
(South side)

Ahora vengo mama chola mama chola
Ahora vengo mama chola
(Worldwide)
Ahora vengo mama chola mama chola
Ahora vengo mama chola
(Open up your eyes)

Maria you know you're my lover
When the wind blows I can feel you
Through the weather and even when we're apart
It still feels like we're together

Maria, oh yeah
She remind me of a West Side story
Growin' up in Spanish Harlem
She livin' a life just like a movie star

Oh Maria, Maria
Oh, she fell in love in East L.A.
To the sounds of the guitar
Played by Carlos Santana

Put 'em up y'all
Carlos Santana with the refugee camp
Wyclef, Jerry ""Wonder""
Mr. Santana, GMB
Yo, Carlos man, you makin' that guitar cry"
7,Eminem,The Real Slim Shady,2000,"May I have your attention please?
May I have your attention please?
Will, The Real Slim Shady please stand up?
I repeat will, The Real Slim Shady please stand up?
We're gonna have a problem here

Y'all act like you never seen a white person before
Jaws all on the floor like Pam, like Tommy just burst in the door
And started whoopin' her ass worse than before
They first were divorce, throwin' her over furniture
It's the return of the, ""Ah, wait, no way, you're kidding
He didn't just say what I think he did, did he?""
And Dr. Dre said, nothing you idiots
Dr. Dre's dead, he's locked in my basement!
Feminist women love Eminem
Chigga chigga chigga, ""Slim shady, I'm sick of him

Look at him, walkin' around grabbin' his you-know-what
Flippin' the you-know-who, yeah, but he's so cute though!""
Yeah, I probably got a couple of screws up in my head loose
But no worse, than what's goin' on in your parents' bedrooms
Sometimes, I wanna get on T.V. and just let loose, but can't
But it's cool for Tom Green to hump a dead moose
""My bum is on your lips, my bum is on your lips
And if I'm lucky, you might just give it a little kiss""
And that's the message that we deliver to little kids
And expect them not to know what a woman's clitoris is

Of course they gonna know what intercourse is
By the time they hit fourth grade
They got the discovery channel don't they?
""We ain't nothing but mammals"", well, some of us cannibals
Who cut other people open like cantaloupes
But if we can hump dead animals and antelopes
Then there's no reason that a man and another man can't elope
But if you feel like I feel, I got the antidote
Women wave your pantyhose, sing the chorus and it goes

I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

'Coz I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

Will Smith don't gotta cuss in his raps to sell his records
Well I do, so fuck him and fuck you too
You think I give a damn about a Grammy?
Half of you critics can't even stomach me, let alone stand me
""But slim, what if you win, wouldn't it be weird?""
Why? So you guys could just lie to get me here?
So you can, sit me here next to Britney Spears?
Shit, Christina Aguilera better switch me chairs
So I can sit next to Carson Daly and Fred Durst
And hear 'em argue over who she gave head to first

You little bitch, put me on blast on M.T.V
""Yeah, he's cute, but I think he's married to Kim, hee-hee!""
I should download her audio on MP3
And show the whole world how you gave Eminem VD
I'm sick of you little girl and boy groups, all you do is annoy me
So I have been sent here to destroy you
And there's a million of us just like me
Who cuss like me, who just don't give a fuck like me
Who dress like me, walk, talk and act like me
And just might be the next best thing but not quite me

'Coz I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

'Coz I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

I'm like a head trip to listen to, cause I'm only givin' you
Things you joke about with your friends inside your living room
The only difference is I got the balls to say it
In front of y'all and I don't gotta be false or sugarcoated at all
I just get on the mic and spit it
And whether you like to admit it, I just shit it
Better than ninety percent of you rappers out can
Then you wonder how can kids eat up these albums like Valiums

It's funny, 'cause at the rate I'm goin when I'm thirty
I'll be the only person in the nursin' home flirting
Pinchin' nurses asses when I'm jackin' off with jergens
And I'm jerkin' but this whole bag of Viagra isn't working
And every single person is a slim shady lurkin'
He could be workin' at Burger King, spittin' on your onion rings
Or in the parkin' lot, circling, screaming, ""I don't give a fuck!""
With his windows down and his system up

So, will the real shady please stand up?
And put one of those fingers on each hand up?
And be proud to be outta your mind and outta control
And one more time, loud as you can, how does it go?

I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

'Coz I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

'Coz I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

'Coz I'm slim shady, yes I'm the real shady
All you other slim shadys are just imitating
So won't The Real Slim Shady please stand up
Please stand up, please stand up?

Ha ha
Guess there's a slim shady in all of us
Fuck it, let's all stand up"
8,Madonna,American Pie,2000,"A long long time ago I can still remember
How that music used to make me smile
And I knew that if I had my chance
I could make those people dance
And maybe they'd be happy for a while

Did you write the book of love
And do you have faith in God above
If the Bible tells you so

Now do you believe in Rock 'n' roll
And can music save your mortal soul
And can you teach me how to dance real slow

Well, I know that you're in love with him
'Cause I saw you dancin' in the gym
You both kicked off your shoes
Man, I dig those rhythm and blues

I was a lonely teenage broncin' buck
With a pink carnation and a pick-up truck
But I knew that I was out of luck
The day the music died

I started singing
""Bye, bye, Miss American Pie
Drove my Chevy to the levee but the levee was dry
And good old boys were drinkin' whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die""

I met a girl who sang the blues
And I asked her for some happy news
But she just smiled and turned away

Well, I went down to the sacred store
Where I'd heard the music years before
But the man there said the music wouldn't play

Well now, in the streets the children screamed
The lovers cried and the poets dreamed
But not a word was spoken
The church bells all were broken

And the three men I admire the most
The Father, Son and the Holy Ghost
They caught the last train for the coast
The day the music died

We started singin'
""Bye, bye, Miss American Pie
Drove my Chevy to the levee but the levee was dry
And good old boys were drinkin' whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die""

Bye, bye, Miss American Pie
Drove my Chevy to the levee but the levee was dry
And good old boys were drinkin' whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die

We started singin'
We started singin'
We started singin'
We started singin'"
9,Bon Jovi,It's My Life,2000,"This ain't a song for the broken-hearted
No silent prayer for the faith-departed
I ain't gonna be just a face in the crowd
You're gonna hear my voice when I shout it out loud

It's my life
It's now or never
I ain't gonna live forever
I just want to live while I'm alive

(It's my life)
My heart is like an open highway
Like Frankie said, ""I did it my way""
I just want to live while I'm alive
It's my life

This is for the ones who stood their ground
For Tommy and Gina, who never backed down
Tomorrow's getting harder, make no mistake
Luck ain't even lucky, got to make your own breaks

It's my life
And it's now or never
I ain't gonna live forever
I just want to live while I'm alive

(It's my life)
My heart is like an open highway
Like Frankie said, ""I did it my way""
I just want to live while I'm alive
'Cause it's my life

Better stand tall when they're calling you out
Don't bend, don't break, baby, don't back down

It's my life
And it's now or never
'Cause I ain't gonna live forever
I just want to live while I'm alive

(It's my life)
My heart is like an open highway
Like Frankie said, ""I did it my way""
I just want to live while I'm alive

(It's my life)
And it's now or never
I ain't gonna live forever
I just want to live while I'm alive

(It's my life)
My heart is like an open highway
Like Frankie said, ""I did it my way""
I just want to live while I'm alive
'Cause it's my life"
10,The Backstreet Boys,Shape of My Heart,2000,We do not have the lyrics for Shape of My Heart (In the Style of Backstreet Boys) [Karaoke Version] yet.
