Position,Artist,Song Title,Year,Lyrics
1,USA For Africa,We Are the World,1985,"Usa For Africa
Miscellaneous
We Are The World
Written by Michael Jackson and Lionel Richie

There comes a time when we heed a certain call
When the world must come together as one
There are people dying
And it's time to lend a hand to life,
The greatest gift of all

We can go on pretending day by day
That someone, somewhere will soon make a change
We are all a part of God's great big family
And the truth you know love is all wee need

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me


Send them your heart so they'll know that someone cares
And their lives will be stronger and free
As God has shown us by turning stones to bread
So we all must lend a helping hand

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

When you're down and out
There seems no hope at all
But if you just believe there's no way we can fall
Let us realize that a change can only come
When we stand together as one

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

We are the world
We are the children
We are the ones who make a brighter day
So let's start giving
There's a choice we're making
We're saving our own lives
It's true we'll make a better day
Just you and me

(Repeat to fade)"
2,A-Ha,Take On Me,1985,"Aha
Miscellaneous
Take On Me
Take On Me
Aha
(Hunting High And Low)

We're talking away
I don't know what
I'm to say I'll say it anyway
Today's another day to find you
Shying away
I'll be coming for your love, OK?

Take on me, take me on
I'll be gone
In a day or two

So needless to say
I'm odds and ends
But that's me stumbling away
Slowly learning that life is OK.
Say after me
It's no better to be safe than sorry

Take on me, take me on
I'll be gone
In a day or two

Oh the things that you say
Is it life or
Just a play my worries away
You're all the things I've got to 
remember
You're shying away
I'll be coming for you anyway

Take on me, take me on
I'll be gone
In a day or two

From LBV10000 ([email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */)"
3,Foreigner,I Want to Know What Love Is,1985,"Foreigner
Agent Provocateur
I Want To Know What Love Is
I gotta take a little time
A little time to think things over
I better read between the lines
In case I need it when I'm older

Now this mountain I must climb
Feels like a world upon my shoulders
I through the clouds I see love shine
It keeps me warm as life grows colder

In my life there's been heartache and pain
I don't know if I can face it again
Can't stop now, I've traveled so far
To change this lonely life

I wanna know what love is
I want you to show me
I wanna feel what love is
I know you can show me

I'm gonna take a little time
A little time to look around me
I've got nowhere left to hide
It looks like love has finally found me

In my life there's been heartache and pain
I don't know if I can face it again
I can't stop now, I've traveled so far
To change this lonely life

I wanna know what love is
I want you to show me
I wanna feel what love is
I know you can show me

I wanna know what love is
I want you to show me
And I wanna feel, I want to feel what love is
And I know, I know you can show me

Let's talk about love
I wanna know what love is, the love that you feel inside
I want you to show me, and I'm feeling so much love
I wanna feel what love is, no, you just cannot hide
I know you can show me, yeah

I wanna know what love is, let's talk about love
I want you to show me, I wanna feel it too
I wanna feel what love is, I want to feel it too
And I know and I know, I know you can show me
Show me love is real, yeah
I wanna know what love is..."
4,Lionel Richie,"Say You, Say Me",1985,"Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally

I had a dream I had an awesome dream
People in the park playing games in the dark
And what they played was a masquerade
And from behind of walls of doubt
A voice was crying out

Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally

As we go down life's lonesome highway
Seems the hardest thing to do is to find a friend or two
A helping hand, some one who understands
And when you feel you've lost your way
You've got some one there to say, ""I'll show you""

Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally

So you think you know the answers, oh no
Well the whole world has got you dancing
That's right, I'm telling you
It's time to start believing, oh yes
Believing who you are, you are a shining star

Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally
Say it together
Naturally"
5,Tears For Fears,Shout,1985,"Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on

In violent times
You shouldn't have to sell your soul
In black and white
They really really ought to know

Those one track minds
That took you for a working boy
Kiss them goodbye
You shouldn't have to jump for joy
You shouldn't have to jump for joy

Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on

They gave you life
And in return you gave them hell
As cold as ice
I hope we live to tell the tale
I hope we live to...

Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on

And when you've taken down your guard
If I could change your mind
I'd really love to break your heart
I'd really love to...

Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on"
6,Tears For Fears,Everybody Wants to Rule the World,1985,"Welcome to your life, there's no turning back
Even while we sleep we will find you

Acting on your best behavior
Turn your back on Mother Nature
Everybody wants to rule the world

It's my own design, it's my own remorse
Help me to decide, help me make the most

Of freedom and of pleasure
Nothing ever lasts forever
Everybody wants to rule the world

There's a room where the light won't find you
Holding hands while the walls come tumbling down
When they do I'll be right behind you

So glad we've almost made it
So sad they had to fade it
Everybody wants to rule the world

I can't stand this indecision
Married with a lack of vision
Everybody wants to rule the world

Say that you'll never, never, never, never need it
One headline, why believe it?
Everybody wants to rule the world

All for freedom and for pleasure
Nothing ever lasts forever
Everybody wants to rule the world"
7,Dire Straits,Money For Nothing,1985,"Now look at them yo-yo's that's the way you do it
You play the guitar on the MTV
That ain't workin' that's the way you do it
Money for nothin' and chicks for free
Now that ain't workin' that's the way you do it
Lemme tell ya them guys ain't dumb
Maybe get a blister on your little finger
Maybe get a blister on your thumb

We gotta install microwave ovens
Custom kitchen deliveries
We gotta move these refrigerators
We gotta move these colour TV's

See the little faggot with the earring and the makeup
Yeah buddy that's his own hair
That little faggot got his own jet airplane
That little faggot he's a millionaire

We gotta install microwave ovens
Custom kitchens deliveries
We gotta move these refrigerators
We gotta move these colour TV's

I shoulda learned to play the guitar
I shoulda learned to play them drums
Look at that mama, she got it stickin' in the camera
Man we could have some fun
And he's up there, what's that? Hawaiian noises?
Bangin' on the bongoes like a chimpanzee
That ain't workin' that's the way you do it
Get your money for nothin' get your chicks for free

We gotta install microwave ovens
Custom kitchen deliveries
We gotta move these refrigerators
We gotta move these colour TV's, Lord

Now that ain't workin' that's the way you do it
You play the guitar on the MTV
That ain't workin' that's the way you do it
Money for nothin' and your chicks for free
Money for nothin' and chicks for free"
8,Madonna,Crazy For You,1985,"Swaying room as the music starts
Strangers making the most of the dark
Two by two their bodies become one
I see you through the smoky air
Can't you feel the weight of my stare
You're so close but still a world away
What I'm dying to say, is that

I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new, you'll feel it in my kiss
I'm crazy for you, crazy for you

Trying hard to control my heart
I walk over to where you are
Eye to eye we need no words at all
Slowly now we begin to move
Every breath I'm deeper into you
Soon we two are standing still in time
If you read my mind, you'll see

I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new, you'll feel it in my kiss
You'll feel it in my kiss

Because, I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new, you'll feel it in my kiss
I'm crazy for you, crazy for you
Crazy for you, crazy for you

It's all brand new, I'm crazy for you
And you know it's true, I'm crazy, crazy for you
It's all brand new, I'm crazy for you
And you know it's true, yeah, I'm crazy for you
Crazy for you, baby"
9,Elton John,Nikita,1985,"Hey Nikita is it cold
In your little corner of the world?
You could roll around the world
And never find a warmer soul to know

Oh I saw you by the wall
Ten of your tin soldiers in a row
With eyes that looked like ice on fire
The human heart a captive in the snow

Oh Nikita you will never know anything about my home
I'll never know how good it feels to hold you
Nikita I need you so
Oh Nikita is the other side of any given line in time
Counting ten tin soldiers in a row
Oh no, Nikita you'll never know

Do you ever dream of me?
Do you ever see the letters that I write?
When you look up through the wire
Nikita do you count the stars at night?

And if there comes a time
Guns and gates no longer hold you in
And if you're free to make a choice
Just look towards the west and find a friend

Oh Nikita you will never know anything about my home
I'll never know how good it feels to hold you
Nikita I need you so
Oh Nikita is the other side of any given line in time
Counting ten tin soldiers in a row
Oh no, Nikita you'll never know

Oh Nikita you will never know, never know anything about my home
I'll never know how good it feels to hold you
Nikita I need you so
Oh Nikita is the other side of any given line in time
Counting ten tin soldiers in a row
Oh no, Nikita you'll never know

Nikita, counting ten tin soldiers in a row
Nikita, counting ten tin soldiers in a row
Nikita, counting ten tin soldiers in a row
Nikita, counting ten tin soldiers in a row"
10,Murray Head,One Night in Bangkok,1985,"One night in Bangkok makes a hard man humble
Not much between despair and ecstasy
One night in Bangkok and the tough guys tumble
Can't be too careful with your company
I can feel the Devil walking next to me

Bangkok, Oriental setting
And the city don't know what the city is getting
The creme de la creme of the chess world
In a show with everything but Yul Brynner

Time flies, doesn't seem a minute
Since the Tirolean Spa had the chess boys in it
All change, don't you know that when you
Play at this level, there's no ordinary venue

It's Iceland or the Philippines
Or Hastings or, or this place

One night in Bangkok and the world's your oyster
The bars are temples but the pearls ain't free
You'll find a God in every golden cloister
And if you're lucky then the God's a she
I can feel an angel sliding up to me

One town's very like another
When your head's down over your pieces, Brother

It's a drag, it's a bore, it's really such a pity
To be looking at the board, not looking at the city

Whaddya mean?
Ya seen one crowded, polluted, stinking town

Tea girls, warm and sweet, warm, sweet
Some are set up in the Somerset Maugham Suite

""Get Thai'd"", you're talking to a tourist
Whose every move's among the purest
I get my kicks above the waistline, sunshine

One night in Bangkok makes a hard man humble
Not much between despair and ecstasy
One night in Bangkok and the tough guys tumble
Can't be too careful with your company
I can feel the Devil walking next to me

Siam's gonna be the witness
To the ultimate test of cerebral fitness
This grips me more than would
A muddy old river or Reclining Buddha

But thank God, I'm only watching the game, controlling it

I don't see you guys rating
The kind of mate I'm contemplating
I'd let you watch, I would invite you
But the queens we use would not excite you

So you better go back to your bars, your temples
Your massage parlors

One night in Bangkok and the world's your oyster
The bars are temples but the pearls ain't free
You'll find a God in every golden cloister
A little flesh, a little history
I can feel an angel slidin' up to me

One night in Bangkok makes a hard man humble
Not much between despair and ecstasy
One night in Bangkok and the tough guys tumble
Can't be too careful with your company
I can feel the Devil walking next to me"
