Position,Artist,Song Title,Year,Lyrics
1,Rihanna & Jay-Z,Umbrella,2007,"Exception occurred 
HTTP Error 404: Not Found"
2,Fergie,Big Girls Don't Cry,2007,"Da da da da

The smell of your skin lingers on me now
You're probably on your flight back to your home town
I need some shelter of my own protection, baby
be with myself and center clarity, peace, serenity

I hope you know, I hope you know
That this has nothing to do with you
It's personal, myself and I
We've got some straightenin' out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry
Don't cry
Don't cry
Don't cry

The path that I'm walking I must go alone
I must take the baby steps 'til I'm full grown, full grown
Fairytales don't always have a happy ending, do they?
And I foresee the dark ahead if I stay

I hope you know, I hope you know
That this has nothing to do with you
It's personal, myself and I
We've got some straightenin' out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry

Like the little school mate in the school yard
We'll play jacks and uno cards
I'll be your best friend and you'll be my Valentine
Yes, you can hold my hand if you want to
'Cause I want to hold yours too
We'll be playmates and lovers and share our secret worlds

But it's time for me to go home
It's getting late and dark outside
I need to be with myself and center clarity, peace, serenity

I hope you know, I hope you know
That this has nothing to do with you
It's personal, myself and I
We've got some straightenin' out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry
Don't cry
Don't cry
Don't cry

La da da da da da"
3,Sean Kingston,Beautiful Girls,2007,"Damn all these beautiful girls
They only wanna do you dirt
They'll have you suicidal, suicidal
When they say it's over

JR! Sean Kingston!
You're way too beautiful girl
That's why it'll never work
You'll have me suicidal, suicidal

When you say it's over.
Damn all these beautiful girls
They only wanna do you dirt

They'll have you suicidal, suicidal
When they say it's over
See it started at the park
Used to chill after dark

Oh when you took my heart
That's when we fell apart
Cause we both thought

That love lasts forever (lasts forever)
They say we're too young
To get ourselves sprung
Oh we didn't care

We made it very clear
And they also said
That we couldn't last together (last together)
See it's very define girl

one of a kind
But you mash up my mind
You have to get declined

Oh Lord...
My baby is driving me crazy
You're way too beautiful girl

That's why it'll never work
You'll have me suicidal, suicidal
When you say it's over

Damn all these beautiful girls
They only wanna do you dirt
They'll have you suicidal, suicidal
When they say it's over

It was back in '99
Watchin' movies all the time
Oh when I went away
For doin' my first crime
And I never thought
That we was gonna see each other (see each other)
And then I came out
Mami moved me down South
Oh I'm with my girl
Who I thought was my world
It came out to be
That she wasn't the girl for me (girl for me)
See it's very define girl
one of a kind
But you mash up my mind
You have to get declined
Oh Lord...
My baby is driving me crazy
You're way too beautiful girl
That's why it'll never work
You'll have me suicidal, suicidal
When you say it's over
Damn all these beautiful girls
They only wanna do you dirt
They'll have you suicidal, suicidal
When they say it's over
Now we're fussin'
And now we're fightin'
Please tell me why
I'm feelin' slighted
And I don't know
How to make it better (make it better)
You're datin' other guys
You're tellin' me lies
Oh I can't believe
What I'm seein' with my eyes
I'm losin' my mind
And I don't think it's clever (think it's clever)
You're way too beautiful girl
That's why it'll never work
You'll have me suicidal, suicidal, when they say its over..."
4,Timbaland & ,Apologize,2007,"I'm holding on your rope
Got me ten feet off the ground
And I'm hearing what you say
But I just can't make a sound

You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around and say

That it's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I'd take another chance, take a fall
Take a shot for you
And I need you like a heart needs a beat
But that's nothing new, yeah yeah

I loved you with a fire red, now it's turning blue
And you say sorry like the angel
Heaven let me think was you
But I'm afraid

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late, whoa whoa

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late
I said it's too late to apologize, yeah
I said it's too late to apologize, yeah
I'm holding on your rope
Got me ten feet off the ground"
5,Avril Lavigne,Girlfriend,2007,"Hey! Hey! You! You!
I don't like your girlfriend
No way! No way!
I think you need a new one
Hey! Hey! You! You!
I could be your girlfriend

Hey! Hey! You! You!
I know that you like me
No way! No way!
You know it's not a secret
Hey! Hey! You! You!
I want to be your girlfriend

You're so fine, I want you mine, You're so delicious
I think about you all the time, You're so addictive
Don't you know what I can do to make you feel all right?
Don't pretend, I think you know I'm damn precious
And hell yeah, I'm the mother fucking princess
I can tell you like me too, and you know I'm right
She's like, so whatever
You can do so much better

I think we should get together now
And that's what everyone's talking about
Hey! Hey! You! You!
I don't like your girlfriend
No way! No way!
I think you need a new one

Hey! Hey! You! You!
I could be your girlfriend
Hey! Hey! You! You!
I know that you like me
No way! No way!
You know it's not a secret

Hey! Hey! You! You!
I want to be your girlfriend
I can see the way, I see the way you look at me
And even when you look away, I know you think of me
I know you talk about me all the time again and again (and again, and again, and
again)
So come over here and tell me what I wanna hear
Or better, yet, make your girlfriend disappear
I don't wanna hear you say her name ever again (and again, and again, and again)

Because...
She's like so whatever
You can do so much better

I think we should get together now
And that's what everyone's talking about
Hey! Hey! You! You!
I don't like your girlfriend
No way! No way!
I think you need a new one

Hey! Hey! You! You!
I could be your girlfriend
Hey! Hey! You! You!
I know that you like me
No way! No way!
You know it's not a secret

Hey! Hey! You! You!
I want to be your girlfriend
In a second you'll be wrapped around my finger
'Cause I can, 'cause I can do it better

There's no other, so when's it gonna sink in
She's so stupid, what the hell were you thinking?
In a second you'll be wrapped around my finger
'Cause I can, 'cause I can do it better

There's no other, so when's it gonna sink in
She's so stupid, what the hell were you thinking?
Hey! Hey! You! You!
I don't like your girlfriend
No way! No way!
I think you need a new one

Hey! Hey! You! You!
I could be your girlfriend
Hey! Hey! You! You!
I know that you like me
No way! No way!
You know it's not a secret
Hey! Hey! You! You!
I want to be your girlfriend

Hey! Hey! You! You!
I don't like your girlfriend
No way! No way!
I think you need a new one
Hey! Hey! You! You!
I could be your girlfriend
Hey! Hey! You! You!
I know that you like me
No way! No way!
You know it's not a secret
Hey! Hey! You! You!
I want to be your girlfriend
Hey Hey!"
6,Beyonce,Beautiful Liar,2007,"Ay! Ay! Ay!

Oh! BeyoncÃ©, BeyoncÃ©
Oh! BeyoncÃ©, BeyoncÃ©
  (Hey!)

Miente, lo ves es un juego
(Yo conozco cosas del que tu no quieres ni saber)
Sabe decir lo que quieres oir, un bello embustero
(Solo por placer nuestra amistad no vamos a perder)
A mi tambien siempre quiere verme sola
No hay que caer en su trampa una vez mas

Ay! No nos pelearemos
Ay! No nos va a engaÃ±ar
Ay! No terminaremos
Por un bello embustero

No nos va dividir
No, no nos va a incitar
No vamos a sufrir
Por un bello embustero

Confiaba en el mÃ¡s cuando lo que encontre besandote el cuello
(Pero el no lo podia creer las dos caimos en su red, si)
Por que a ti, si hay mil por ahi, el es un perro
(Las dos sin querer caimos presas a su pie)
A mi tambien siempre quiere verme sola
No hay que caer en su trampa una vez mas

Ay! No nos pelearemos
Ay! No nos va a engaÃ±ar
Ay! No terminaremos
Por un bello embustero

No nos va dividir
No, no nos va a incitar
No vamos a sufrir
Por un bello embustero

Lo creÃ­a tan mio, yo vivÃ­a por el
Fuimos un desafio que pudo mÃ¡s que el
Es un hombre muy frio, no es de una mujer!
  (Hey!)

  (Ay! BeyoncÃ©, BeyoncÃ©)
Ya no nos puede engaÃ±ar
  (Ay! BeyoncÃ©, BeyoncÃ©)
  (Oh! Bisasha, Bisasha)
Paremos con su juego
  (Oh! Bisasha, Bisasha)

  (Ay! BeyoncÃ©, BeyoncÃ©)
Ya basta de sus mentiras
  (Ay! BeyoncÃ©, BeyoncÃ©)
  (Oh! Bisasha, Bisasha)
DÃ­le adios por las dos
  (Oh! Bisasha, Bisasha)
(Hey!)

Ay! No nos pelearemos
Ay! No nos va a engaÃ±ar
Ay! No terminaremos
Por un bello embustero

No nos va dividir
No, no nos va a incitar
No vamos a sufrir
Por un bello embustero

El no nos va a separar!"
7,Alicia Keys,No One,2007,"I just want you close
Where you can stay forever
You can be sure
That it will only get better

You and me together through the days and nights
I don't worry 'cause everything's gonna be alright
People keep talking they can say what they like
But all I know is everything's gonna be alright
No one, no one, no one
Can get in the way of what I'm feelin'

No one, no one, no one
Can get in the way of what I feel for you
You, you
Can get in the way of what I feel for you
When the rain is pouring down

And my heart is hurting
You will always be around
This I know for certain
You and me together through the days and nights

I don't worry 'cause everything's gonna be alright
People keep talking they can say what they like
But all I know is everything's gonna be alright
No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one

Can get in the way of what I feel for you
You, you
Can get in the way of what I feel
I know some people search the world
To find something like what we have

I know people will try, try to divide something so real
So 'til the end of time I'm telling you there is no one
No one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh"
8,Rihanna,Don't Stop the Music,2007,"Please don't stop the music
Please don't stop the music
Please don't stop the music
Please don't stop the music

It's gettin late
I'm making my way over to my favorite place
I gotta get my body moving shake the stress away
I wasn't looking for nobody when you looked my way
Possible candidate (yeah)
Who knew
That you'd be up in here lookin like you do
You're makin' stayin' over here impossible
Baby I must say your aura is incredible
If you dont have to go don't

Do you know what you started
I just came here to party
But now we're rockin on the dancefloor
Acting naughty
Your hands around my waist
Just let the music play
We're hand in hand

Chest to chest
And now we're face to face
I wanna take you away
Lets escape into the music
DJ let it play
I just can't refuse it
Like the way you do this

Keep on rockin to it
Please don't stop the
Please don't stop the music
I wanna take you away
Lets escape into the music
DJ let it play
I just can't refuse it
Like the way you do this

Keep on rockin to it
Please don't stop the
Please don't stop

Please don't stop the music
Baby are you ready cause its getting close
Don't you feel the passion ready to explode
What goes on between us no one has to know
This is a private show (oh)
Do you know what you started

I just came here to party
But now we're rockin on the dancefloor
Acting naughty
Your hands around my waist

Just let the music play
We're hand in hand
Chest to chest
And now we're face to face
I wanna take you away
Lets escape into the music
DJ let it play
I just can't refuse it

Like the way you do this
Keep on rockin to it
Please don't stop the

Please don't stop the music
I wanna take you away
Lets escape into the music
DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin to it

Please don't stop the
Please don't stop the
Please don't stop the music
Ma ma se, ma ma sa
Ma ma coo sa
Ma ma se, ma ma sa
Ma ma coo sa
Ma ma se, ma ma sa
Ma ma coo sa
Ma ma se, ma ma sa
Ma ma coo sa
Please don't stop the music
I wanna take you away
Lets escape into the music
DJ let it play
I just can't refuse it
Like the way you do this
Keep on rockin to it
Please don't stop th"
9,Nelly Furtado,Say It Right,2007,"In the day, in the night
Say it right, say it all
You either got it or you don't
You either stand or you fall

When your will is broken
When it slips from your hands
When there's no time for joking
There's a hole in the plan

Oh, you don't mean nothing at all to me
No, you don't mean nothing at all to me
Oh, you've got what it takes to set me free
Oh, you could mean everything to me

I can't say that I'm not lost and found
I can't say that I don't love the light and the dark
I can't that I don't know that I am alive
And all of what I feel I could show you tonight

Oh, you don't mean nothing at all to me
No, you don't mean nothing at all to me
Oh, you've got what it takes to set me free
Oh, you could mean everything to me

From my hands I can give you, something that I made
From my mouth I can sing you another brick that I laid
From my body I can show you a place, God knows
If you know this place is holy, do you really want to go?"
10,Kanye West,Stronger,2007,"Work it, make it, do it
Make us harder, better, faster, stronger
(Work it harder, make it better) n-na-now th-that that don't kill me
(Do it faster, make us stronger) can only make me stronger
(More than ever, hour after hour) I need you to hurry up now
(Work is never over) cause I can't wait much longer
(Work it harder, make it better) I know I got to be right now
(Do it faster, make us stronger) cause I can't get much wronger
(More than ever, hour after hour) man, I've been waiting all night now
That's how long I've been on ya

Work it harder
Make it better
Do it faster
Make us stronger (I need you right now)
More than ever
Hour after hour
I need you right now

Let's get lost tonight, you could be my black kate moss tonight
Play secretary, I'm the boss tonight
You don't give a fuck what they all say, right?
Awesome the christian in christian dior
Danm, they don't make 'em like this anymore
I ask cause I'm not sure, do anybody make real shit anymore?
Bow in presence of greatness cause right now that has forsaken us
You should be honored by my lateness
That I'd even show up to this fake shit
So go ahead, go nuts, go ape shit
Specially on my best stand on my bape shit
Act like you can't tell who made this
New gospel homey take six, and take this haters

(Work it harder, make it better) n-na-now th-that that don't kill me
(Do it faster, make us stronger) can only make me stronger
(More than ever, hour after hour) I need you to hurry up now
(Work is never over) cause I can't wait much longer
(Work it harder, make it better) I know I got to be right now
(Do it faster, make us stronger) cause I can't get much wronger
(More than ever, hour after hour) man, I've been waiting all night now
That's how long I've been on ya

Work it harder
Make it better
Do it faster
Make us stronger (I need you right now)
More than ever
Hour after hour
I need you right now

Me likey,
I don't know if you got a man or not
If you made plans or not
If God put me in your plans or not
I'm tripping, this drink got me saying a lot
But I know that God put you in front of me
So how the hell could you front on me?
There's a thousand ""yous"" there's only one of me
I'm tripping, I'm caught up in the moment, right?

This is louis vuitton dime night
So we gon' do everything that kan like
Heard they'd do anything for a klondike
I'd do anything for a blond dike
And she'll do anything for the limelight
And we'll do anything when the time's right
Uh, baby you're making it
Harder, better, faster, stronger

(Work it harder, make it better) n-na-now th-that that don't kill me
(Do it faster, make us stronger) can only make me stronger
(More than ever, hour after hour) I need you to hurry up now
(Work is never over) cause I can't wait much longer
(Work it harder, make it better) I know I got to be right now
(Do it faster, make us stronger) cause I can't get much wronger
(More than ever, hour after hour) man, I've been waiting all night now
That's how long I've been on ya

(Work it harder, make it better) you know how long I've been on ya
(Do it faster, make us stronger) since prince was on appolonia
(More than ever, hour after hour) since o.j. Has isotoners
Don't act like I never told ya

Work it, work is never over
Work it, work is never over don't act like I (never) told ya
Harder, work is never over uh
Better, work is never over don't act like I (never) told ya
Work it, work is never over don't act like I (never) told ya
Work it, work is never over don't act like I (never) told ya
Harder, work is never over uh, baby you're making it
Harder, better, faster, stronger

(Work it harder, make it better) you know how long I've been on ya
(Do it faster, make us stronger) since prince was on appolonia
(More than ever, hour after hour) since o.j. Has isotoners
Don't act like I never told ya

(Work it harder, make it better) you know how long I've been on ya
(Do it faster, make us stronger) since prince was on appolonia
(More than ever, hour after hour) since o.j. Has isotoners
Don't act like I never told ya

Compositor: Edwin Birdsong / Kanye West / L.D. Harris"
