Position,Artist,Song Title,Year,Lyrics
1,George Harrison,My Sweet Lord,1971,"George Harrison
Miscellaneous
My Sweet Lord
My sweet lord
Hm, my lord
Hm, my lord

I really want to see you
Really want to be with you
Really want to see you lord
But it takes so long, my lord

My sweet lord
Hm, my lord
Hm, my lord

I really want to know you
Really want to go with you
Really want to show you lord
That it won't take long, my lord (hallelujah)

My sweet lord (hallelujah)
Hm, my lord (hallelujah)
My sweet lord (hallelujah)

I really want to see you
Really want to see you
Really want to see you, lord
Really want to see you, lord
But it takes so long, my lord (hallelujah)

My sweet lord (hallelujah)
Hm, my lord (hallelujah)
My, my, my lord (hallelujah)

I really want to know you (hallelujah)
Really want to go with you (hallelujah)
Really want to show you lord (aaah)
That it won't take long, my lord (hallelujah)

Hmm (hallelujah)
My sweet lord (hallelujah)
My, my, lord (hallelujah)

Hm, my lord (hare krishna)
My, my, my lord (hare krishna)
Oh hm, my sweet lord (krishna, krishna)
Oh-uuh-uh (hare hare)

Now, I really want to see you (hare rama)
Really want to be with you (hare rama)
Really want to see you lord (aaah)
But it takes so long, my lord (hallelujah)

Hm, my lord (hallelujah)
My, my, my lord (hare krishna)
My sweet lord (hare krishna)
My sweet lord (krishna krishna)
My lord (hare hare)
Hm, hm (Gurur Brahma)
Hm, hm (Gurur Vishnu)
Hm, hm (Gurur Devo)
Hm, hm (Maheshwara)
My sweet lord (Gurur Sakshaat)
My sweet lord (Parabrahma)
My, my, my lord (Tasmayi Shree)
My, my, my, my lord (Guruve Namah)
My sweet lord (Hare Rama)

[fade:]

(hare krishna)
My sweet lord (hare krishna)
My sweet lord (krishna krishna)
My lord (hare hare)"
2,John Lennon,Imagine,1971,"Imagine there's no Heaven
It's easy if you try
No Hell below us
Above us only sky

Imagine all the people
Livin' for today
Aaa haa

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too

Imagine all the people
Livin' life in peace
Yoo hoo

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will be as one

Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man

Imagine all the people
Sharin' all the world
Yoo hoo

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will live as one"
3,Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden),1971,"LYNN ANDERSON
New! Tap highlighted lyrics to add Meanings, Special Memories, and Misheard Lyrics...
I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time
When you take you gotta give so live and let live
Or let go oh-whoa-whoa-whoa
I beg your pardon
I never promised you a rose garden

I could promise you things like big diamond rings
But you don't find roses growin' on stalks of clover
So you better think it over
Well if sweet-talkin' you could make it come true
I would give you the world right now on a silver platter
But what would it matter
So smile for a while and let's be jolly
Love shouldn't be so melancholy
Come along and share the good times while we can

I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time

I beg your pardon
I never promised you a rose garden

I could sing you a tune and promise you the moon
But if that's what it takes to hold you
I'd just as soon let you go
But there's one thing I want you to know
You better look before you leap, still waters run deep
And there won't always be someone there to pull you out
And you know what I'm talkin' about
So smile for a while and let's be jolly
Love shouldn't be so melancholy
Come along and share the good times while we can

I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time,
I beg your pardon
I never promised you a rose garden"
4,Rod Stewart,Maggie May,1971,"Wake up Maggie I think I got something to say to you
It's late September and I really should be back at school
I know I keep you amused but I feel I'm being used
Oh Maggie I couldn't have tried any more
You lured me away from home just to save you from being alone
You stole my heart and that's what really hurts

The morning sun when it's in your face really shows your age
But that don't worry me none in my eyes you're everything
I laughed at all of your jokes, my love you didn't need to coax
Oh, Maggie I couldn't have tried any more
You lured me away from home, just to save you from being alone
You stole my soul and that's a pain I can do without

All I needed was a friend to lend a guiding hand
But you turned into a lover and
Mother what a lover, you wore me out
All you did was wreck my bed
And in the morning kick me in the head
Oh Maggie I couldn't have tried anymore
You lured me away from home 'cause you didn't want to be alone
You stole my heart I couldn't leave you if I tried

I suppose I could collect my books and get on back to school
Or steal my daddy's cue and make a living out of playing pool
Or find myself a rock and roll band that needs a helpin' hand
Oh Maggie I wish I'd never seen your face
You made a first class fool out of me
But I'm as blind as a fool can be
You stole my heart but I love you anyway

Maggie I wish I'd never seen your face
I'll get on back home one of these, these days"
5,The Rolling Stones,Brown Sugar,1971,"Gold Coast slave ship bound for cotton fields
Sold in a market down in New Orleans
Scarred old slaver know he's doin' alright
Hear him whip the women just around midnight

Brown sugar, how come you taste so good
Brown sugar, just like a young girl should

Drums beating, cold English blood runs hot
Lady of the house wonderin' where it's gonna stop
House boy knows that he's doin' alright
You should a heard him just around midnight

Brown sugar, how come you taste so good
Brown sugar, just like a young girl should


Brown sugar, how come you taste so good
Brown sugar, just like a black girl should

I bet your mama was a Tent Show queen
And all her boyfriends were sweet sixteen
I'm no school boy but I know what I like
You should have heard me just around midnight

Brown sugar, how come you taste so good
Brown sugar, just like a young girl should


I said yeah, I said yeah, I said yeah, I said oh
Just like a black girl should"
6,Three Dog Night,Joy to the World,1971,"Jeremiah was a bullfrog
Was a good friend of mine
I never understood a single word he said
But I helped him a-drink his wine
And he always had some mighty fine wine

Singin'...
Joy to the world
All the boys and girls now
Joy to the fishes in the deep blue sea
Joy to you and me

If I were the king of the world
Tell you what I'd do
I'd throw away the cars and the bars and the war
Make sweet love to you

Sing it now...
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

You know I love the ladies
Love to have my fun
I'm a high life flyer and a rainbow rider
A straight shootin' son-of-a-gun
I said a straight shootin' son-of-a-gun

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the world
Joy to you and me

Joy to the world
All the boys and girls now
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
you know i mean.
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
(fading)"
7,Tom Jones,She's a Lady,1971,"Well she's all you'd ever want,
She's the kind I'd like to flaunt and take to dinner.
Well she always knows her place.
She's got style, she's got grace, She's a winner.

She's a Lady. Whoa whoa whoa,
She's a Lady.
Talkin' about that little lady,
and the lady is mine.

Well she's never in the way
Always something nice to say, Oh what a blessing.
I can leave her on her own
Knowing she's okay alone, and there's no messing.

She's a lady.
Whoa, whoa, whoa.
She's a lady.
Talkin' about that little lady,
and the lady is mine.

Well she never asks for very much and I don't refuse her.
Always treat her with respect, I never would abuse her.
What she's got is hard to find, and I don't want to lose her
Help me build a mansion from my little pile of clay.
Hey, hey, hey.
Well she knows what I'm about,
She can take what I dish out, and that's not easy,
Well she knows me through and through,
She knows just what to do, and how to please me.

She's a lady.
Whoa, whoa, whoa.
She's a lady.
Talkin' about that little lady

and the lady is mine.
Yeah yeah yeah She's a Lady
Listen to me baby, She's a Lady
Whoa whoa whoa, She's a Lady
And the Lady is mine
Yeah yeah yeah She's a Lady
Talkin about this little lady
Whoa whoa whoa whoa
Whoa and the lady is mine
Yeah yeah She's a Lady
And the Lady is mine"
8,Isaac Hayes,Theme From 'Shaft',1971,"Shaft
Who's the black private dick
That's a sex machine to all the chicks?
(Shaft!)
You're damn right
Who is the man
That would risk his neck for his brother man?
(Shaft!)
Can ya dig it?
Who's the cat that won't cop out
When there's danger all about
(Shaft!)
Right on
You see this cat Shaft is a bad mother
(Shut your mouth)
But I'm talkin' about Shaft
(Then we can dig it)
He's a complicated man
But no one understands him but his woman
(John Shaft)"
9,Tony Orlando & Dawn,Knock Three Times,1971,"Hey girl, what ya doin' down there?
Dancin' alone every night
While I live right above you

I can hear your music playin'
I can feel your body swayin'
One floor below me
You don't even know me, I love you

Oh, my darling, knock three times
On the ceiling if you want me
Twice on the pipe
If the answer is no

Oh, my sweetness
Means you'll meet me in the hallway
Oh, twice on the pipe
Means you ain't gonna show

If you look out your window tonight
Pull in the string with the note
That's attached to my heart

Read how many times I saw you
How in my silence I adored you
And only in my dreams did
That wall between us come apart

Oh, my darling, knock three times
On the ceiling if you want me
Mmm, twice on the pipe
If the answer is no

Oh, my sweetness
Means you'll meet me in the hallway
Whoa, twice on the pipe
Means you ain't gonna show

Oh, I can hear the music playin'
I can feel your body swayin'
One floor below me
You don't even know me, I love you

Oh, my darling, knock three times
On the ceiling if you want me
Oh, twice on the pipe
If the answer is no
  (I love you, I love you, I love you)

Oh, my sweetness
Means you'll meet me in the hallway
Mmm, twice on the pipe
Means you ain't gonna show"
10,Carole King,It's Too Late,1971,"Stayed in bed all mornin' just to pass the time
There's something wrong here there can be no denyin'
One of us is changin' or maybe we've just stopped tryin'
And it's too late baby now it's too late
Though we really did try to make it
Something inside has died and I can't hide it and I just can't fake it
Oh, no-no-no-no
(no-no-no-no)

It used to be so easy livin' here with you
You were light and breezy and I knew just what to do
Now you look so unhappy and I feel like a fool
And it's too late baby now it's too late
Though we really did try to make it
(we can't make it)
Something inside has died and I can't hide it and I just can't fake it
Oh, no-no
Do-do-do-do-do
(la-la-la-la-la)
There'll be good times again for me and you
But we just can't stay together don't you feel it too?
Still I'm glad for what we had and how I once loved you
But it's too late baby now it's too late
Though we really did try to make it
(we can't make it now)
Something inside has died and I can't hide it and I just can't fake it
Oh, no-no-no-no-no
It's too late
Baby
It's too late
Now darlin'
It's too l-a-t-e..."
