Position,Artist,Song Title,Year,Lyrics
1,Rihanna & Calvin Harris,We Found Love,2011,"Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine
What it takes to come alive

It's the way I'm feeling I just can't deny
But I've gotta let it go

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

Shine a light through an open door
Love and life I will divide
Turn away cause I need you more
Feel the heartbeat in my mind

It's the way I'm feeling I just can't deny
But I've gotta let it go

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place"
2,LMFAO,Party Rock Anthem,2011,"Party rock!
Yeah
Woo!
Let's go

Party rock is in the house tonight
Everybody just have a good time
And we gon' make you loose your mind (wooo!)

Everybody just have a good time

Party rock is in the house tonight (ooww!)
Everybody just have a good time

And we gon' make you loose your mind (yeah!)

We just wanna see you...

Shake that!

In the club party rock
Look a pretty girl she on my jock (huh!)
Non-stop when we in the spot
Booty on the way like she on the block (wooo!)
With a drink I gots' to know
Tight jeans, tattoos, cause I'm rock n' roll
Half black, half white, domino
Gain the money out the door
YOO!
I'm runnin' through these hoes like drano
I got that devilish flow rock n' roll, no halo
We party rock!
Yeah, that's the crew that I'm reppin'
On the rise to the stop no led in our zeppelin (heeeey!)
Party rock is in the house tonight (wooo!)
Everybody just have a good time (hey!)
And we gon' make you loose your mind
Everybody just have a good time (let's go!)
Party rock is in the house tonight
Everybody just have a good time
And we gon' make you loose your mind
We just wanna see you...
Shake that!
Everyday i'm shuffling
Shuffling Shuffling
Step up fast & be the first girl to make me throw this cash
We gettin' money, don't be mad now stop. hating is bad
One more shot for us

Another round (another round!)
Please fill up my cup (don't mess around!)
Bitches wanna' see (you shake it now!)
Now you wanna be (you're naked now!)

Get up
Get down
Put your hands up to the sound
Get up
Get down
Put your hands up to the sound
Get up
Get down
Put your hands up to the sound
Put your hands up to the sound
Put your hands up to the sound
Get up
Get up
Get up
Get up
Get up
Get up
Get up
Get up
Get up
Put your hands up to the sound

To the sound
Put your hands up
Put your hands up
Put your hands up
Put your hands up

Party rock is in the house tonight (put your hands up)
Everybody just have a good time (put your hands up)
And we gon' make you loose your mind (put your hands up)
Everybody just have a
Good Good Good

Time
Ooohh! Ooooh! (put your hands up)
Ooohh! Ooooh! Ooh! Ooh!
Ooohh! Ooooh! (put your hands up)
Ooohh! Ooooh! (put your hands up)
Shake that!

Everyday I'm shu-ff-ffling
Put your
Put your
Put your
Put your (Yeaah!)
Put your
Put your (Wooo!)
Put your
Put your
Your hands up
Put your hands up
Put your hands up
Everyday I'm shuffling"
3,Adele,Rolling In The Deep,2011,"There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your ship bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do

There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark
The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless

I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep

(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat

(Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you and I'm gonna make your head burn

Think of me in the depths of your despair
Make a home down there as mine sure won't be shared
The scars of your love remind me of us
(You're gonna wish you never had met me)

They keep me thinking that we almost had it all
(Tears are gonna fall, rolling in the deep)
The scars of your love, they leave me breathless
(You're gonna wish you never had met me)

I can't help feeling
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)

Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

Could have had it all
Rolling in the deep
You had my heart inside of your hands
But you played it with a beating
Throw your soul through every open door
Count your blessings to find what you look for
Turn my sorrow into treasured gold
You'll pay me back in kind and reap just what you've sown
(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
But you played it
You played it
You played it
You played it to the beat."
4,Bruno Mars,Grenade,2011,"Easy come, easy go, that's just how you live oh
Take, take, take it all, but you never give
Should have known you was trouble from the first kiss
Had your eyes wide open,
Why were they open?

Gave you all I had and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever asked 'cause
What you don't understand is I'd catch a grenade for ya (yeah, yeah)
Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya baby
But you won't do the same

No, no, no, no
Black, black, black and blue,
Beat me 'til I'm numb,
Tell the devil I said 'hey' when you get back to where you're from
Mad woman, bad woman
That's just what you are,
Yeah you'll smile in my face then rip the brakes out my car

Gave you all I had and you tossed it in the trash
You tossed it in the trash, yes you did
To give me all your love is all I ever asked
'Cause what you don't understand is

I'd catch a grenade for ya (yeah, yeah)
Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh, I would go through all this pain,
Take a bullet straight through my brain,
Yes, I would die for ya baby,
But you won't do the same

If my body was on fire,
Oh you'd watch me burn down in flames
You said you loved me you're a liar 'cause you never,
Ever, ever did baby

But darling I'll still catch a grenade for ya (yeah, yeah)
Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya baby
But you won't do the same
No, you won't do the same
You wouldn't do the same
Oh, you'll never do the same
No, no, no, no"
5,Lady GaGa,Born This Way,2011,"It doesn't matter if you love him, or capital H-I-M
Just put your paws up
'Cause you were born this way, baby

My mama told me when I was young
We are all born superstars
She rolled my hair and put my lipstick on
In the glass of her boudoir

""There's nothing wrong with loving who you are""
She said, ""'Cause He made you perfect, babe""
""So hold your head up, girl, and you'll go far
Listen to me when I say""

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way

Don't hide yourself in regret
Just love yourself, and you're set
I'm on the right track, baby
I was born this way (born this way)

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (born this way)
Ooh, there ain't no other way
Baby, I was born this way
Right track, baby
I was born this way

Don't be a drag, just be a queen
Don't be a drag, just be a queen
Don't be a drag, just be a queen
Don't be, don't be, don't be

Give yourself prudence, and love your friends
Subway kid, rejoice your truth
In the religion of the insecure
I must be myself, respect my youth

A different lover is not a sin
Believe capital H-I-M (hey, hey, hey)
I love my life, I love this record, and
Mi amore vole fe, yah (same DNA)

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way

Don't hide yourself in regret
Just love yourself, and you're set
I'm on the right track, baby
I was born this way

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (born this way)
Ooh, there ain't no other way
Baby, I was born this way
I'm on the right track, baby
I was born this way

Don't be a drag, just be a queen
Whether you're broke or evergreen
You're black, white, beige, chola descent
You're Lebanese, you're Orient

Whether life's disabilities
Left you outcast, bullied, or teased
Rejoice and love yourself today
'Cause, baby, you were born this way

No matter gay, straight, or bi
Lesbian, transgendered life
I'm on the right track, baby
I was born to survive

No matter black, white, or beige
Chola or orient made
I'm on the right track, baby
I was born to be brave

I'm beautiful in my way
'Cause God makes no mistakes
I'm on the right track, baby
I was born this way

Don't hide yourself in regret
Just love yourself, and you're set
I'm on the right track, baby
I was born this way, yeah

Ooh, there ain't no other way
Baby, I was born this way
Baby, I was born this way (born this way)
Ooh, there ain't no other way
Baby, I was born this way
I'm on the right track, baby
I was born this way

I was born this way, hey
I was born this way, hey
I'm on the right track, baby
I was born this way, hey

I was born this way, hey
I was born this way, hey
I'm on the right track, baby
I was born this way, hey

Same DNA, but born this way
Same DNA, but born this way"
6,Maroon 5,Moves Like Jagger,2011,"Just shoot for the stars if it feels right
Then aim for my heart if you feel like
And take me away
And make it okay
I swear I'll behave

You wanted control, so we waited
I put on a show, now I'm naked
You say I'm a kid, my ego is big
I don't give a shit
And it goes like this

Take me by the tongue, and I'll know you
Kiss me till you're drunk, and I'll show you
All the moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger

I don't need to try to control you
Look into my eyes, and I'll own you
With them moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger

Maybe it's hard when you feel like
You're broken and scarred
Nothing feels right
But when you're with me
I make you believe
That I've got the key

Oh, so get in the car, we can ride it
Wherever you want, get inside it
And you want to steer
But I'm shifting gears
I'll take it from here
And it goes like this

Take me by the tongue, and I'll know you
Kiss me till you're drunk, and I'll show you
All the moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger

I don't need to try to control you
Look into my eyes, and I'll own you
With them moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger

You want to know how to make me smile
Take control, own me just for the night
But if I share my secret
You gonna have to keep it
Nobody else can see this

So watch and learn, I won't show you twice
Head to toe, ooh, baby, roll me right
But if I share my secret
You gonna have to keep it
Nobody else can see this
And it goes like this

Take me by the tongue, and I'll know you
Kiss me till you're drunk, and I'll show you
All the moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger

I don't need to try to control you
Look into my eyes, and I'll own you
With them moves like Jagger
I've got the moves like Jagger
I've got the moves like Jagger"
7,Jennifer Lopez,On The Floor,2011,"J-Lo, ya tú sabes, no es más nada

It's a new generation
Mr. Worldwide
Of party people
Get on the floor, dale
Get on the floor, RedOne

Let me introduce you to my party people in the club, huh

I'm loose, loose
And everybody knows I get off the train
Baby, it's the truth, it's the truth
I'm like inception, I play with your brain
So I don't sleep or snooze, snooze

I don't play no games
So don-don-don't get it confused, no
'Cause you will lose, yeah
Now, now pu-pu-pum-pu-pu-pu-pump it up
And back it up like a Tonka truck, dale

If you go hard, you gotta get on the floor
If you're a party freak, then step on the floor
If you're an animal, then tear up the floor
Break a sweat on the floor
Yeah, we work on the floor
Don't stop, keep it moving, put your drinks up

Pick your body up and drop it on the floor
Let the rhythm change your world on the floor
You know we're running shit tonight on the floor
Brazil, Morocco, London to Ibiza
Straight to LA, New York, Vegas to Africa (dale)

Dance the night away
Live your life and stay young on the floor
Dance the night away
Grab somebody, drink a little more

(Así mismo, así me gusta, así me gusta, así me gusta)

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor

I know you got it, clap your hands on the floor
And keep on rocking, rock it up on the floor
If you're a criminal, kill it on the floor
Steal it quick on the floor, on the floor
Don't stop, keep it moving, put your drinks up

It's getting ill, it's getting sick on the floor
We never quit, we never rest on the floor
If I ain't wrong, we'll probably die on the floor
Brazil, Morocco, London to Ibiza
Straight to LA, New York, Vegas to Africa (dale)

Dance the night away
Live your life and stay young on the floor
Dance the night away
Grab somebody, drink a little more

(Dale, así me gusta, así me gusta, así me gusta)

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor

That badonka donk is like a trunk full of bass on an old-school Chevy
Seven tray donkey donk
All I need is some vodka and some Chonkey coke
And watch a chick go get donkey-konged
Baby, if you're ready for things to get heavy
I get on the floor and act a fool if you let me, dale

Don't believe me, just vet me
My name ain't Keith, but I see the way you sweat me
LA, Miami, New York
Say no more, get on the floor

La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor
La la la la la la la la la la la la la la
Tonight we gon' be it on the floor"
8,Adele,Someone Like You,2011,"I heard that you're settled down, That you found a girl, And you're married now.

I heard that your dreams came true, Guess she gave you things, I didn't give to you.

Old friend, why are you so shy, Ain't like you to hold back, Or hide from the light.

I hate to turn up out of the blue uninvited, but I, couldn't stay away I couldn't fight it
I had hoped you'd see my face And that you'd be reminded that for me- it isn't over.

Never mind I'll find someone like you
I wish nothing but the best for you too,
Don't forget me I beg I'll remember you said: ""Sometimes it lasts in love, but sometimes it hurts instead.""
Sometimes it lasts in love but sometimes it hurts instead, yeah.

You know how the time flies. Only yesterday was the time of our lives. We were born and raised, In a summer haze
Bound by the surprise of our glory days.

I hate to turn up out of the blue uninvited but I couldn't stay away, I couldn't fight it
I had hoped you'd see my face And that you'd be reminded, that for me, it isn't over.

Never mind I'll find someone like you. I wish nothing but the best for you too.

Don't forget me I beg I'll remember you said, ""Sometimes it lasts in love, but sometimes it hurts instead.""

Nothing compares
No worries or cares
Regrets and mistakes they're memories made. Who would have known how bitter-sweet this would taste.

Never mind I'll find someone like you
I wish nothing but the best for you
Don't forget me I beg I'll remember you said, ""Sometimes it lasts in love but sometimes it hurts instead.""

Never mind how I'll find someone like you. I wish nothing but the best for you two. Don't forget me I beg I'll remember you said, ""Sometimes it lasts in love but sometimes it hurts instead.""
""Sometimes it lasts in love but sometimes it hurts instead, yeah yeah."""
9,Pitbull,Give Me Everything,2011,"Me not working hard?
Yea right picture that with a Kodak
And better yet, go to Times Square
Take a picture of me with a Kodak
Took my life from negative to positive
I just want y'all know that
And tonight, let's enjoy life

Pitbull, Nayer, Ne-Yo

Tonight I will love love you tonight
Give me everything tonight
For all we know, we might not get tomorrow
Let's do it tonight

Don't care what they say
All the games they play
Nothing is enough
Till they handle love (Let's do it tonight)
I want you tonight
I want you today
I want you tonight

Grab somebody sexy tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

Take advantage of tonight
Cause tomorrow i'm also
Doin bad for, for, for a Princess
But tonight
I can make you my queen
And make love to you endless
This is insane, the way the name growin'
Money keep flowin'
Hustlers move aside, so I'm tiptoein'
To keep flowin'
I got it locked up like Lindsay Lohan
Put it on my life baby
I make you feel right baby
Can't promise tomorrow but I promise tonight.
Dale

Excuse me
But I might drink a little more than I should tonight
And I might take you home with me if I could tonight
And maybe I'm a make you feel so good tonight
Cause we might not get tomorrow

Tonight I will love love you tonight
Give me everything tonight
For all we know we might not get tomorrow
Let's do it tonight

Don't care what they say,
All the games they play
Nothing is enough
Till they handle love (Let's do it tonight)
I want you tonight
I want you today
I want you tonight

Grab somebody sexy tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

Reach for the stars and if you don't grab 'em,
At least youd fall on top of the world
Think about it cuz if you slip I'm gonna fall
On top of you girl, what i'm involved with is deeper than the mazes
Baby, baby and it ain't no secret
My grammy's from Cuba but I'm an American
And i don't get money like Seacrest.
Put it on my life baby I make you feel right baby
Can't promise tomorrow but I promise tonight.
Dale

Excuse me
But I might drink a little bit more than I should tonight
And I might take you home with me if I could tonight
And baby I'm a make you feel so good tonight
Cause we might not get tomorrow

Tonight I will love love you tonight
Give me everything tonight
For all we know we might not get tomorrow
Let's do it tonight

Don't care what they say
All the games they play
Nothing is enough
Till they handle love (Let's do it tonight)
I want you tonight
I want you today
I want you tonight
Grab somebody sexy tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight
Excuse me
But I might drink a little more than I should tonight
And I might take you home with me if I could tonight
And baby I'm a make you feel so good tonight
Cause we might not get tomorrow..."
10,Katy Perry,E.T.,2011,"You're so hypnotizing
Could you be the devil?
Could you be an angel?

Your touch magnetizing
Feels like I am floating
Leaves my body glowing

They say, be afraid
You're not like the others
Futuristic lover
Different DNA
They don't understand you

You're from a whole 'nother world
A different dimension
You open my eyes
And I'm ready to go
Lead me into the light

Kiss me, ki-ki-kiss me
Infect me with your love and
Fill me with your poison

Take me, ta-ta-take me
Wanna be a victim
Ready for abduction

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial

You're so supersonic
Wanna feel your powers
Stun me with your lasers
Your kiss is cosmic
Every move is magic

You're from a whole 'nother world
A different dimension
You open my eyes
And I'm ready to go
Lead me into the light

Kiss me, ki-ki-kiss me
Infect me with your love and
Fill me with your poison

Take me, ta-ta-take me
Wanna be a victim
Ready for abduction

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial

This is transcendental
On another level
Boy, you're my lucky star

I wanna walk on your wave length
And be there when you vibrate
For you I'll risk it all
All

Kiss me, ki-ki-kiss me
Infect me with your love and
Fill me with your poison

Take me, ta-ta-take me
Wanna be a victim
Ready for abduction

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial

Extraterrestrial
Extraterrestrial

Boy, you're an alien
Your touch so foreign
It's supernatural
Extraterrestrial"
