Position,Artist,Song Title,Year,Lyrics
1,Elvis Presley,Are You Lonesome Tonight?,1960,"Are you lonesome tonight? Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray to a brighter sunny day?
When I kissed you and called you sweetheart?

Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain? Shall I come back again?
Tell me dear, are you lonesome tonight

I wonder if you're lonesome tonight
You know someone said that the world's a stage
And each must play a part
Fate had me playing in love with you as my sweet heart

Act one was when we met, I loved you at first glance
You read your line so cleverly and never missed a cue
Then came act two, you seemed to change, you acted strange
And why? I've never known

Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than I go on living without you

Now the stage is bare and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down

Is your heart filled with pain? Shall I come back again?
Tell me dear, are you lonesome tonight"
2,Elvis Presley,It's Now Or Never,1960,"It's now or never
come hold me tight
Kiss me my darling
be mine tonight
Tomorrow will be too late
it's now or never
My love won't wait.

When I first saw you
with your smile so tender
My heart was captured
my soul surrendered
I'd spend a lifetime
waiting for the right time
Now that your near
the time is here at last.

It's now or never
come hold me tight
Kiss me my darling
be mine tonight
Tomorrow will be too late
it's now or never
My love won't wait.

Just like a willow
we would cry an ocean
If we lost true love
and sweet devotion
Your lips excite me
let your arms invite me
For who knows when
we'll meet again this way

It's now or never
come hold me tight
Kiss me my darling
be mine tonight
Tomorrow will be too late
it's now or never
My love won't wait
it's now or never
My love won't wait."
3,Chubby Checker,The Twist,1960,"Come on, baby, let's do the twist
Come on, baby, let's do the twist
Take me by my little hand and go like this

Yeah, twist, baby, baby
Twist, ooh yeah, just like this
Come on, little miss, and do the twist

My daddy is sleepin' and mama ain't around
Yeah, daddy's just sleepin' and mama ain't around
We're gonna twisty, twisty, twisty
Till we tear the house down

Come on and twist, yeah, baby
Twist, ooh yeah, just like this
Come on, little miss, and do the twist, yeah

Yeah, you should see my little sis
You should see my, my little sis
She really knows how to rock
She knows how to twist

Come on and twist, yeah, baby
Twist, ooh yeah, just like this
Come on, little miss, and do the twist

Yeah, rock on now
Yeah, twist on now, twist"
4,Percy Faith,Theme From 'A Summer Place',1960,"There's a summer place
Where it may rain or storm
Yet I'm safe and warm

For within that summer place
Your arms reach out to me
And my heart is free from all care for it knows

There are no gloomy skies
When seen through the eyes
Of those who are blessed with love

And the sweet secret of
A summer place
Is that it's anywhere

When two people share
All their hopes, all their dreams
All their love

There's a summer place
Where it may rain or storm
Yet I'm safe and warm

In your arms, in your arms
In your arms, in your arms
In your arms, in your arms"
5,Rocco Granata,Marina,1960,"you're hard to hug
tough to talk to
and I'll never fall asleep
when you're in my bed
all you give me is a heartbeat
I've turned into a statue
and it makes me feel depressed
cause the only time you open up is when we get undressed

you don't love me
big fucking deal
I'll never tell you how I feel
you don't love me
not a big deal
I'll never tell you how i feel

It almost feels like a joke
to play out a part
when you are not the starring role in someone else's heart
you know I'd rather walk alone
than play a supporting role
if I can't get a starring role

sometimes I ignore you
so I'll feel in control
cause really
I adore you
and I can't leave you alone

fed up with the fantasies
they cover what is wrong

c'mon baby let's just get drunk
forget we don't get on

you're like my dad
you get on well
I sing my best
regards from hell

It almost feels like a joke
to play out a part
when you are not the starring role in someone else's heart
you know I'd rather walk alone
than play a supporting role
If I can't get starring role

I never send for love
i never had a heart to mend
because before the start began
i always saw the end

I wait for you to open up
to give yourself to me
but nothing's ever gonna give up
never set you free
yeah I'll never set you free

It almost feels like a joke
to play out a part
when you are not the starring role in someone else's heart
you know I'd rather walk alone
than play a supporting role
If I can't get starring role"
6,The Everly Brothers,Cathy's Clown,1960,"Don't want your love anymore
Don't want your kisses, that's for sure
I die each time
I hear this sound:
""Here he comes. That's Cathy's clown.""

I've gotta stand tall
You know a man can't crawl
But when he knows you're tellin' lies
And he hears them passing' by
He's not a man at all

Don't want your love anymore
Don't want your kisses, that's for sure
I die each time
I hear this sound:
""Here he comes. That's Cathy's clown.""

When you see me shed a tear
And you know that it's sincere
Don't you think it's kind of sad
That you're treating me so bad
Or don't you even care?

Don't want your love anymore
Don't want your kisses, that's for sure
I die each time
I hear this sound:
""Here he comes.
That's Cathy's clown
That's Cathy's clown
That's Cathy's clown."""
7,The Drifters,Save the Last Dance For Me,1960,"You can dance
Every dance with the guy
Who gave you the eye
Let him hold you tight

You can smile
Every smile for the man
Who held your hand
'Neath the pale moonlight

But don't forget who's taking you home
And in whose arms you're gonna be
So Darlin'
Save the last dance for me

Mmmmmh'

Oh I know (Oh I know)
That the music's fine (Yes I know)
Like sparkling wine (Oh I know)
Go and have your fun (Yes I know)
(Oh I know) Laugh and sing
(Yes I know) But while we're apart
(Oh I know) Don't give your heart
(Yes I know) To anyone (Oh I know)

But don't forget who's taking you home
And in whose arms you're gonna be
So Darlin'
Save the last dance for me

Mmmmh'

Baby don't you know I love you so?
Can't you feel it when we touch?
I will never never let you go
I love oh so much

You can dance (You can dance)
Go and carry on
'Till the night is gone
And it's time to go

If he asks
If you're all alone
Can he take you home
You must tell him no

'Cause don't forget who's taking you home
And in whose arms you're gonna be
So Darlin'
Save the last dance for me
'Cause don't forget who's taking you home
And in whose arms you're gonna be
So Darlin'
Save the last dance for me
Mmmh'
Save the last dance for me
Mmmm'
Save the last dance for me"
8,Roy Orbison,Only The Lonely (Know The Way I Feel),1960,"Dum dum dummy doo wah
Ooh yay, yay, yay, yeah
Oh, oh oh oh oh ooh ah ah
Only the lonely, only the lonely

Only the lonely
  (Dum dum dummy doo wah)
Know the way I feel tonight
  (Ooh yay, yay, yay, yeah)
Only the lonely
  (Dum dum dummy doo wah)
Know this feeling ain't right
  (Dum dum dummy doo wah)

There goes my baby, there goes my heart
They're gone forever, so far apart
But only the lonely
Know why I cry only the lonely

Dum dum dummy doo wah
Ooh yay, yay, yay, yeah
Oh, oh oh oh oh ooh ah ah
Only the lonely, only the lonely

Only the lonely
  (Dum dum dummy doo wah)
Know the heartaches I've been through
  (Ooh yay, yay, yay, yeah
Only the lonely
  (Dum dum dummy doo wah)
Know I cry and cry for you
  (Dum dum dummy doo wah)

Maybe tomorrow a new romance
No more sorrow, but that's the chance
You've got to take
If your lonely heart breaks, only the lonely
  (Dum dum dummy doo wah)"
9,Sam Cooke,Wonderful World,1960,"Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

But I do know that I love you
And I know that if you love me too
What a wonderful world this would be

Don't know much about geography
Don't know much trigonometry
Don't know much about algebra
Don't know what a slide rule is for

But I do know, one and one is two
And if this world could be with you
What a wonderful world this would be

Now I don't claim to be an 'A student'
But I'm trying to be
For maybe by being an 'A student', baby
I can win your love for me

Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

But I do know that I love you
And I know that if you love me too
What a wonderful world this would be

La ta ta ta ta ta ta ah
(History)
Hmm mmm mmm
(Biology)
La ta ta ta ta ta ah
(Science book)
Hmm mmm mmm, yeah
(French I took)

But I do know that I love you
And I know that if you love me too
What a wonderful world this would be"
10,Brenda Lee,I'm Sorry,1960,"I'M SORRY SO SORRY
THAT I WAS SUCH A FOOL
I DIDN'T KNOW
LOVE COULD BE SO CRUEL
OH. OH. OH.OH.OH. OH YES

YOU TELL ME ...MISTAKES
ARE PART OF BEING YOUNG
BUT THAT DON'T RIGHT
THE WRONG THAT'S BEEN DONE

I'M SORRY... I'M SORRY
SO SORRY ... SO SORRY
PLEASE ACCEPT, MY APOLOGY
BUT LOVE IS BLIND
AND I WAS TOO BLIND TO SEE
OH, OH, OH, OH, OH, OH YES

YOU TELL ME... MISTAKES
ARE PART OF BEING YOUNG
BUT THAT DON'T RIGHT
THE WRONG THAT'S BEEN DONE
OH, OH, OH, OH, OH, OH YES

I'M SORRY SO SORRY
PLEASE ACCEPT MY APOLOGY
BUT LOVE WAS BLIND
AND I WAS TOO BLIND TO SEE..."
