Position,Artist,Song Title,Year,Lyrics
1,Frank Sinatra,Strangers in the Night,1966,"Strangers in the night exchanging glances

Wondering in the night
What were the chances we'd be sharing love
Before the night was through.
Something in your eyes was so inviting

Something in your smile was so exciting
Something in my heart
Told me I must have you.
Strangers in the night

Two lonely people we were strangers in the night
Up to the moment
When we said our first hello.
Little bit we know
Love was just a glance away
A warm embracing dance away, and
Ever since that night we've been together.

Lovers at first sight, in love forever.
It turned out so right
For strangers in the night.
Love was just a glance away
A warm embracing dance away.
Ever since that night we've been together.
Lovers at first sight, in love forever.
It turned out so right
For strangers in the night."
2,Nancy Sinatra,These Boots Are Made For Walking,1966,"You keep saying, you got something for me
Something you call love but confess
You've been messin' where you shouldn't have been messin'
And now someone else is getting all your best

These boots are made for walking
And that's just what they'll do
One of these days these boots
Are gonna walk all over you

Yeah, you keep lyin' when you oughta be truthin'
And you keep losing when you oughta not bet
You keep samin' when you oughta be changin'
Now, what's right is right but you ain't been right yet

These boots are made for walking
And that's just what they'll do
One of these days these boots
Are gonna walk all over you

You keep playin' where you shouldn't be playin'
And you keep thinkin' that you'll never get burnt
Ah, I've just found me a brand new box of matches, yeah
And what he knows you ain't had time to learn

These boots are made for walking
And that's just what they'll do
One of these days these boots
Are gonna walk all over you

Are you ready, boots?
Start walking"
3,The Beach Boys,Good Vibrations,1966,"I-I love the colorful clothes she wears
And the way the sunlight plays upon her hair
I hear the sound of a gentle word
On the wind that lifts her perfume through the air

I'm pickin' up good vibrations
She's giving me excitations (Oom bop bop)
I'm pickin' up good vibrations (Good vibrations, oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations)

Close my eyes, she's somehow closer now
Softly smile, I know she must be kind
When I look in her eyes
She goes with me to a blossom world

I'm pickin' up good vibrations
She's giving me excitations (Oom bop bop)
I'm pickin' up good vibrations (Good vibrations, oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations)

(Ahh)
(Ah, my my, what elation)
I don't know where but she sends me there
(Oh, my my, what a sensation)
(Oh, my my, what elation)
(Oh, my my, what)

Gotta keep those lovin' good vibrations a-happenin' with her
Gotta keep those lovin' good vibrations a-happenin' with her
Gotta keep those lovin' good vibrations a-happenin'

(Ahh)

Good, good, good, good vibrations (Oom bop bop)
(I'm pickin' up good vibrations) (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations

Na na na na na, na na na
Na na na na na, na na na (Bop bop-bop-bop-bop, bop)
Do do do do do, do do do (Bop bop-bop-bop-bop, bop)
Do do do do do, do do do (Bop bop-bop-bop-bop, bop)"
4,The Beatles,Paperback Writer,1966,"Paperback writer (Paperback writer)

Dear Sir or Madam
Will you read my book
It took me years to write
Will you take a look
It's based on a novel
By a man named Lear
And I need a job
So I want to be a paperback writer
Paperback writer

It's a dirty story of a dirty man
And his clinging wife doesn't understand
His son is working for the Daily Mail
It's a steady job
But he wants to be a paperback writer
Paperback writer

Paperback writer (Paperback writer)

It's a thousand pages
Give or take a few
I'll be writing more in a week or two
I can make it longer if you like the style
I can change it 'round
And I want to be a paperback writer
Paperback writer

If you really like it you can have the rights
It can make a million for you overnight
If you must return it you can send it here
But I need a break
And I want to be a paperback writer
Paperback writer

Paperback writer (Paperback writer)

Paperback writer
Paperback writer
Paperback writer
Paperback writer
Paperback writer
Paperback writer
Paperback writer
Paperback writer"
5,The Beatles,Yellow Submarine,1966,"In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines

So we sailed up to the sun
Till we found the sea of green
And we lived beneath the waves
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

And our friends are all on board
Many more of them live next door
And the band begins to play

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

[Full speed ahead, Mr. Parker, full speed ahead!
Full speed over here, sir!
Action station! Action station!
Aye, aye, sir, fire!
Heaven! Heaven!]

As we live a life of ease (A life of ease)
Everyone of us (Everyone of us) has all we need (Has all we need)
Sky of blue (Sky of blue) and sea of green (Sea of green)
In our yellow (In our yellow) submarine (Submarine, ha, ha)

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine"
6,Simon & Garfunkel,The Sounds of Silence,1966,"Hello darkness, my old friend
I've come to talk with you again
Because a vision softly creeping
Left its seeds while I was sleeping
And the vision that was planted in my brain
Still remains within the sound of silence

In restless dreams, I walked alone
Narrow streets of cobblestone
'Neath the halo of a street lamp
I turned my collar to the cold and damp
When my eyes were stabbed by the flash of a neon light
That split the night and touched the sound of silence

And in the naked light, I saw
Ten thousand people, maybe more
People talking without speaking
People hearing without listening
People writing songs that voices never share
And no one dare disturb the sound of silence

""Fools"" said I, you do not know
Silence like a cancer grows
Hear my words, that I might teach you
Take my arms, that I might reach you
But my words like silent raindrops fell
And echoed in the wells of silence

And the people bowed and prayed
To the neon God they made
And the sign flashed out its warning
In the words that it was forming
And the sign said, ""The words of the Prophets
Are written on the subway walls and tenement halls""
And whispered in the sounds of silence"
7,The Rolling Stones,Paint it Black,1966,"I see a red door and I want it painted black.
No colours anymore, I want them to turn black.
I see the girls walk by dressed in their summer clothes
I have to turn my head until my darkness goes.

I see a line of cars and they're all painted black
With flowers and my love both never to come back.
I see people turn their heads and quickly look away.
Like a newborn baby, it just happens every day.

I look inside myself and see my heart is black.
I see my red door and must have it painted black.
Maybe then I'll fade away and not have to face the facts
It's not easy facin' up when your whole world is black.

No more will my green segel turn a deeper blue.
I could not foresee this thing happening to you.
If I look hard enough into the settin' sun
My love will laugh with me before the mornin' comes.

I see a red door and I want it painted black.
No colours anymore, I want them to turn black.
I see the girls go by dressed in their summer clothes
I have to turn my head until my darkness goes.

Hmm...
I wanna see your face painted black.
Black as night, black as coal.
I wanna see the sun blotted out from the sky.
I wanna see it painted, painted, painted, painted black, yeah!
Hmm..."
8,The Mamas & The Papas,Monday Monday,1966,"Ba-da ba-da-da-da
Ba-da ba-da-da-da
Ba-da ba-da-da-da

Monday, Monday
So good to me
Monday mornin', it was all I hoped it would be
Oh Monday mornin', Monday mornin' couldn't guarantee
That Monday evenin' you would still be here with me

Monday, Monday, can't trust that day
Monday, Monday, sometimes it just turns out that way
Oh Monday mornin' you gave me no warnin' of what was to be
Oh Monday, Monday, how could you leave and not take me

Every other day (every other day), every other day
Every other day of the week is fine, yeah
But whenever Monday comes, but whenever Monday comes
A-you can find me cryin' all of the time

Monday, Monday
So good to me
Monday mornin', it was all I hoped it would be
Oh Monday mornin', Monday mornin' couldn't guarantee
That Monday evenin' you would still be here with me

Every other day, every other day
Every other day of the week is fine, yeah
But whenever Monday comes, but whenever Monday comes
You can find me cryin' all of the time

Monday, Monday
So good to me
Monday mornin', it was all I hoped it would be
Oh Monday mornin', Monday mornin' couldn't guarantee
That Monday evenin' you would still be here with me

Every other day, every other day
Every other day of the week is fine, yeah
But whenever Monday comes, but whenever Monday comes
You can find me cryin' all of the time

Monday, Monday
Can't trust that day
Monday, Monday
It just turns out that way
Whoa, Monday, Monday, won't go away
Monday, Monday, it's here to stay
Oh Monday, Monday
Oh Monday, Monday"
9,The Four Tops,Reach Out (I'll Be There),1966,"Now if you feel that you can't go on (can't go on)
Because all of your hope is gone (all your hope is gone)
And your life is filled with much confusion (much confusion)
Until happiness is just an illusion (happiness is just an illusion)
And your world around is crumbling down, darlin
reach out come on girl reach on out for me
reach out reach out for me
I'll be there with a love that will shelter you
I'll be there with a love that will see you through
When you feel lost and about to give up (to give up)
Cause your life just ain't good enough (just ain't good enough)
And your feel the world has grown cold (has grown cold)
And your drifting out all on your own (drifting out on your own)
And you need a hand to hold, darlin
reach out come on girl reach out for me
reach out reach out for me
I'll be there to love and comfort you
And I'll be there to cherish and care for you
I'll be there to always see you through
I'll be there to love and comfort you
I can tell the way you hang your head (hang your head)
Your not in love now, now your afraid (you're afraid)
And through the tears you look around (look around)
But there's no piece of mind to be found
(no piece of mind to be
found)
I know what your thinking,
You're alone now, no love of your own, but darling
reach out come on girl reach out for me
reach out reach out.......... just look over your shoulder
I'll be there to give you all the love you need
And I'll be there you can always depend on me
I'll be there to always see you through
I'll be there to love and comfort you"
10,New Vaudeville Band,Winchester Cathedral,1966,"Winchester Cathedral
You're bringin' me down
You stood and you watched as
My baby left town

You could've done something
But you didn't try
You didn't do nothing
You let her walk by

Now everyone knows
Just how much I needed that gal
She wouldn't have gone far away
If only you'd started ringing your bell

Winchester Cathedral
You're bringin' me down
You stood there and watched as
My baby left town
""a-vo-dee-oh-doe,
a-vo-dee-oh-doe,
a-vo-dee-oh-doe-dee-oh-doe"
