Position,Artist,Song Title,Year,Lyrics
1,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,"Clock strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away

I've done alright up to now
It's the light of day that shows me how
And when the night falls, loneliness calls
Oh, I wanna dance with somebody

I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody

I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
I've been in love and lost my senses

Spinning through the town

Sooner or later, the fever ends
And I wind up feeling down
I need a man who'll take a chance
On a love that burns hot enough to last

So when the night falls
My lonely heart calls
Oh, I wanna dance with somebody
I wanna feel the heat with somebody

Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody

Yeah, I wanna dance with somebody
With somebody who loves me
Somebody oo Somebody oo
Somebody who loves me yeah

Somebody oo Somebody oo
To hold me in his arms oh

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Don'tcha wanna dance with me baby
Dontcha wanna dance with me boy
Hey Don'tcha wanna dance with me baby
With somebody who loves me
Don'tcha wanna dance, say you wanna dance, don'tcha wanna dance
Don'tcha wanna dance, say you wanna dance, don'tcha wanna dance
Don'tcha wanna dance, say you wanna dance
With somebody who loves me
Dance"
2,Rick Astley,Never Gonna Give You Up,1987,"We're no strangers to love

You know the rules and so do I
A full commitment's what I'm thinking of
You wouldn't get this from any other guy
I just wanna tell you how I'm feeling

Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye

Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching but
You're too shy to say it

Inside we both know what's been going on

We know the game and we're gonna play it
And if you ask me how I'm feeling
Don't tell me you're too blind to see
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you

Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you

Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
(Ooh, give you up)

(Ooh, give you up)
(Ooh)
Never gonna give, never gonna give
(Give you up)

(Ooh)
Never gonna give, never gonna give

(Give you up)
We've know each other for so long
Your heart's been aching but
You're too shy to say it
Inside we both know what's been going on

We know the game and we're gonna play it
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up

Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you"
3,Los Lobos,La Bamba,1987,"Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia para mÃ­ para tÃ­ y arriba y arriba
Y arriba y arriba por tÃ­ serÃ©, por tÃ­ serÃ©, por tÃ­ serÃ©

Yo no soy marinero
Yo no soy marinero
Soy capitan, soy capitan, soy capitan

Bamba bamba
Bamba bamba
Bamba bamba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia para mÃ­ para tÃ­ y arriba y arriba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia para mÃ­ para tÃ­ y arriba y arriba
Y arriba y arriba por tÃ­ serÃ©, por tÃ­ serÃ©, por tÃ­ serÃ©

Bamba bamba
Bamba bamba
Bamba bamba
Bamba bamba"
4,George Michael,Faith,1987,"Well I guess it would be nice
If I could touch your body
I know not everybody
Has got a body like you

But I've got to think twice
Before I give my heart away
And I know all the games you play
Because I play them too

Oh but I
Need some time off
From that emotion
Time to pick my heart up off the floor

Oh, and that love comes down
Without devotion
Well it takes a strong man baby
But I'm showing you the door

Because I gotta have faith
I gotta have faith
Because I got to have faith, faith
I gotta have faith, faith, faith

Baby
I know you're asking me to stay
Sayin' please, please, please, don't go away
You say I'm giving you the blues

Maybe
You mean every word you say
Can't help but think of yesterday
And another who tied me down to lover boy rules

Before this river
Becomes an ocean
Before you throw my heart back
On the floor

Oh, baby I reconsider
My foolish notion
Well I need someone to hold me
But I'll wait for something more

Yes I've gotta have faith
I gotta have faith
Because I got to have faith, faith, faith
I gotta have faith, faith, faith

Because I got to have faith
Oh yeah, faith
Got to have faith

Before this river
Becomes an ocean
Before you throw my heart back
On the floor

Oh, baby I reconsider
My foolish notion
Well I need someone to hold me
But I'll wait for something more

Because I gotta have faith
I gotta have faith
Because I got to have faith, faith, faith
I gotta have faith, faith, faith"
5,U2,With Or Without You,1987,"See the stone set in your eyes
See the thorn twist in your side
I'll wait for you
Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I wait without you

With or without you

With or without you

Through the storm, we reach the shore

You give it all but I want more
And I'm waiting for you

With or without you
With or without you
I can't live with or without you

And you give yourself away
And you give yourself away
And you give, and you give

And you give yourself away

My hands are tied, my body bruised
She's got me with nothing to win

And nothing left to lose

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

With or without you
With or without you
I can't live
With or without you
With or without you
With or without you
I can't live
With or without you
With or without you"
6,Bill Medley & Jennifer Warnes,(I've Had) the Time of My Life,1987,"Now I've had the time of my life
No I never felt like this before
If I swear it's the truth
And I owe it all to you
'Cause I've had the time of my life
And I owe it all to you

I've been waiting for so long
Now I've finally found someone
To stand by me
We saw the writing on the wall
As we felt this magical
Fantasy

Now with passion in our eyes
There's no way we could disguise it
Secretly
So we take each other's hand
'Cause we seem to understand
The urgency just remember

You're the one thing
I can't get enough of
So I'll tell you something
This could be love because

I've had the time of my life
No I never felt this way before
Yes I swear it's the truth
And I owe it all to you

With my body and soul
I want you more than you'll ever know
So we'll just let it go
Don't be afraid to lose control, no
Yes I know what's on your mind
When you say ""Stay with me
Tonight."" Just remember

You're the one thing
I can't get enough of
So I'll tell you something
This could be love because

'Cause I had the time of my life
And I've searched through every open door
Till I've found the truth
And I owe it all to you"
7,U2,I Still Haven't Found What I'm Looking For,1987,"I have climbed highest mountains
I have run through the fields
Only to be with you
Only to be with you
I have run
I have crawled
I have scaled these city walls
These city walls
Only to be with you

But I still haven't found what I'm looking for
But I still haven't found what I'm looking for

I have kissed honey lips
Felt the healing in her fingertips
Burning like a fire
This burning desire

I have spoke with the tongue of angels
I have held the hand of a devil
It was warm in the night
I was cold as a stone

But I still haven't found what I'm looking for
But I still haven't found what I'm looking for

I believe in the kingdom come
Then all the colors will bleed into one
Bleed into one
But yes I'm still running

You broke the bonds
And you loosed the chains
Carried the cross
Of my shame
Oh my shame
You know I believe it
But I still haven't found what I'm looking for
But I still haven't found what I'm looking for
But I still haven't found what I'm looking for
But I still haven't found what I'm looking for"
8,Jefferson Starship,Nothing's Gonna Stop Us Now,1987,"Looking in your eyes I see a paradise
This world that I've found is too good to be true
Standing here beside you, want so much to give you
This love in my heart that I'm feeling for you

Let 'em say we're crazy, I don't care about that
Put your hand in my hand baby don't ever look back
Let the world around us just fall apart
Baby we can make it if we're heart to heart

And we can build this thing together
Stand this storm forever
Nothings gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothings gonna stop us,
Nothings gonna stop us now

I'm so glad I found you, I'm not gonna lose you
Whatever it takes I will stay here with you
Take it to the good times, see it through the bad times
Whatever it takes here's what I'm gonna do

Let 'em say we're crazy, what do they know
Put your arms around me baby don't ever let go
Let the world around us just fall apart
Baby we can make it if we're heart to heart

And we can build this thing together
Stand this storm forever
Nothings gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothings gonna stop us,
Nothings gonna stop us now

Oh, all that I need is you
All that I ever need
And all that I want to do
Is hold you forever, and ever and ever

(break)

And we can build this thing together
Stand this storm forever
Nothings gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothings gonna stop us,
Nothings gonna stop us now"
9,Bon Jovi,Livin' On a Prayer,1987,"Once upon a time not so long ago
Tommy used to work on the docks
Union's been on strike

He's down on his luck
It's tough, so tough
Gina works the diner all day
Working for her man

She brings home her pay for love
For love

She says: We've got to hold on to what we've got
'Cause it doesn't make a difference if we make it or not
We've got each other and that's a lot for love -
We'll give it a shot

Wooah
We're half way there
Woah-oh
Livin' on a prayer
Take my hand and we'll make it
I swear, livin' on a prayer

Tommy got his six string in hock
Now he's holding in what he used to make it talk
So tough, it's tough
Gina dreams of running away
When she cries in the night
Tommy whispers: Baby
It's okay, someday

We've got to hold on to what we've got
Wooah
We're half way there
Woah-oh
Livin' on a prayer
We've got to hold on ready or not
You live for the fight when it's all that you've got
Wooah
We're half way there
Woah-oh
Livin' on a prayer
Wooah
We're half way there
Woah-oh
Livin' on a prayer
Wooah
We're half way there
Woah-oh
Livin' on a prayer"
10,Madonna,Who's That Girl?,1987,"Who's that girl?
who's that girl?

When you see her, say a prayer and kiss your heart goodbye
She's trouble, in a word get closer to the fire
Run faster, her laughter burns you up inside
You're spinning round and round
You can't get up, you try but you can't

Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?

You try to avoid her, fate is in your hands
She's smiling, an invitation to the dance
Her heart is on the street, tu corazón es suyo
Now you're falling at her feet
You try to get away but you can't

Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?

Light up my life, so blind I can't see
Light up my life, no one can help me now

Run faster, her laughter burns you up inside
You're spinning round and round
You can't get up, you try but you can't

Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?

Light up my life, so blind I can't see
Light up my life, no one can help me now

Who's that girl
Now, who's that girl?
Now, who's that girl?
Now, who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl."
