Position,Artist,Song Title,Year,Lyrics
1,Survivor,Eye of the Tiger,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
2,Joan Jett & The Blackhearts,I Love Rock 'n' Roll,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
3,Culture Club,Do You Really Want to Hurt Me?,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
4,Paul McCartney,Ebony & Ivory,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
5,The Human League,Don't You Want Me,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
6,Steve Miller Band,Abracadabra,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
7,J Geils Band,Centrefold,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
8,Men At Work,Down Under,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
9,Dexys Midnight Runners,Come On Eileen,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
10,F R David,Words,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
11,Musical Youth,Pass the Dutchie,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
12,Chicago,Hard to Say I'm Sorry,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
13,Joe Cocker,Up Where We Belong,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
14,Hall & Oates,Maneater,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
15,Trio,Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
16,Hall & Oates,I Can't Go For That (No Can Do),1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
17,John Cougar Mellencamp,Jack & Diane,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
18,Toni Basil,Mickey,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
19,Toto,Rosanna,1982,"Exception occurred 
HTTP Error 500: Internal Server Error"
20,Charlene,I've Never Been to Me,1982,"Hey lady, you lady
cursing at your life
You're a discontented mother
and a regimented wife
I 've no doubt
you dream about the things you never do
but I wish someone had a talk to me like I wanna talk to you

Ooh, I've been to Georgia and California and anywhere I could run
Took the hand of a preacher man
and we made love in the sun
But I ran out of places and friendly faces
Because I had to be free

I've been to paradise but I've never been to me...

Please lady please lady
don't just walk away
'cause I have this need to tell you
why I'm all alone today
I can see so much of me
still living in your eyes

won't you share a part
of a weary heart that has lived a million lives

Ooh, I've been to Nice and the isle of Greece
when I sipped champagne on a yacht
I moved like Harlow in Monte Carlo
and showed them what I've got

I've been undressed by kings
and I've seen some things that a woman ain't s'posed to see
I've been to paradise but I've never been to me...

Hey, you know what paradise is?
It's a lie
a fantasy we created about people and places
as we like them to be
but you know what truth is?

it's that little baby you're holding
and it's that man you fought with this morning
the same one you are gonna make love to tonight
that's truth that's love

Sometimes I've been to crying for unborn children
that might have made me complete
but I, I took the sweet life
I never knew I'd be bitter from the sweet
I spent my life exploring
the subtle whoring
that costs too much to be free
Hey lady I've been to paradise
but I've never been to me...

I've been to paradise - never been to me
(I've been to Georgia and California, and anywhere I could run)
I've been to paradise - never been to me
(I've been to Nice and the isle of Greece
While I sipped champagne on a yacht)
I've been to paradise - never been to me
(Fade)"
21,Supertramp,It's Raining Again,1982,"Oh, it's raining again
Oh no, my love's at an end
Oh no, it's raining again
And you know it's hard to pretend

Oh no, it's raining again
Too bad I'm losing a friend
Oh no, it's raining again
Oh will my heart ever mend

You're old enough some people say
To read the signs and walk away
It's only time that heals the pain
And makes the sun come out again

It's raining again
Oh no, my love's at an end
Oh no, it's raining again
Too bad I'm losing a friend

Na na na na na na...
Na na...
Na na na na na na na na
Na na na na na na... na na na

C'mon you little fighter
No need to get uptighter
C'mon you little fighter
And get back up again

It's raining again
Oh no, my love's at an end
Oh no, it's raining again
Too bad I'm losing a friend

Na na na na na na...
Na na...
Na na na na na na na na
Na na na na na na... na na na
C'mon you little fighter
No need to get uptighter
C'mon you little fighter
And get back up again
Oh, get back up again
Oh, fill your heart again..."
22,Quarterflash,Harden My Heart,1982,"Cryin' on the corner, waitin' in the rain
I swear I'll never, ever wait again
You gave me your word but words for you are lies

Darlin', in my wildest dreams
I never thought I'd go
But it's time to let you know, oh

I'm gonna harden my heart
I'm gonna swallow my tears
I'm gonna turn and leave you here

All of my life I've been waitin' in the rain
I've been waitin' for a feeling that never, ever came
It feels so close but always disappears

Darlin', in your wildest dreams
You never had a clue
But it's time you got the news

I'm gonna harden my heart
I'm gonna swallow my tears
I'm gonna turn and leave you here

Darlin' in my wildest dreams
I never thought I'd go
But it's time to let you know, ho

I'm gonna harden my heart
I'm gonna swallow my tears
I'm gonna turn and leave you here

I'm gonna harden my heart
I'm gonna swallow my tears
I'm gonna harden my heart
I'm gonna swallow my tears

Harden my heart
I'm gonna swallow my tears
Oh oh oh oh
Harden my heart

I'm gonna harden my heart
I'm gonna swallow my tears
I'm gonna harden my heart
I'm gonna swallow my tears

Harden my heart, harden my heart
Swallow my tears
I'm gonna harden my heart"
23,Falco,Der Kommissar,1982,"Two, three, four, eins, zwei, drei
Es is nichts dabei
Wenn ich euch erzaehle die Geschichte
Nichts desto trotz, ich bin es schon gewohnt
Im tv-funk da laeuft es nicht, jah
Sie war so jung, das Herz so rein und weiss
Und jede Nacht hat ihren Preis
Sie sagt: ""Sugar sweet, jah'got me rapp'in to the heat!""
Sie sagt: Babe you know, I miss my Funky friends""
Sie meint, Jack und Jill
Mein funk Verstaendnis reicht zur Not
Ich ueberreiss' was sie jetzt will
Ich ueberlege bei mir, ihre Nase spricht dafuer
Waehrend dessen ich noch rauche
Die ""special places"" sind ihr wohlbekannt
Ich meine, sie faehrt ja U-bahn auch dort singen's:
Dreh dich nicht um - oh, oh, oh
Der Kommissar geht um - oh, oh, oh
Er wird dich anschauen, und du weisst warum
Die Lebenslust bringt dich um
Alles klar Herr Kommissar?
(Hey man, wanna buy some stuff man?
Did you ever rap that thing Jack, so rap it to the beat)
Wir treffen Jill und Joe und dessen Bruder hip,
Und auch den Rest der koolen gang
Sie rappen hin, sie rappen her
Dazwischen kratzen's ab die Waend'
Dieser Fall ist klar lieber Herr Kommissar
Auch wenn sie anderer Meinung sind
Den Schnee auf dem wir alle talwaerts fahren
Kennt heute jedes Kind
Jetzt das Kinderlied
Dreh dich nicht um - oh, oh, oh
Der Kommissar geht um - oh, oh, oh
Er hat die Kraft und wir sind klein und dumm
Und dieser Frust macht uns stumm
La, la, la,la, la
Dreh dich nicht um - oh, oh, oh
Der Kommissar geht um - oh, oh, oh
Wenn er dich anspricht und du weisst warum
Sag' ihm dein Leben bringt dich um
La, la, la, la, la
Dreh dich nicht um - oh, oh, oh
Der Kommissar geht um - oh, oh, oh"
