,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8153432892433488,0,0,0,0,0,0,0,1.820558410830599,0,0,0,0,0,0,0,0,0,0
Vocal Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychedelic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock & Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R&B/Soul,1.3193780823165757,0,1.1726232187248875,0.7519079553440524,0,0,0.9981606269754655,1.381842497917948,0,0,0,1.2312749923545114,0.9136107330112244,0.781314067558746,0,0.9510677404105241,0.907969771001399,1.1726388641709387,0,1.0260213292043998,0.471633305908409,1.088954855030627,0.9319849429814686,1.0809679987285485,0,0.8589197701308826,1.2164686321428153,1.2649625679599485,1.4423446330465963,0,0.9312745404439808,1.1029687954861125,1.3942865984715171,1.1799346251251435,1.0589642388939537,1.1164428595817246,0.7950154828531173,1.0519853905992416,1.5541120232512342,0.8078039621654947,1.2836721395654664,1.4936432697942676,1.6332329274554125,1.2562044702043296,1.4854939502583275,1.2682290707481203,1.3931793493231186,0.9276625219755132,1.3949268108452273,1.7543509427381903,1.5306563871825292,1.2356837923554038,1.4272896149185925,0,1.8453036195521335
Original Score,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country,1.2792612607735483,0,0,1.5324470779372987,0,0,0,0,0,1.290703356201209,0,0,0,0,0,0,0,0,1.7164034650530444,1.6694055518556419,0,0,0,0,0,0,0,0,0,0,0,0,1.9083071371643927,0,0,0,0,0,0,0,0,1.4114164201258776,0,0,0,0,0,0,0,1.8795833009796863,1.453577134502884,1.3526439406127106,1.353967946672014,0,0
Latino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8905794648181886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2930465506253834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vocal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7159975449653593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soft Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop/Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.902330869706943,0,0,1.7327643233465961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
German Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock,0.8929652625948519,0,0,0.7102486880613168,0.6661532393671714,0,0.9512433326745962,0.6908996361719308,0.8654226967866323,1.009236611386758,0.2445415352771927,0.5152803791326908,0.2569678554059416,0.9268551138188548,1.0041111847317794,0.9660718910392561,0.7781994118659143,0.8766917728485442,0.9930453356991542,0.4464501740462814,0.6291794286530874,0.9281430641716908,0.6401857353765283,1.187862304354721,0.6308109520901972,0.7135491525648037,0.6670092906908551,0,0,1.102266924903307,0.8014988152064135,1.3006925655673598,1.2901667707460194,1.2743963750402756,1.3320399024771818,0.7552464689058398,0,1.5993167468724785,1.5466392738941015,1.4087028279251959,1.3832226028020935,1.5331963233474408,0,1.0232068263577203,1.5805275994618162,0,0,1.2718148674403231,0,1.784181933155553,0,0,0,0,0
Disco,0,0,1.853967397599981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Alternative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2501321452140526,0,0,0,0,0,0,0,1.0815859254527678,0,1.4946183630544716,1.12548750073395,0,1.0852415275820262,1.255270019207314,1.5916991503262934,1.873006495666468,1.5417045770036584,1.5250604894566564,1.0240917811984216,1.1999296904255565,1.4037595928329543,1.0668552347895308,1.2261550774083907,1.4065781708906069,1.069640424479569,1.6035633889169894,1.4229804709925822,0,1.0732776850155816,1.3702923448196067
British Invasion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teen Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Contemporary,0,0,0,0,0,0,0,0,1.9313927543456124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9710632943878987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop Latino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067593195074892,0,0,1.5676992070662332
Indie Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2720718078015012,0,0,1.7891539952540925,0,0,0,1.5998176050725035,0,0,0,0.9646986197132636,0,1.4606278108070483,1.3045979213101342,0.9110380106741758,1.3397716829620583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002348523563245,1.3306495573286792,0,0,1.2218487496163575
House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7986037872574716,0,0,0
Hip-Hop/Rap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2735922126152703,0,1.7280428852134082,0,0,0,0,1.574861891082819,1.6513731407508097,1.6666679115729415,1.5350631388150986,1.0278650557437987,1.5513723805372628,1.645823812663272,1.9770480228483607,1.065358074641627,1.7506072615225428,1.817077885511155,1.8393620390536227,1.7686995586910137,1.9283718889226835,2.0043432138158384,1.9632981196775023,2.049133458838822,1.8990823061152078,1.8001831000530355,1.7875710040075723,1.5710793767781162,1.5546250225435203,1.7506504487549734,1.8898240607076005,1.995312613239719,2.073853873626713,1.5264685143271983,1.9477289376292208
Arena Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop,0.8714520849617022,0.6806107429739481,0,1.0290965372229206,0.6758825269192781,1.0217129286240336,0,0,0,0.48338383084299785,0,0,0.5551434913632907,1.1962899963380424,0,1.0608922843981605,0.609729710416919,0,1.0377624560414695,0.6268828548161527,0,0.5679448456098981,0.9396963829899636,0,1.0662725457789344,0.9163909590707748,0.44741429598618865,0.9951599786795102,0,0,0.22652585997074093,0.6682591227962384,1.1065106923067707,1.0574317375943227,1.0060267239658738,1.1304408494241533,1.073689951277662,1.1510459040862664,1.0269172977116785,0.9662136995115553,0.8505209466869699,0.7669842900923043,1.0896953020743854,1.1806038803604513,1.2827870553641993,1.2873263204287764,1.324556778298196,1.51157745213244,1.1263444751898715,1.2834793672156082,1.1850613595662427,1.5700059015838845,1.2578763613168977,1.3946559938226124,1.220133306747979
Easy Listening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9789855376471068,0,0,1.5300592057276952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doo Wop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funk,0,0,0,0,0,0,0,0,0,0,2.169416147373014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1.2553979776275241,0,0,1.4535103458279326,0,1.0359042598337287,0.875522685893048,1.2428816929847057,1.2133072695192384,0.7516110444094133,0.662274987255703,0.6260175954733536,0.7152151985426203,1.1716774789396256,1.108609095621461,0.6884922077743141,1.2903166993308637,0.8594549155782591,0,1.142777699676424,1.4531487054951122,0,0.8464368843566115,1.2196104195053283,1.7298688432942892,0.9398305657387118,0.4787595338448487,0,0.9871127123125496,0.8352177752076593,0.8810643109902045,1.268121193629429,0.8773657358156997,1.3844284549704238,0,0,1.0772263870661705,1.3439905542170218,0.9599277950972291,1.0845931329147873,1.1167348638437082,1.321650209548448,1.5958431418166825,1.5880654981525453,1.6103645530468218,1.3443095441931878,1.5059558793366254,1.0336030543145753,1.339982471865636,1.3043357333379646,1.6575274898770926,1.5582063500947407,1.5181392041295019,1.013928270222868,0.9855895165754551
Blues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4513496932348344,0,0,0,0,1.832408677568745,1.9130950753002733,0,0,0,1.603371200548823,0,0,0,1.8056585646530798,0,0,0,0,0,0,0,0,0
J-Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0390983455448444,0,0,0,0,0,0
