words	tf-idf
lola	10.2984641469
baker	8.75354566803
waterloo	8.36336394197
grease	8.0692227247
angie	8.0692227247
sharona	7.74040081959
hare	7.74040081959
levee	7.56022479207
krishna	7.16072165678
force	6.99300533341
mull	6.93726166969
ballroom	6.69434683405
kintyre	6.69434683405
stayin	6.66950282242
blitz	6.42826373707
tragedy	6.17923582491
babylon	6.1341225198
heathcliff	6.1341225198
boogie	6.06576968994
fernando	6.06576968994
hallelujah	5.94581634025
dah	5.9201019195
venus	5.80530061469
paloma	5.80530061469
blanca	5.80530061469
dee	5.68314743036
freak	5.64191267145
love	5.60211882088
dovey	5.43251308489
crocodile	5.43251308489
wept	5.43251308489
troubled	5.43251308489
shaft	5.43251308489
zion	5.43251308489
fu	5.43251308489
kung	5.43251308489
suzie	5.43251308489
remembered	5.43251308489
fishes	5.43251308489
lovey	5.43251308489
wuthering	5.43251308489
lotta	5.38283424138
ma	5.25264234987
bell	5.2192959662
wood	5.21485563144
champions	5.21485563144
knock	5.14900806504
da	5.07501913446
evenin	5.03225248643
chevy	5.03225248643
galileo	5.0021614648
rosie	5.0021614648
postman	4.83223337186
joy	4.73261679772
baby	4.72738781871
born	4.71626182796
hot	4.71626182796
alive	4.69416171616
lord	4.67164062463
singing	4.63218371719
bye	4.63218371719
sat	4.61112249896
cathy	4.61112249896
yeah	4.60517018599
na	4.58496747867
survive	4.57914100304
night	4.5538768916
fever	4.52401765919
breaking	4.50069912109
mucho	4.49316353217
mistrust	4.49316353217
smoker	4.49316353217
grinner	4.49316353217
cracklin	4.49316353217
facing	4.49316353217
ribbon	4.49316353217
jive	4.49316353217
toker	4.49316353217
mist	4.49316353217
expert	4.49316353217
wop	4.49316353217
meanest	4.49316353217
picker	4.49316353217
gurur	4.49316353217
timing	4.49316353217
stop	4.4188406078
ca	4.36944785247
crumble	4.36394157294
chic	4.36394157294
rye	4.36394157294
closes	4.36394157294
died	4.34283677287
time	4.27666611902
heart	4.27666611902
hoo	4.20731268804
gon	4.18965474203
