interest	-6.40191719673
area	-6.33150184989
program	-6.32256523993
govern	-6.29156913956
order	-6.28785856016
effect	-6.2822667469
requir	-6.1114673395
sever	-6.10924758276
larg	-6.06145691893
valu	-5.99146454711
product	-5.97126183979
individu	-5.89989735358
period	-5.82008293035
level	-5.74939298591
object	-5.73979291218
condit	-5.73009978297
recent	-5.71042701737
public	-5.67846466667
art	-5.65948221576
system	-5.62221082096
communiti	-5.61677109767
suggest	-5.598421959
involv	-5.58349630878
total	-5.5490760849
becam	-5.50533153593
observ	-5.48479693349
entir	-5.48063892334
studi	-5.45532111536
member	-5.44673737167
report	-5.43153621033
state	-5.40781218134
necessari	-5.40717177146
institut	-5.37063802813
also	-5.36504099859
social	-5.36363683267
includ	-5.36129216571
washington	-5.36129216571
tradit	-5.32787616879
visit	-5.32787616879
moral	-5.31320597904
aid	-5.2626901889
basic	-5.25749537203
select	-5.25749537203
event	-5.20948615284
1960	-5.18738580584
student	-5.16763904291
religi	-5.13579843705
rate	-5.13285292682
progress	-5.12989871492
offic	-5.12594614061
educ	-5.11499530942
symbol	-5.09986642782
england	-5.09375020081
artist	-5.09375020081
don't	-5.09375020081
design	-5.08450514266
local	-5.07517381523
oper	-5.06048309982
impress	-5.05624580535
stress	-5.04985600725
attitud	-5.04342511692
relat	-5.03043792139
concept	-5.03043792139
himself	-5.01727983681
combin	-5.01727983681
;	-5.01351402944
presid	-5.00841059907
form	-5.00058495824
depart	-4.99382817578
subject	-4.98702542846
corpor	-4.97673374242
whether	-4.96284463026
throughout	-4.94875989038
unit	-4.92725368516
liber	-4.92725368516
slight	-4.91998092583
which	-4.91970014526
effort	-4.91265488574
cultur	-4.90527477844
compani	-4.90280258929
author	-4.90156419904
didn't	-4.89534913864
domin	-4.88280192259
investig	-4.8751973232
perform	-4.86753445046
poem	-4.86753445046
essenti	-4.86753445046
model	-4.85203026392
chief	-4.85203026392
forc	-4.84615365543
precis	-4.84418708646
staff	-4.83628190695
german	-4.8283137373
worker	-4.81218435537
marriag	-4.80402104473
daili	-4.80402104473
difficulti	-4.80402104473
j.	-4.78749174278
thick	-4.77912349311
adjust	-4.77912349311
