words	tf-idf
amadeus	11.653885189
funkytown	9.40068001906
eileen	8.98632706435
bamba	8.36336394197
er	8.0692227247
shack	7.98870867984
bam	7.74040081959
bites	7.20660774646
wham	7.16072165678
toora	7.16072165678
dutchie	6.93726166969
doves	6.93726166969
ghostbusters	6.69434683405
arriba	6.69434683405
jukebox	6.42826373707
loo	6.42826373707
thriller	6.38927220093
batman	6.28688056284
yahoo	6.1341225198
fina	6.1341225198
balloons	6.1341225198
esa	6.1341225198
prayer	6.06742498713
pon	6.06576968994
celebrate	5.97064737989
karma	5.81424575335
sledgehammer	5.80530061469
instinctively	5.80530061469
celebration	5.68314743036
turnaround	5.68314743036
west	5.64191267145
love	5.52146091786
na	5.49716822529
poca	5.43251308489
thee	5.43251308489
respectfully	5.43251308489
tainted	5.43251308489
dia	5.43251308489
egyptian	5.43251308489
loora	5.43251308489
plunder	5.43251308489
gracia	5.43251308489
babaluma	5.43251308489
flair	5.43251308489
um	5.38283424138
drives	5.21485563144
99	5.03225248643
susie	5.0021614648
rival	5.0021614648
chorando	5.0021614648
dep	5.0021614648
chameleon	5.0021614648
prance	5.0021614648
yeah	4.94875989038
gon	4.93447393313
beat	4.91713712164
tiger	4.83223337186
nothings	4.83223337186
rye	4.83223337186
bette	4.83223337186
davis	4.83223337186
baby	4.80402104473
make	4.7957905456
papa	4.69440077791
feel	4.66343909411
bang	4.63218371719
preach	4.58512756281
time	4.5747109785
red	4.5538768916
wan	4.51085950652
ebony	4.49316353217
claims	4.49316353217
heap	4.49316353217
aonde	4.49316353217
tease	4.49316353217
ao	4.49316353217
odds	4.49316353217
zing	4.49316353217
rizla	4.49316353217
vale	4.49316353217
biddly	4.49316353217
rattle	4.49316353217
recordacao	4.49316353217
jitterbug	4.49316353217
lembrar	4.49316353217
eagles	4.49316353217
planning	4.49316353217
groovin	4.49316353217
call	4.39444915467
defeated	4.36394157294
amor	4.36394157294
showin	4.36394157294
night	4.35670882669
movin	4.34435231588
give	4.34380542185
christmas	4.34283677287
heart	4.3040650932
dance	4.24849524205
life	4.21950770518
