general	-6.52062112756
studi	-6.14846829592
product	-5.97126183979
also	-5.87586662236
rate	-5.82600010738
respons	-5.79605775077
determin	-5.78074351579
colleg	-5.73009978297
method	-5.69035945432
court	-5.68357976734
area	-5.63835466933
communiti	-5.61677109767
themselv	-5.598421959
suggest	-5.598421959
author	-5.5947113796
tax	-5.59098698051
feder	-5.57972982599
state	-5.56196286117
produc	-5.5490760849
offic	-5.53141124872
observ	-5.48479693349
market	-5.48063892334
servic	-5.44241771052
sever	-5.4161004022
properti	-5.40267738187
social	-5.36363683267
equip	-5.32300997914
interest	-5.30330490806
didn't	-5.30081424675
valu	-5.29831736655
engin	-5.2626901889
central	-5.2626901889
dr.	-5.25749537203
industri	-5.25488780862
standard	-5.24174701506
william	-5.24174701506
program	-5.22395295126
basi	-5.22035582508
individu	-5.20675017302
principl	-5.19295685089
propos	-5.19295685089
1960	-5.18738580584
activ	-5.18178355029
group	-5.18178355029
consist	-5.17614973257
couldn't	-5.16478597392
locat	-5.14749447681
progress	-5.12989871492
educ	-5.11499530942
pattern	-5.11198778836
st.	-5.09986642782
structur	-5.09986642782
influenc	-5.09986642782
popul	-5.08759633523
offici	-5.08140436498
difficult	-5.08140436498
occur	-5.06259503303
farm	-5.05624580535
condit	-5.03695260241
initi	-5.03695260241
wasn't	-5.03695260241
combin	-5.01727983681
announc	-5.0106352941
attend	-5.0106352941
depart	-4.99382817578
subject	-4.98702542846
hospit	-4.97673374242
corpor	-4.97673374242
previous	-4.96981329958
cost	-4.96051090691
opinion	-4.9558270576
societi	-4.94520748877
length	-4.93447393313
unit	-4.92725368516
communist	-4.92725368516
howev	-4.92725368516
issu	-4.91265488574
effort	-4.91265488574
govern	-4.90527477844
item	-4.89034912822
confer	-4.88280192259
applic	-4.88280192259
audienc	-4.8751973232
publish	-4.86753445046
declar	-4.86753445046
john	-4.86496705495
wouldn't	-4.85981240436
purpos	-4.84024230817
i'v	-4.8283137373
director	-4.8283137373
skill	-4.82028156561
worker	-4.81218435537
marriag	-4.80402104473
mass	-4.80402104473
protest	-4.80402104473
difficulti	-4.80402104473
j.	-4.78749174278
justic	-4.77912349311
adjust	-4.77912349311
form	-4.77744140693
