words	tf-idf
rumour	11.5666356047
bottoms	10.9214272692
drip	10.4346745497
uptown	9.67550102448
rude	9.49532499697
freaks	9.40068001906
shit	9.37220965787
shots	9.2011837797
bedrock	8.98632706435
alejandro	8.98632706435
fuck	8.29212862334
jagger	8.22016540165
glue	8.22016540165
bailando	8.22016540165
wiggle	8.1674219029
whistle	8.07996707013
kuduro	8.0692227247
tsamina	8.0692227247
mina	8.0692227247
tearing	8.0692227247
aah	7.90965018161
contigo	7.90965018161
gangnam	7.90965018161
puedo	7.90965018161
fairytale	7.90965018161
motherfucker	7.90965018161
sippin	7.90965018161
judas	7.90965018161
amo	7.74040081959
replay	7.74040081959
poppin	7.74040081959
meenie	7.74040081959
eenie	7.74040081959
miney	7.74040081959
tryna	7.63388301589
raining	7.56022479207
bonfire	7.56022479207
anaconda	7.56022479207
swirv	7.56022479207
hella	7.56022479207
waka	7.56022479207
marry	7.52041688092
na	7.41637847919
niggas	7.40046353123
troublemaker	7.36761328979
g6	7.36761328979
classic	7.36761328979
ula	7.36761328979
timber	7.36761328979
blowin	7.36761328979
honestly	7.36761328979
chick	7.27323595489
funk	7.20660774646
skips	7.20660774646
wishing	7.20660774646
crumbles	7.16072165678
lova	7.16072165678
oppan	7.16072165678
im	7.16072165678
ayo	7.16072165678
geronimo	7.16072165678
ny	7.16072165678
badoom	7.16072165678
thirsty	7.16072165678
bottles	7.06664840839
love	7.05961762829
boom	7.01493688067
bullshit	6.99300533341
diamonds	6.99300533341
gnashing	6.93726166969
oppa	6.93726166969
awe	6.93726166969
climax	6.93726166969
radioactive	6.93726166969
toe	6.93726166969
stopping	6.93726166969
weeping	6.93726166969
international	6.91668374844
stuck	6.84548085499
champion	6.83748143236
ooooh	6.83748143236
nigga	6.83748143236
baby	6.83087423465
yeah	6.82654522356
burn	6.76335720526
mourning	6.69434683405
chandelier	6.69434683405
tone	6.69434683405
trumpets	6.69434683405
airplanes	6.69434683405
unconditionally	6.69434683405
selfie	6.69434683405
