words	tf-idf
licky	8.98632706435
murderer	8.98632706435
pressurin	8.87236187459
sade	8.49957434479
dio	8.22016540165
vida	8.22016540165
vogue	7.74040081959
joyride	7.36761328979
nah	7.20660774646
dop	7.16072165678
informer	7.16072165678
miggida	7.16072165678
duba	7.16072165678
kross	6.93726166969
kris	6.93726166969
barbie	6.83748143236
bop	6.83748143236
scrub	6.83748143236
joe	6.66950282242
unbreak	6.42826373707
di	6.32842477606
hosanna	6.1341225198
unnatural	6.1341225198
macarena	6.1341225198
loca	6.06576968994
mr	5.94581634025
dee	5.94581634025
deserts	5.81858876392
janet	5.80530061469
love	5.66988092298
da	5.5801067535
genie	5.53835814243
knocked	5.53835814243
vanilla	5.53835814243
shoe	5.51643696734
saves	5.43251308489
hotstepper	5.43251308489
moth	5.43251308489
blaze	5.43251308489
na	5.42495001748
stabbed	5.38283424138
torn	5.38283424138
shout	5.38102189422
mac	5.38091288252
baby	5.3082676974
ca	5.11198778836
join	5.07221565268
compares	5.03225248643
gloom	5.0021614648
daydreams	5.0021614648
undress	5.0021614648
creation	5.0021614648
lakes	5.0021614648
raider	5.0021614648
ba	4.98881491889
yeah	4.93447393313
mmm	4.91713712164
lyrical	4.83223337186
snow	4.82634919759
make	4.77912349311
belongs	4.61112249896
passenger	4.61112249896
conscience	4.61112249896
rub	4.61112249896
denial	4.61112249896
body	4.57700440588
life	4.53259949315
feel	4.51085950652
defenders	4.49316353217
zigazig	4.49316353217
lifted	4.49316353217
monica	4.49316353217
greens	4.49316353217
mocha	4.49316353217
pissing	4.49316353217
duh	4.49316353217
source	4.49316353217
undo	4.49316353217
injustice	4.49316353217
rpt	4.49316353217
gangsta	4.46831247697
rhyme	4.46831247697
wan	4.4188406078
gon	4.39444915467
time	4.36944785247
spending	4.34283677287
ice	4.33150790886
heart	4.31748811354
back	4.31748811354
jump	4.27666611902
lift	4.20731268804
grey	4.20731268804
give	4.20469261939
shake	4.203564655
dance	4.14313472639
uh	4.13399626341
night	4.12713438505
entertain	4.08371095145
