;	-7.01499402965
nation	-6.66822824842
--	-6.53146054817
ani	-6.51174532964
point	-6.46302945692
against	-6.44094654063
three	-6.41836493594
interest	-6.40191719673
public	-6.37161184723
order	-6.28785856016
war	-6.20455776257
busi	-6.15485809402
until	-6.133398043
question	-6.13122648948
requir	-6.1114673395
sever	-6.10924758276
2	-6.10255859461
appear	-6.04737217905
product	-5.97126183979
expect	-5.94017125272
polit	-5.89715386764
read	-5.8550719222
month	-5.8550719222
probabl	-5.83188247728
record	-5.76832099579
begin	-5.74300318781
book	-5.73657229748
colleg	-5.73009978297
condit	-5.73009978297
carri	-5.72684774759
job	-5.71373280551
age	-5.70711026475
differ	-5.69876993283
class	-5.68697535634
note	-5.67332326717
cut	-5.66642668811
five	-5.66296048014
art	-5.65948221576
view	-5.6058020663
veri	-5.58224239012
cours	-5.57405336798
plan	-5.5664342835
such	-5.56298666469
perform	-5.56068163102
case	-5.54517744448
brought	-5.53338948873
purpos	-5.53338948873
ago	-5.50533153593
may	-5.46594820793
full	-5.45532111536
servic	-5.44241771052
report	-5.43153621033
futur	-5.42495001748
:	-5.41331875924
their	-5.41276150094
top	-5.41164605186
outsid	-5.39816270152
hundr	-5.37063802813
enter	-5.36129216571
origin	-5.36129216571
union	-5.36129216571
yet	-5.34472373936
has	-5.31361640384
plant	-5.31320597904
second	-5.31073988655
compani	-5.3082676974
act	-5.30081424675
depend	-5.29831736655
station	-5.29831736655
third	-5.27299955856
engin	-5.2626901889
counti	-5.25749537203
speak	-5.24702407216
hous	-5.22977082401
kept	-5.22574667371
meet	-5.22305488205
often	-5.22035582508
both	-5.20675017302
wrote	-5.19849703127
cent	-5.19849703127
within	-5.19017520793
near	-5.18458860122
fact	-5.18178355029
explain	-5.17614973257
figur	-5.17614973257
movement	-5.16478597392
these	-5.16415085164
citi	-5.15713775309
earth	-5.1532915945
instead	-5.1532915945
''	-5.14943058584
mani	-5.145554612
least	-5.14458326661
serious	-5.13579843705
``	-5.11641081797
build	-5.10897119482
upon	-5.1059454739
control	-5.10291057021
simpl	-5.08140436498
difficult	-5.08140436498
